timestamp,value-0,value-1,value-2,value-3,value-4,value-5,is_anomaly
0,-3.717380859296567,-3.645053627656065,-4.479046913227336,-3.7624222466976427,-4.479953451031355,-1.600926742696009,0
1,-3.713606698924595,-3.6557619684074516,-4.481284752088351,-3.722960861996076,-4.483485093059314,-1.5878720458419073,0
2,-3.709193101710123,-3.6664657155581803,-4.4835755830519295,-3.683496332526908,-4.486158680752423,-1.5749353313467593,0
3,-3.705486922861801,-3.677135517543526,-4.485903009246034,-3.6429287284905825,-4.489143968618976,-1.5621265452978026,0
4,-3.7020303304004463,-3.687741979026809,-4.487935245312636,-3.601237926714218,-4.4912425708848325,-1.5486443634359242,0
5,-3.697463324785243,-3.6978894037520567,-4.489970430413443,-3.557370055521467,-4.494027682637099,-1.5345022391385041,0
6,-3.6922520305953928,-3.7079659300421524,-4.491346069438739,-3.5155767808868297,-4.495915326777627,-1.5205283680308916,0
7,-3.6864004732544196,-3.717959035923359,-4.492388903750642,-3.472739125364395,-4.497285478477874,-1.5075181070800323,0
8,-3.6803743577711425,-3.7282226034373283,-4.493740406577969,-3.4288827545401386,-4.498132048244653,-1.4939341455622552,0
9,-3.673736636039,-3.738012195026843,-4.495052209126015,-3.387177929953117,-4.4992562847370605,-1.4790188119313892,0
10,-3.667394241457961,-3.7477164256445117,-4.4962910946106724,-3.3465701633695915,-4.499880968702616,-1.4620495194424703,0
11,-3.6618137614862216,-3.758090401570426,-4.498083880704,-3.3049734727483666,-4.5,-1.4453121914514373,0
12,-3.6561188964918965,-3.7691233067562897,-4.499137125651432,-3.264527378480289,-4.499588877241751,-1.4265281775288197,0
13,-3.649874750213666,-3.780439158499416,-4.499777188687565,-3.2262912958260332,-4.498622858160106,-1.4080192544500265,0
14,-3.6435491639089252,-3.7920462001103408,-4.5,-3.1881322298499635,-4.497480832778062,-1.3882861058600962,0
15,-3.636727838153148,-3.803936190448565,-4.499471077329021,-3.150078821184136,-4.496560115793974,-1.3681299394763613,0
16,-3.629899153160608,-3.815351819307643,-4.498830518340392,-3.1100942364535156,-4.4954511480793435,-1.3468654423426663,0
17,-3.623992776786665,-3.8274187974075726,-4.498073207614739,-3.070365640755778,-4.493340892364217,-1.3252941804919887,0
18,-3.618553860732715,-3.8393981238742922,-4.496864069424376,-3.0288525294717124,-4.491012977457977,-1.301917554455127,0
19,-3.6140312330863615,-3.8516672529281197,-4.494867752916564,-2.986657234344636,-4.488847616670174,-1.2767577411765538,0
20,-3.6099717981218378,-3.8638546097458377,-4.492408359797826,-2.9459126100917956,-4.486822108355278,-1.2506140369053218,0
21,-3.605481872904893,-3.8763559909447594,-4.48979495865334,-2.9065899808072224,-4.48452899213499,-1.2250636999510207,0
22,-3.601494098849863,-3.889184459661714,-4.486691542619788,-2.8655151525719744,-4.481561315956116,-1.1986408756954745,0
23,-3.5980178369379514,-3.9015868237948297,-4.483752072966007,-2.8258997628522873,-4.477916023872327,-1.1728883277326756,0
24,-3.5945803037524344,-3.9139431006719048,-4.480010562190813,-2.7856963665738776,-4.474783518929168,-1.1463055832612108,0
25,-3.5902674780387596,-3.9266508364837005,-4.4767515716942405,-2.7470824928741835,-4.471776612818766,-1.118948422641603,0
26,-3.5864529174670308,-3.9397248083321026,-4.473310110928741,-2.7111550448069264,-4.468894865097525,-1.091580395080281,0
27,-3.582725198708517,-3.953546822827934,-4.469351570576432,-2.675818001919018,-4.465716923872936,-1.0626643500061186,0
28,-3.5791346184420427,-3.9681163292139647,-4.465186599551151,-2.6410879623768992,-4.46224399080422,-1.0345190319002744,0
29,-3.5752486218145765,-3.981934283995768,-4.460811018586751,-2.609094126258721,-4.4584959897418575,-1.0064546549482154,0
30,-3.570613124890409,-3.9957504297505975,-4.455920655817863,-2.5798537391741085,-4.454089599312676,-0.9800470009096864,0
31,-3.566158369197222,-4.008815084641,-4.451171892293171,-2.553385596680433,-4.448641609921519,-0.9530156759500026,0
32,-3.5628142789535486,-4.022243799310811,-4.446576671123157,-2.5265639792165424,-4.442539869681134,-0.9261233889000244,0
33,-3.559684652809086,-4.035653111574188,-4.441817737910778,-2.4983743916660046,-4.436558047447795,-0.8993540113194636,0
34,-3.557679036800114,-4.04979304751,-4.437538810603029,-2.471977276033117,-4.42990990221688,-0.872656159621271,0
35,-3.5549984737340337,-4.063165210502929,-4.433079507927048,-2.4463061798939494,-4.422616975809781,-0.8475352135949015,0
36,-3.553013587716024,-4.076537080839945,-4.42809518370755,-2.4213260557652827,-4.414682786080158,-0.8217450959198906,0
37,-3.5513096995006137,-4.089909184640204,-4.423216646518597,-2.3948872381474584,-4.407286200591305,-0.7945605812779482,0
38,-3.5499128084332945,-4.103631188357399,-4.417785089691424,-2.3701445455186367,-4.399660907616127,-0.7675199433919151,0
39,-3.548365771582163,-4.116954333881555,-4.412102379051033,-2.3449449134563847,-4.391426845844975,-0.7406388595470257,0
40,-3.5466722717419237,-4.129879245566157,-4.406140911351247,-2.3224410528587547,-4.382571593366148,-0.7131539848950994,0
41,-3.5452760752695367,-4.142022574726403,-4.400203714921199,-2.3004790884403445,-4.372697064771044,-0.6843005730022895,0
42,-3.5450615647354695,-4.153383562845774,-4.393964344557235,-2.2800501792455417,-4.362598124505905,-0.6555773029947773,0
43,-3.546031317668561,-4.164693114508693,-4.387441808575884,-2.2600807679976826,-4.353070134055697,-0.6269602264152978,0
44,-3.5477472612649574,-4.176315774996181,-4.380340469826249,-2.239544862230213,-4.343312663522928,-0.5976813215023737,0
45,-3.5502124476002717,-4.1882673769816705,-4.37268009789163,-2.2194792643732817,-4.3341048492062395,-0.5684583974314821,0
46,-3.5534298730632967,-4.199814289841509,-4.364480618990969,-2.199838814480461,-4.324262430005586,-0.5377430962000544,0
47,-3.5560582372086245,-4.210588620357272,-4.3563925552910385,-2.1795449416954096,-4.314969757796835,-0.5055419248967612,0
48,-3.55902255298941,-4.221703867477941,-4.347446737897739,-2.161743997311855,-4.3046582019546635,-0.4749034711149698,0
49,-3.562364850927826,-4.232024383855624,-4.3386095406064165,-2.1453569508047643,-4.29410910338187,-0.4450898929803915,0
50,-3.5665676449500574,-4.241930328081052,-4.329887707944668,-2.1303377241117456,-4.282910804144422,-0.4145853613483548,0
51,-3.572092550584329,-4.2521847704666875,-4.320988419230908,-2.115608218578905,-4.271073502534174,-0.38417348185418376,0
52,-3.5780573115594656,-4.263167545182567,-4.312249749159239,-2.10112209937049,-4.2590111034011375,-0.35541607339720827,0
53,-3.5840200992991673,-4.274125872494508,-4.303350482469069,-2.0857998235638653,-4.247137821611485,-0.3268321658055282,0
54,-3.591323191456303,-4.2843067941512984,-4.294299831949154,-2.071754468929002,-4.235464785041344,-0.29846260134171176,0
55,-3.599523801962998,-4.294455913399139,-4.2847773297693195,-2.056872669318381,-4.223618128082697,-0.2710914946280678,0
56,-3.608158199949025,-4.3038190236755,-4.275753002616289,-2.043314742704798,-4.211224197201782,-0.24394647125662017,0
57,-3.6181061312026443,-4.31350679135161,-4.266606996451824,-2.0300956006801263,-4.198294756343493,-0.2177770060767774,0
58,-3.629365344677236,-4.322764236227036,-4.257680229216957,-2.018294521717016,-4.18485936844227,-0.19336815696914167,0
59,-3.64058969534625,-4.331219299665067,-4.248639343224449,-2.0068778772841545,-4.170929111772155,-0.1699843980943827,0
60,-3.6526790360939283,-4.3399985261456235,-4.240126504402594,-1.995940942659158,-4.156918510633021,-0.1468559130513325,0
61,-3.66518877643552,-4.347979330305545,-4.23183914121973,-1.9844487997769304,-4.143260263827364,-0.12321264363175732,0
62,-3.678114731339436,-4.355520544304694,-4.222829936122221,-1.9744621472341208,-4.128790337950879,-0.10136261456376228,0
63,-3.6914519562810995,-4.36299767933943,-4.21377148212578,-1.9648478082249499,-4.114712378142035,-0.07975767926417832,0
64,-3.7052362063285784,-4.370053574610667,-4.204691148829519,-1.9544720973810787,-4.100651362577617,-0.058406560182640455,0
65,-3.7194610039394322,-4.3770631735699,-4.195616305380669,-1.945394188478193,-4.086636029768327,-0.038874848750975355,0
66,-3.733636480433234,-4.383268056889127,-4.186244232091493,-1.9386416405426012,-4.071905466006713,-0.01961556522258756,0
67,-3.74729221888139,-4.389408543667317,-4.176256924462046,-1.9321466863442027,-4.057258647689201,0.0009184854433401668,0
68,-3.76176213118916,-4.395108863684687,-4.1666260310970955,-1.9280682891193845,-4.04268672669901,0.021232233014147894,0
69,-3.7761326873552945,-4.401108979073738,-4.156387623061809,-1.922178500766655,-4.028162570924528,0.03983078868591772,0
70,-3.790833376207294,-4.407016061742323,-4.145867369316509,-1.9176681434387048,-4.013658894048197,0.058226954982470325,0
71,-3.8062930465285234,-4.412838140869033,-4.135405165457236,-1.9135019319299662,-3.9991845083462776,0.07715516904122133,0
72,-3.822499310551856,-4.418966914902784,-4.124710215477414,-1.9107092899175444,-3.984362354215741,0.0950852288507189,0
73,-3.8394190087073214,-4.425027673213366,-4.113791488146497,-1.9103206244576163,-3.9687966008109075,0.11356544394801782,0
74,-3.8556747500308903,-4.430994995017001,-4.102642464792453,-1.9112550838219327,-3.952879839495339,0.1326230825917425,0
75,-3.8721348482156026,-4.4364773944906215,-4.091585981059962,-1.9124328467931786,-3.9370221296666807,0.1499858204127804,0
76,-3.8887848202624427,-4.441100422791808,-4.0806145172185095,-1.9149359180550403,-3.9220371702023322,0.1671675732623088,0
77,-3.9056097523556947,-4.446354971698166,-4.069705422845095,-1.9187663082593742,-3.9075278883866815,0.18493884267242855,0
78,-3.922552879132332,-4.451500912372212,-4.0588653550369465,-1.9238785336484536,-3.893501306365268,0.201805484395833,0
79,-3.940480890493255,-4.456548274871115,-4.04811545607338,-1.9302281453795915,-3.879193277847487,0.21850342593087646,0
80,-3.958034708599554,-4.461856537832745,-4.036816441694933,-1.9367877459376643,-3.8650323326731013,0.23651239511048328,0
81,-3.9756605860127463,-4.467036193340525,-4.025303219140741,-1.9436592207520555,-3.8510247883719524,0.2527826880668811,0
82,-3.9933426589096612,-4.472081655910027,-4.014239991751097,-1.950944121341446,-3.836369034477614,0.26730730996930685,0
83,-4.011085608061207,-4.4769877661416455,-4.003630893937488,-1.9608085944452425,-3.8218594828704893,0.28163478751745963,0
84,-4.028873229861049,-4.480999989219171,-3.9931648427772988,-1.9710967467351548,-3.8070969149851157,0.29504816187940186,0
85,-4.046689204754648,-4.484479472485029,-3.982875231441018,-1.9828467528052354,-3.791681399075749,0.3067948710378734,0
86,-4.06455859395406,-4.487421088119376,-3.973110290203538,-1.9940000236070756,-3.7767909214644977,0.31990867048170113,0
87,-4.082464943043522,-4.490203263171894,-3.9635581472011006,-2.0077557093191527,-3.7624103384888605,0.3328939274545233,0
88,-4.101274111773651,-4.492437892276543,-3.9545517955062826,-2.020925764790576,-3.7489286081174242,0.3450338248656446,0
89,-4.119605782700414,-4.494469541186035,-3.9460941645981134,-2.0324337734405984,-3.7355783022725397,0.35709810591042235,0
90,-4.137423408780826,-4.496643313015234,-3.937542894380874,-2.0433136698711793,-3.722767050540245,0.3698218517440317,0
91,-4.155131205358358,-4.498555501779852,-3.9285848833989148,-2.055678477763473,-3.7104807934587725,0.38319775540764844,0
92,-4.172251248706795,-4.499802983660342,-3.9195363260063028,-2.0684957482494464,-3.6987057517467132,0.39495399975015966,0
93,-4.189208379216677,-4.5,-3.910712650885761,-2.0818133185685506,-3.68665701490215,0.40508302001923546,0
94,-4.205965831941978,-4.499510324526598,-3.9024437327708776,-2.0977917665959698,-3.67553194875163,0.4166200579159032,0
95,-4.222949079033631,-4.499447717199196,-3.894729433113311,-2.1153502870126153,-3.6641419151562586,0.42800117410668337,0
96,-4.238778398222589,-4.4998113330615945,-3.8878848836264805,-2.132327460887988,-3.652876716434239,0.4376628259710129,0
97,-4.253900275617131,-4.499852022309691,-3.8815803857372027,-2.1498028202450348,-3.642529813013485,0.44559716742858235,0
98,-4.269223021098275,-4.499553853292246,-3.8754863121957834,-2.167871010545106,-3.63270204866558,0.4532821906767204,0
99,-4.283829126307195,-4.498901507448853,-3.8695879669568107,-2.186528679972577,-3.6230126848929336,0.46070917833468394,0
100,-4.298124575754583,-4.498281002515773,-3.8642004146224287,-2.204641952501903,-3.613502754413797,0.46716126113562506,0
101,-4.3116128817180925,-4.496946065513796,-3.8590231882790036,-2.221123244259794,-3.6041768320834886,0.473373423969655,0
102,-4.3247007241015405,-4.4952494640412395,-3.8543860093034357,-2.2391085569524893,-3.5950030301065565,0.47926770313149625,0
103,-4.3364512560465,-4.4931782402738545,-3.849628592505127,-2.257458647027079,-3.5859673837244714,0.4848016617211348,0
104,-4.347754153207243,-4.490720007786398,-3.845380560086248,-2.2760658924123565,-3.5778634039265986,0.4884462901123885,0
105,-4.35857608659556,-4.48747943080433,-3.8412963743231163,-2.2948218537985547,-3.569116708216798,0.49245928808742967,0
106,-4.369346452286344,-4.483845526611319,-3.8380055994467934,-2.3126333511735027,-3.5605022859924533,0.4960207194370132,0
107,-4.380516780315301,-4.480591363341934,-3.834532603220243,-2.3316482916108034,-3.552391097750485,0.4990549691725512,0
108,-4.391196337555068,-4.476224747647668,-3.831191729629387,-2.3529340968973647,-3.5439791357739523,0.5000000000000004,0
109,-4.4023014090991825,-4.471502528188309,-3.8282971525883607,-2.374413951029845,-3.5352694173764867,0.49959345297473945,0
110,-4.412944134744013,-4.466065897475158,-3.825833230577773,-2.3950428159638464,-3.526264315083707,0.4970507659414305,0
111,-4.422237554112192,-4.459556039288063,-3.8234841435505467,-2.4147576691558914,-3.5181408136230417,0.4946656501894644,0
112,-4.431100648933246,-4.452363474334198,-3.8212491582843033,-2.4345745871265776,-3.5100937445566203,0.49094572700869676,0
113,-4.440453291814012,-4.44489587766239,-3.818782551363495,-2.4534440206411703,-3.5020892063040083,0.4874079299706935,0
114,-4.448949297899926,-4.437194978959373,-3.81638336701518,-2.4723795958461476,-3.4937074527352574,0.48252671984029405,0
115,-4.457048942992696,-4.429669130790299,-3.814350550465079,-2.4891998745937483,-3.4845462756465517,0.47859938057995066,0
116,-4.463848416493239,-4.421960391579935,-3.8120228514541394,-2.508109565477645,-3.475377678755362,0.4748816488411869,0
117,-4.470270546144375,-4.413711083086058,-3.8100439250386944,-2.5270234531528195,-3.4661659104996883,0.47063108203617254,0
118,-4.47587405114521,-4.405330347438177,-3.8084124823020424,-2.548083037753767,-3.4572971189446298,0.46588468236124836,0
119,-4.480659112577339,-4.396460504976751,-3.8067827150865057,-2.5680754395987355,-3.4487902899581804,0.45993673623077047,0
120,-4.4855499872812645,-4.387109915224847,-3.8054688641607126,-2.5880133394079934,-3.440664831971154,0.45279013699932813,0
121,-4.489645422155802,-4.3769203543471615,-3.8041402595782965,-2.608957768926525,-3.4325367364166524,0.44515638400023416,0
122,-4.4924855815221285,-4.366282668383979,-3.8031114866364497,-2.630889883772232,-3.424389530318317,0.43622572016362904,0
123,-4.494513396219206,-4.3559536878584,-3.801421775952106,-2.651678514977182,-3.4158028700159075,0.42596693493791005,0
124,-4.49615130518303,-4.345574685783932,-3.800030582563949,-2.6713047660127756,-3.4071817187168145,0.41512738607260324,0
125,-4.497822525730369,-4.334804243595355,-3.7986220141580143,-2.688667527558027,-3.3981596046525158,0.40449031573646943,0
126,-4.499089988629692,-4.32405038171689,-3.797525448290484,-2.7048253606452257,-3.389544822282902,0.39335360415027143,0
127,-4.5,-4.3129713436326345,-3.796080522117346,-2.721916793777592,-3.3809346109093035,0.38179456208674223,0
