index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
818,10-rw-one-channels-anomaly,autoencoder,0,0.01167720493128284,0.0,0.016812417906167908,0.010587454740056039,0.027672454859954863,0.5442424242424242,,0.012264602227298567,0.0,0.12499999999999999,0.011131117627920996,0.16666666666666666,0.563131313131313
4846,10-rw-one-channels-anomaly,cblof,0,0.009849715557505903,0.0,0.007963736942833102,0.008578640377815827,0.010318850053358164,0.4722222222222222,,0.019084674807864174,0.0,0.021840074131878617,0.01692213125081049,0.021941017828974625,0.7361616161616162
2415,10-rw-one-channels-anomaly,cof,0,0.05019653193248903,0.1090909090909091,0.13989458072791405,0.04512050280309734,0.13318201859868525,0.9014141414141413,,0.8249458874458874,0.18181818181818182,0.7626984126984127,0.8208498249938466,0.5253968253968254,0.9955555555555555
4513,10-rw-one-channels-anomaly,copod,0,0.008441217054433426,0.0,0.00513347022587269,0.0076764200902281095,0.00513347022587269,0.34969696969696973,,0.006829668249545746,0.0,0.01139237154715901,0.006205756518857452,0.017882782310004293,0.2002020202020202
4262,10-rw-one-channels-anomaly,dae,0,0.0237442888085033,0.0,0.16666666666666666,0.02160991613066754,0.16666666666666666,0.7734343434343434,,0.010150089326179973,0.0,0.09791666666666665,0.009224611368085636,0.14027777777777778,0.46404040404040403
3259,10-rw-one-channels-anomaly,damp,0,0.008195442423184138,0.0,0.0028061564183909987,0.007449486666682119,0.005118241690536938,0.3328282828282828,,0.01430073290081688,0.0,0.11652777777777779,0.012999513757206824,0.13305555555555554,0.6216161616161616
2997,10-rw-one-channels-anomaly,deepant,0,0.033421840645139866,0.0,0.009725900841441534,0.030001517354973233,0.013278962176710228,0.8507070707070707,,0.010537007417230472,0.0,0.10211864406779661,0.009584438311014945,0.10423728813559321,0.4798989898989899
2134,10-rw-one-channels-anomaly,deepnap,0,0.006466451321139446,0.0,0.002994724531099899,0.005877222445177981,0.004769936867077848,0.1527272727272727,,0.00934301211618596,0.0,0.01477565028206165,0.008482096060114606,0.02214389315671589,0.4223232323232323
1058,10-rw-one-channels-anomaly,encdec_ad,0,0.006037562404375595,0.0,0.003205446911943431,0.005489900604162819,0.0058156557286487675,0.08787878787878789,,0.15158860599186114,0.18181818181818182,0.08051529790660225,0.13814989503031516,0.12399355877616745,0.9712121212121212
607,10-rw-one-channels-anomaly,fast_mcd,0,0.015147412304092346,0.0,0.004285786721641235,0.01371934782653542,0.007079036129849635,0.6531313131313131,,0.010889679880255406,0.0,0.23333333333333334,0.009904402409680296,0.3,0.49747474747474746
2829,10-rw-one-channels-anomaly,gdn,0,0.013568590885509699,0.0,0.006543728217761922,0.012238105451328725,0.010188905710886159,0.6135384615384615,,-0.0,0.0,,0.5,,
1663,10-rw-one-channels-anomaly,hbos,0,0.045721951397483716,0.01818181818181818,0.019543650793650794,0.03126347780387839,0.03115079365079365,0.8525252525252525,,0.009410285369649142,0.0,0.039733742959549415,0.005603010249358803,0.02391193036354327,0.12404040404040405
