index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
805,2-big_past_std_cut_wave-no-anomaly,autoencoder,0,0.0038645402649775287,0.0,0.03843802879270276,0.003305989271221087,0.04879965811753338,0.10429242119382962,,-0.0,0.0,,0.5,,
4949,2-big_past_std_cut_wave-no-anomaly,cblof,0,0.02212706014469797,0.018867924528301886,0.059510367560767,0.01819275720735933,0.05374295734375621,0.8418846411804158,,-0.0,0.0,,0.5,,
2443,2-big_past_std_cut_wave-no-anomaly,cof,0,0.19383705233219387,0.07547169811320754,0.36439460609167545,0.2173241124030758,0.1996559623922064,0.9137323943661971,,-0.0,0.0,,0.5,,
4528,2-big_past_std_cut_wave-no-anomaly,copod,0,0.006527706369760295,0.0,0.02906920059191145,0.005314048502343287,0.019566387639863826,0.47484909456740443,,-0.0,0.0,,0.5,,
4187,2-big_past_std_cut_wave-no-anomaly,dae,0,0.007038977280533474,0.0,0.04267561417635819,0.005990764664757169,0.03503316219495558,0.5212944332662642,,-0.0,0.0,,0.5,,
3145,2-big_past_std_cut_wave-no-anomaly,damp,0,0.00416465070527235,0.0,0.004647310353832093,0.003569481677248549,0.006409942551246899,0.1607981220657277,,-0.0,0.0,,0.5,,
3008,2-big_past_std_cut_wave-no-anomaly,deepant,0,0.0190731680096103,0.0,0.04493735090530409,0.015977444106269754,0.03308457835381807,0.82981220657277,,-0.0,0.0,,0.5,,
2135,2-big_past_std_cut_wave-no-anomaly,deepnap,0,0.005661565948501727,0.0,0.007044297255745877,0.004718715079933881,0.009176392636429134,0.4084507042253521,,-0.0,0.0,,0.5,,
1090,2-big_past_std_cut_wave-no-anomaly,encdec_ad,0,0.008533248466472791,0.0,0.005497918966264885,0.00711936820221186,0.006753461157258256,0.6120053655264923,,-0.0,0.0,,0.5,,
629,2-big_past_std_cut_wave-no-anomaly,fast_mcd,0,0.0042620274722142745,0.0,0.031923769468349926,0.003587470631085189,0.02657859095346616,0.22417840375586853,,-0.0,0.0,,0.5,,
2765,2-big_past_std_cut_wave-no-anomaly,gdn,0,0.011968174927799027,0.0,0.0039040716576196075,0.010025895051660082,0.0045571319606926885,0.7247191011235955,,-0.0,0.0,,0.5,,
1605,2-big_past_std_cut_wave-no-anomaly,hbos,0,0.0177378320139447,0.037037037037037035,0.021305756684204518,0.011702330378203132,0.018724630217038025,0.6426056338028169,,-0.0,0.0,,0.5,,
493,2-big_past_std_cut_wave-no-anomaly,health_esn,0,0.5171903571963115,0.07547169811320754,0.611621877052148,0.49050320343061643,0.4454659763265182,0.8152246814218645,,-0.0,0.0,,0.5,,
1385,2-big_past_std_cut_wave-no-anomaly,hif,0,0.00810963648155881,0.0,0.007353116916077651,0.006791927982911709,0.007665085197336589,0.5918846411804158,,-0.0,0.0,,0.5,,
75,2-big_past_std_cut_wave-no-anomaly,hybrid_knn,0,0.005102103859125306,0.0,0.0028561294730432554,0.004235986683113768,0.004582208441036005,0.33702213279678067,,-0.0,0.0,,0.5,,
3650,2-big_past_std_cut_wave-no-anomaly,if_lof,0,0.29947134726719654,0.07547169811320754,0.4033473533618657,0.2791333017192702,0.29235908910347763,0.9124748490945674,,-0.0,0.0,,0.5,,
2529,2-big_past_std_cut_wave-no-anomaly,iforest,0,0.009645440010777846,0.0,0.011458218866656475,0.008101281704826907,0.011342363659238875,0.6611334674714956,,-0.0,0.0,,0.5,,
4690,2-big_past_std_cut_wave-no-anomaly,kmeans,0,0.022136988662698392,0.056603773584905655,0.03804582316743647,0.017631980433826987,0.04020702004846093,0.8115358819584172,,-0.0,0.0,,0.5,,
1154,2-big_past_std_cut_wave-no-anomaly,knn,0,0.19126732930024626,0.056603773584905655,0.35110457787702304,0.18636418489133919,0.19435045144011787,0.6678403755868545,,-0.0,0.0,,0.5,,
2895,2-big_past_std_cut_wave-no-anomaly,laser_dbn,0,,0.0,0.503,,0.503,,,-0.0,0.0,,0.5,,
3983,2-big_past_std_cut_wave-no-anomaly,lstm-vae,0,,0.0,0.503,,0.503,,,,0.0,0.5,,0.5,
2306,2-big_past_std_cut_wave-no-anomaly,lstm_ad,0,0.022378305866912394,0.056603773584905655,0.033477090612407855,0.016741441282630744,0.03329869433996331,0.5679074446680081,,-0.0,0.0,,0.5,,
2039,2-big_past_std_cut_wave-no-anomaly,mstamp,0,0.004515871376292864,0.0,0.0030451099859230227,0.003822944147169592,0.0035382488015009506,0.2597250167672703,,-0.0,0.0,,0.5,,
2623,2-big_past_std_cut_wave-no-anomaly,multi_hmm,0,0.005651234189396956,0.0,0.004172060121895648,0.004194406263898502,0.0042748561745272265,0.30742790073775994,,-0.0,0.0,,0.5,,
1479,2-big_past_std_cut_wave-no-anomaly,multi_subsequence_lof,0,0.014829477118673239,0.0,0.007271143984078128,0.012520980578820473,0.008482721284339873,0.7788397048960429,,-0.0,0.0,,0.5,,
3703,2-big_past_std_cut_wave-no-anomaly,normalizing_flows,0,,0.0,0.503,,0.503,,,,0.0,0.5,,0.5,
4708,2-big_past_std_cut_wave-no-anomaly,omni,0,0.006413212582799231,0.0,0.09543042629957199,0.005254664542835184,0.09690441191196442,0.40740740740740744,,-0.0,0.0,,0.5,,
351,2-big_past_std_cut_wave-no-anomaly,pca,0,0.006534224097515236,0.0,,0.004335488117133687,,0.323943661971831,,,,,,,
3280,2-big_past_std_cut_wave-no-anomaly,pcc,0,0.013605560713066716,0.018867924528301886,0.03542172537147417,0.010720152433387361,0.02950799876554721,0.6981891348088533,,-0.0,0.0,,0.5,,
1908,2-big_past_std_cut_wave-no-anomaly,random_black_forest,0,0.009989475443635362,0.0,0.020841452456188583,0.008029752397435242,0.013721704290318885,0.6343058350100603,,-0.0,0.0,,0.5,,
