index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
855,2-big_past_std_cut_wave,autoencoder,0,0.003792274175265625,0.0,0.033713357754597835,0.003243670734848854,0.03049584728485527,0.08802816901408447,,0.0037865235782968075,0.0,0.05321751324316665,0.0032361482424545143,0.0624565333252943,0.0903755868544601
4972,2-big_past_std_cut_wave,cblof,0,0.02212706014469797,0.018867924528301886,0.059510367560767,0.01819275720735933,0.05374295734375621,0.8418846411804158,,0.01336714573625718,0.03773584905660377,0.023301289075391432,0.010532165752493198,0.020881370127343608,0.7080818242790073
2427,2-big_past_std_cut_wave,cof,0,0.19383705233219387,0.07547169811320754,0.36439460609167545,0.2173241124030758,0.1996559623922064,0.9137323943661971,,0.22731941261353023,0.11320754716981131,0.08043667191394464,0.16469142485552457,0.08154342851312547,0.977531857813548
4425,2-big_past_std_cut_wave,copod,0,0.006527706369760295,0.0,0.02906920059191145,0.005314048502343287,0.019566387639863826,0.47484909456740443,,0.0064663821777355725,0.0,0.02096318816281513,0.005283143988230514,0.0157204024537525,0.4736753856472167
4174,2-big_past_std_cut_wave,dae,0,0.0072904937863509985,0.0,0.014631384977641335,0.006211087052684132,0.014775258403164376,0.5363849765258216,,0.007312878968563034,0.0,0.07374594154953107,0.006224800696574639,0.05357408036229263,0.539403085177733
3194,2-big_past_std_cut_wave,damp,0,0.00416465070527235,0.0,0.004647310353832093,0.003569481677248549,0.006409942551246899,0.1607981220657277,,0.004191511308150198,0.0,0.04829074860130761,0.0035912970271411403,0.05908797550878296,0.16784037558685447
3090,2-big_past_std_cut_wave,deepant,0,0.017262614598515455,0.0,0.03202982976896374,0.014438171153363245,0.030160294414127663,0.812541918175721,,0.016502963917702763,0.0,0.004152820308446737,0.013822180197092294,0.005428450910023714,0.8026492287055668
2153,2-big_past_std_cut_wave,deepnap,0,0.00573847214297089,0.0,0.006959522455313347,0.004781745545951662,0.009247017765195292,0.41666666666666663,,0.005685363808060746,0.0,0.007175031623149387,0.004739914677694933,0.009409933544273393,0.4104627766599598
1114,2-big_past_std_cut_wave,encdec_ad,0,0.004485601287268017,0.0,0.017646695951728117,0.0038212153845696385,0.020321085012883513,0.2432930918846412,,0.0045053823393726815,0.0,0.018136353506598077,0.0038402372851239893,0.02436827841039798,0.24513749161636486
624,2-big_past_std_cut_wave,fast_mcd,0,0.004315771270323673,0.0,0.03186225440598025,0.003629008522058112,0.026447292944595607,0.2347417840375587,,0.004365720339035134,0.0,0.007895451187208267,0.0036762394222234806,0.005461032543568868,0.24228705566733735
