index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
793,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,autoencoder,0,0.0034306275701770066,0.0,0.16666666666666666,0.0022416295745621875,0.16666666666666666,0.5746492985971944,,-0.0,0.0,,0.5,,
4957,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,cblof,0,1.0,0.0392156862745098,0.7857142857142857,1.0,0.7857142857142857,1.0,,-0.0,0.0,,0.5,,
2338,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,cof,0,1.0,0.0392156862745098,0.875,1.0,0.875,1.0,,-0.0,0.0,,0.5,,
4532,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,copod,0,0.00883367839889579,0.0196078431372549,0.027831088664421997,0.004814295479257116,0.027831088664421997,0.6513026052104208,,-0.0,0.0,,0.5,,
4124,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,dae,0,0.0032991237837052814,0.0,0.2,0.0022002226848041825,0.2,0.5460921843687375,,-0.0,0.0,,0.5,,
3266,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,damp,0,0.004395688403027291,0.0,0.003106617647058823,0.0026909408484564463,0.003106617647058823,0.6437875751503006,,-0.0,0.0,,0.5,,
3073,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,deepant,0,0.030534099161550143,0.0196078431372549,0.07444046697626419,0.015547948457179566,0.07444046697626419,0.5465931863727456,,-0.0,0.0,,0.5,,
2133,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,deepnap,0,0.003430492241101441,0.0,0.01633241758241758,0.0022083427674935213,0.01633241758241758,0.5756513026052105,,-0.0,0.0,,0.5,,
1133,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,encdec_ad,0,0.003964881365447443,0.0,0.004790407689612891,0.0025235662238492626,0.004790407689612891,0.6307615230460922,,-0.0,0.0,,0.5,,
711,2-cbf-all-channel-middle-platform-anomaly-no-anomaly,fast_mcd,0,0.0029509659266376146,0.0,0.17708333333333331,0.0018900766614945949,0.17708333333333331,0.5055110220440882,,-0.0,0.0,,0.5,,
