index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
810,2-cbf-one-channel-middle-anomaly-no-anomaly,autoencoder,0,0.08030855490393042,0.0,0.11006809467136146,0.07761838079433048,0.2104038605407425,0.831168384879725,,-0.0,0.0,,0.5,,
4908,2-cbf-one-channel-middle-anomaly-no-anomaly,cblof,0,0.028940838891869256,0.0,0.02399715474606775,0.0276174477384718,0.04702808898208878,0.5038487972508591,,-0.0,0.0,,0.5,,
2430,2-cbf-one-channel-middle-anomaly-no-anomaly,cof,0,0.02278987214091429,0.0,0.013323897452683557,0.021840140686322774,0.037178037630662214,0.37439862542955327,,-0.0,0.0,,0.5,,
4440,2-cbf-one-channel-middle-anomaly-no-anomaly,copod,0,0.044536699505951904,0.0,0.056472484633403076,0.04275497998192426,0.10364954297314427,0.6923024054982817,,-0.0,0.0,,0.5,,
4257,2-cbf-one-channel-middle-anomaly-no-anomaly,dae,0,0.042861402348027544,0.0,0.08268134893013275,0.04141145757621705,0.13168201564359563,0.6660824742268041,,-0.0,0.0,,0.5,,
3222,2-cbf-one-channel-middle-anomaly-no-anomaly,damp,0,0.058580456423534516,0.015384615384615384,0.057394959301777175,0.05633426107099547,0.09995031096242564,0.7631958762886598,,-0.0,0.0,,0.5,,
3065,2-cbf-one-channel-middle-anomaly-no-anomaly,deepant,0,0.023756380637933776,0.0,0.06853490700992501,0.022962919772967553,0.1551287055139908,0.37367697594501714,,-0.0,0.0,,0.5,,
2190,2-cbf-one-channel-middle-anomaly-no-anomaly,deepnap,0,0.06410342337308565,0.0,0.10301075268817203,0.06208745496823866,0.130752688172043,0.7742268041237114,,-0.0,0.0,,0.5,,
1014,2-cbf-one-channel-middle-anomaly-no-anomaly,encdec_ad,0,0.06677518864037596,0.07692307692307691,0.08810983252729065,0.06382254182278532,0.08531057414549041,0.7844329896907216,,-0.0,0.0,,0.5,,
675,2-cbf-one-channel-middle-anomaly-no-anomaly,fast_mcd,0,0.029808208113109476,0.0,0.07240098143687365,0.028818405529729137,0.13007612640311916,0.5031615120274914,,-0.0,0.0,,0.5,,
