index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
750,2-cbf-one-channel-middle-anomaly,autoencoder,0,0.106120930187872,0.046153846153846156,0.2259104716049197,0.10257662946890747,0.2914638974133352,0.877147766323024,,0.06297251070041117,0.061538461538461535,0.056774889898120226,0.05369614206074136,0.14538955482387592,0.38670103092783503
4912,2-cbf-one-channel-middle-anomaly,cblof,0,0.028940838891869256,0.0,0.02399715474606775,0.0276174477384718,0.04702808898208878,0.5038487972508591,,0.024355931559843245,0.0,0.030952055466967256,0.023220354922411774,0.04431350135817173,0.41010309278350515
2337,2-cbf-one-channel-middle-anomaly,cof,0,0.02278987214091429,0.0,0.013323897452683557,0.021840140686322774,0.037178037630662214,0.37439862542955327,,0.03857946026550045,0.0,0.022660119143208535,0.03679824294605779,0.04217566362120455,0.544106529209622
4434,2-cbf-one-channel-middle-anomaly,copod,0,0.044536699505951904,0.0,0.056472484633403076,0.04275497998192426,0.10364954297314427,0.6923024054982817,,0.054003254594739536,0.061538461538461535,0.076387475502312,0.048128732525984166,0.04434153739454394,0.6122680412371134
4266,2-cbf-one-channel-middle-anomaly,dae,0,0.06293891866803925,0.0,0.2326582958452198,0.06089459043204493,0.31807640260405234,0.7748453608247423,,0.041730471807527585,0.061538461538461535,0.12920762578002581,0.03729771203864965,0.1682636112975433,0.4360137457044674
3250,2-cbf-one-channel-middle-anomaly,damp,0,0.058580456423534516,0.015384615384615384,0.057394959301777175,0.05633426107099547,0.09995031096242564,0.7631958762886598,,0.0242457295890207,0.0,0.04032326060589446,0.02312994262893363,0.04270081275137129,0.41072164948453604
3056,2-cbf-one-channel-middle-anomaly,deepant,0,0.021835544945805054,0.0,0.06504727322489293,0.021060299348064186,0.08495280880784305,0.338213058419244,,0.14759936970584447,0.30769230769230765,0.09086332300514505,0.1416590153261514,0.1615323718319078,0.8752577319587629
2203,2-cbf-one-channel-middle-anomaly,deepnap,0,0.06352244379868957,0.0,0.17000895094880059,0.06152311850400414,0.1835266738274257,0.7720618556701031,,0.022350373478756475,0.0,0.0967814060914304,0.02159091869845681,0.11022947884952745,0.3389003436426117
1030,2-cbf-one-channel-middle-anomaly,encdec_ad,0,0.06457126999656966,0.07692307692307691,0.09436121201209348,0.06165644419501029,0.08872242402418692,0.7572852233676975,,0.020661109574511994,0.0,0.007578484034297584,0.01999541009204404,0.013263028674655775,0.2555670103092783
697,2-cbf-one-channel-middle-anomaly,fast_mcd,0,0.05311300440401302,0.0,0.12306490323125407,0.05138209670802168,0.23886045167854186,0.7291752577319587,,0.0364571715608581,0.0,0.07390611002383005,0.03516109988618779,0.14078456988220103,0.6002061855670102
2798,2-cbf-one-channel-middle-anomaly,gdn,0,0.04551175915985634,0.0,0.05740854491932078,0.04401365868049258,0.07252873005028178,0.6768237347294939,,-0.0,0.0,,0.5,,
1653,2-cbf-one-channel-middle-anomaly,hbos,0,0.04170280436409469,0.0,0.09281584403952825,0.028406908958304833,0.11045050771595395,0.508573883161512,,0.03395977963524314,0.0,0.039166828652997726,0.025342462674741974,0.05928595172379897,0.4547766323024055
525,2-cbf-one-channel-middle-anomaly,health_esn,0,0.1129368821272771,0.030769230769230767,0.16377133995360593,0.10935521748234125,0.30090025282143507,0.8832646048109967,,0.026687313258571044,0.046153846153846156,0.04027974950914993,0.0248012913317392,0.04623200506174638,0.4004123711340206
