index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
785,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,autoencoder,0,0.09658659558485341,0.0,0.13660219193682985,0.09561650366585125,0.3764620725258052,0.5169888888888889,,-0.0,0.0,,0.5,,
4939,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,cblof,0,0.08534394727920516,0.0,0.06368062068888253,0.08409022732723669,0.11563282420610288,0.44674444444444444,,-0.0,0.0,,0.5,,
2378,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,cof,0,0.23910210437350535,0.29,0.12178241821724187,0.23325540432631942,0.2291809996254731,0.738488888888889,,-0.0,0.0,,0.5,,
4531,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,copod,0,0.05886273849210656,0.0,0.0947952483998886,0.05815337326708228,0.20765300509418244,0.19491111111111112,,-0.0,0.0,,0.5,,
4219,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,dae,0,0.05566009348795163,0.0,0.07996838788071185,0.05510692030057384,0.3234848544561568,0.09468888888888888,,-0.0,0.0,,0.5,,
3144,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,damp,0,0.18119676234758791,0.22,0.1382413202910317,0.17654806150090988,0.21125937133861505,0.7220333333333334,,-0.0,0.0,,0.5,,
3067,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,deepant,0,0.06461362469094878,0.0,0.11162383648962765,0.06394383825957337,0.2309376364509949,0.24982222222222225,,-0.0,0.0,,0.5,,
2141,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,deepnap,0,0.2025790439117102,0.20000000000000004,0.16709560207985047,0.20005941212955058,0.2265811024899175,0.8033111111111111,,-0.0,0.0,,0.5,,
1137,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,encdec_ad,0,0.08996409019397227,0.08,0.1064781601521201,0.08834423782569906,0.1438879231161732,0.46695555555555557,,-0.0,0.0,,0.5,,
687,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,fast_mcd,0,0.057761736837852434,0.0,0.06649685553413576,0.05717874288735063,0.22831710238090294,0.13951111111111109,,-0.0,0.0,,0.5,,
2739,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,gdn,0,0.05619328116813955,0.0,0.08029213651522463,0.05562610003143638,0.24716154691228678,0.09768361581920904,,-0.0,0.0,,0.5,,
1722,2-cbf-one-channel-middle-trend-anomaly-no-anomaly,hbos,0,0.07401057353521405,0.009523809523809525,0.09804823546625341,0.060434587618117985,0.19666401256157953,0.2194888888888889,,-0.0,0.0,,0.5,,
