index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
730,2-cbf-one-channel-middle-trend-anomaly,autoencoder,0,0.1275952815212815,0.0,0.21591463533349883,0.1262792549054679,0.3611893956017527,0.6553111111111111,,0.2581700765051227,0.12,0.339978151332958,0.2556418085677103,0.5187973266348063,0.8275222222222223
4937,2-cbf-one-channel-middle-trend-anomaly,cblof,0,0.08534394727920516,0.0,0.06368062068888253,0.08409022732723669,0.11563282420610288,0.44674444444444444,,0.10954262752787883,0.04,0.0891954932022918,0.10797899858993022,0.13161042571055398,0.5661999999999999
2459,2-cbf-one-channel-middle-trend-anomaly,cof,0,0.23910210437350535,0.29,0.12178241821724187,0.23325540432631942,0.2291809996254731,0.738488888888889,,0.1365345700758174,0.08,0.551212051348769,0.13405772140281857,0.1770113153043155,0.40327222222222225
4547,2-cbf-one-channel-middle-trend-anomaly,copod,0,0.05886273849210656,0.0,0.0947952483998886,0.05815337326708228,0.20765300509418244,0.19491111111111112,,0.3302240694639847,0.42999999999999994,0.16056322242444182,0.3224036505746327,0.2553537008119258,0.7603222222222222
4194,2-cbf-one-channel-middle-trend-anomaly,dae,0,0.07053716781247432,0.0,0.07809546045932843,0.0697950231115046,0.2423877978749639,0.32361111111111107,,0.3165890275488999,0.33,0.35469604261640997,0.3136681238106053,0.5885513728015417,0.8470444444444445
3198,2-cbf-one-channel-middle-trend-anomaly,damp,0,0.18119676234758791,0.22,0.1382413202910317,0.17654806150090988,0.21125937133861505,0.7220333333333334,,0.13153171629607907,0.12,0.12470367100524918,0.12923933211125566,0.18416162065983938,0.6534888888888889
3068,2-cbf-one-channel-middle-trend-anomaly,deepant,0,0.1133777106039508,0.0,0.14250442421497952,0.11190634426082674,0.1805293257537508,0.6054222222222223,,0.2122479714373801,0.29,0.14544012095270203,0.20679278114535699,0.23187930896896147,0.6293222222222222
2165,2-cbf-one-channel-middle-trend-anomaly,deepnap,0,0.20078492171997678,0.19,0.1601822571924743,0.1983330902941417,0.2174312637653401,0.8021444444444443,,0.12029358337330218,0.17,0.24471164829583417,0.11654135324062254,0.38963342760473507,0.32946666666666674
1122,2-cbf-one-channel-middle-trend-anomaly,encdec_ad,0,0.07396484495968063,0.0,0.13513262338090454,0.07309900749578616,0.14526524676180907,0.3696888888888889,,0.20844059298248607,0.27,0.25782133144887187,0.20445972583849903,0.3642604247550932,0.7855555555555557
589,2-cbf-one-channel-middle-trend-anomaly,fast_mcd,0,0.058802605126321635,0.0,0.0960727472104665,0.058153969221984035,0.25915271329763545,0.18723333333333333,,0.6771789281645403,0.49,0.6671374051719591,0.6763384493671639,0.6834240295172762,0.8450944444444444
2828,2-cbf-one-channel-middle-trend-anomaly,gdn,0,0.05793597403773597,0.0,0.14245111516019984,0.057325205976509384,0.18695112986899307,0.14651977401129943,,-0.0,0.0,,0.5,,
1634,2-cbf-one-channel-middle-trend-anomaly,hbos,0,0.07401057353521405,0.009523809523809525,0.09804823546625341,0.060434587618117985,0.19666401256157953,0.2194888888888889,,0.14843998318514312,0.037914691943127965,0.05206815025140699,0.11289914056041003,0.08203479849852671,0.5867555555555555
454,2-cbf-one-channel-middle-trend-anomaly,health_esn,0,0.07644224985476936,0.0,0.15314901985003304,0.0756019812952996,0.20993839035473266,0.3874777777777778,,0.08579320535062554,0.05000000000000001,0.5829212897112729,0.08429578285672551,0.13902376703300737,0.36487777777777775
1384,2-cbf-one-channel-middle-trend-anomaly,hif,0,0.07247495889655425,0.0,0.05654948818098437,0.07168456016277924,0.14868099859823977,0.34966666666666674,,0.8823112546716767,0.85,0.6180667157601772,0.8822029029887212,0.826840469470251,0.9110333333333334
137,2-cbf-one-channel-middle-trend-anomaly,hybrid_knn,0,0.1723411689477944,0.13930348258706468,0.18436603293752607,0.168363293412862,0.23751435033128354,0.7571500000000001,,0.2570397087110189,0.28,0.20923182528872702,0.2529867894277824,0.22926763298202052,0.719788888888889
3690,2-cbf-one-channel-middle-trend-anomaly,if_lof,0,0.1,0.0,0.05,0.05,0.05,0.42055555555555557,,0.21098288280705568,0.20999999999999996,0.03955538861402319,0.21527595226392238,0.07646310622675023,0.7750277777777778
2541,2-cbf-one-channel-middle-trend-anomaly,iforest,0,0.06627814309750195,0.0,0.06696661506669521,0.0655203719793772,0.15580910577680857,0.29204444444444444,,0.3266906513683738,0.41,0.15390640030347374,0.32274456788067823,0.3048778834124492,0.8386888888888888
4568,2-cbf-one-channel-middle-trend-anomaly,kmeans,0,0.09117158443874926,0.0,0.07462129592506152,0.09019312580655442,0.14476217649691434,0.49411111111111106,,0.15344097837745288,0.19,0.06262180647369461,0.15077439041196125,0.1569728262331604,0.7058333333333333
1180,2-cbf-one-channel-middle-trend-anomaly,knn,0,0.07372502478600285,0.0,0.07357461203735519,0.07291707224997887,0.2460632288194096,0.36361111111111116,,0.18437529812164963,0.0,0.26452220871766113,0.18238531566380028,0.3752026612294467,0.7528333333333335
4060,2-cbf-one-channel-middle-trend-anomaly,lstm-vae,0,,0.0,0.55,,0.55,,,,0.0,0.55,,0.55,
2206,2-cbf-one-channel-middle-trend-anomaly,lstm_ad,0,0.09659205460789716,0.0,0.14258384888191356,0.09553787821445395,0.18516769776382702,0.5231111111111111,,0.6330609692179617,0.56,0.6977426318413947,0.6322728664326741,0.5303672265320987,0.8436333333333332
2057,2-cbf-one-channel-middle-trend-anomaly,mstamp,0,0.17465429343649969,0.12,0.10545771115680137,0.17232882562131208,0.21605184647254924,0.6918666666666666,,0.08832798919906049,0.0,0.11886597298811787,0.0872951720210523,0.25188765616792375,0.47701111111111116
1511,2-cbf-one-channel-middle-trend-anomaly,multi_subsequence_lof,0,0.072771482145179,0.0,0.09367583320030112,0.0718094274589681,0.13228092073740252,0.35994444444444446,,0.2042842580987501,0.12,0.09777125348966695,0.20158823371865758,0.16717175248056834,0.7906666666666667
3754,2-cbf-one-channel-middle-trend-anomaly,normalizing_flows,0,,0.0,0.55,,0.55,,,,0.0,0.55,,0.55,
4828,2-cbf-one-channel-middle-trend-anomaly,omni,0,0.2771755535826565,0.2857142857142857,0.3135732114315033,0.27427776728580344,0.45559877157211304,0.8561339600470036,,0.06179636703744254,0.0,0.18082435429096222,0.06116905237004453,0.27071690559387207,0.1572385428907168
333,2-cbf-one-channel-middle-trend-anomaly,pca,0,0.07371466814207296,0.0,0.07071456483131391,0.06700658197214891,0.10814127947160607,0.3041555555555555,,0.14786332379172684,0.0,0.16501282505198678,0.13522121857082187,0.19575671071003417,0.6811555555555555
3303,2-cbf-one-channel-middle-trend-anomaly,pcc,0,0.0952939348045802,0.0,0.07026212103869833,0.09421258838458943,0.20542257978181022,0.5228222222222222,,0.25245237820454824,0.16,0.19958588837907976,0.2498640624688362,0.34505414111046523,0.8303111111111111
1888,2-cbf-one-channel-middle-trend-anomaly,random_black_forest,0,0.31428110792138614,0.38,0.10953666269021103,0.31023179442394244,0.39587920479340444,0.8655555555555556,,0.11788476656111295,0.10000000000000002,0.5568585197425424,0.11466571456160538,0.23971796597059414,0.44808888888888887
925,2-cbf-one-channel-middle-trend-anomaly,robust_pca,0,0.18471968067145636,0.0,0.2063077609506679,0.18273865856393665,0.3996855186417523,0.7821444444444444,,0.05758816645076257,0.0,0.21986551338232707,0.05690966154567226,0.4497250289358702,0.15017777777777777
225,2-cbf-one-channel-middle-trend-anomaly,subsequence_knn,0,0.09734652032672464,0.0,0.13157207918896607,0.09624943604385008,0.1978426396648453,0.5072333333333334,,0.8200191544513489,0.63,0.8811136626473053,0.8194304433434294,0.7622273252946106,0.9679888888888889
3919,2-cbf-one-channel-middle-trend-anomaly,tanogan,0,0.1,0.18181818181818182,0.05,0.05,0.05,0.4905555555555556,,0.1,0.18181818181818182,0.05,0.05,0.05,0.4905555555555556
4394,2-cbf-one-channel-middle-trend-anomaly,telemanom,0,0.11345419886431977,0.0,0.24730277777777776,0.11233665795503071,0.3279388888888889,0.5967,,0.9847175773998231,0.91,0.9888692664565826,0.9846438239063355,0.9777385329131654,0.998211111111111
3481,2-cbf-one-channel-middle-trend-anomaly,usad,0,0.10152559917097653,0.0,0.09482519328594208,0.1004587591374491,0.18367083370685577,0.49663574635068364,0.17232121527194977,0.4034389691805091,0.37142857142857144,0.24844962358474731,0.39886011391070303,0.3382546007633209,0.8915734434548575
