index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
740,2-cbf-one-channel-short-anomaly-no-anomaly,autoencoder,0,0.0067880132578800765,0.0,0.11937500000000001,0.006170699117674389,0.13125000000000003,0.1918181818181818,,-0.0,0.0,,0.5,,
4928,2-cbf-one-channel-short-anomaly-no-anomaly,cblof,0,0.020825413430287702,0.03636363636363636,0.016709543876886224,0.017180038751549782,0.012628084663741084,0.6482828282828283,,-0.0,0.0,,0.5,,
2341,2-cbf-one-channel-short-anomaly-no-anomaly,cof,0,0.02383038933759752,0.0,0.0035965842345762524,0.021498545062597126,0.00679778420780641,0.784949494949495,,-0.0,0.0,,0.5,,
4414,2-cbf-one-channel-short-anomaly-no-anomaly,copod,0,0.00648775229008631,0.0,0.034444444444444444,0.005895741058695161,0.03936507936507937,0.15666666666666668,,-0.0,0.0,,0.5,,
4159,2-cbf-one-channel-short-anomaly-no-anomaly,dae,0,0.00691861374764823,0.0,0.08666071428571429,0.006288139848424718,0.10189285714285713,0.2087878787878788,,-0.0,0.0,,0.5,,
3248,2-cbf-one-channel-short-anomaly-no-anomaly,damp,0,0.013745405292368406,0.0,0.07135903692580711,0.01248161068775653,0.06840488703842741,0.6094949494949495,,-0.0,0.0,,0.5,,
3069,2-cbf-one-channel-short-anomaly-no-anomaly,deepant,0,0.017797723362272967,0.0,0.029576769120155843,0.015844416808858085,0.020691999778773222,0.7127272727272728,,-0.0,0.0,,0.5,,
2096,2-cbf-one-channel-short-anomaly-no-anomaly,deepnap,0,0.007140537169986395,0.0,0.002690037712652844,0.0064914174183447245,0.004117449162679426,0.2319191919191919,,-0.0,0.0,,0.5,,
1138,2-cbf-one-channel-short-anomaly-no-anomaly,encdec_ad,0,0.019640897882294298,0.0,0.0409496227818435,0.01769514757901948,0.04856591223035367,0.7377777777777778,,-0.0,0.0,,0.5,,
651,2-cbf-one-channel-short-anomaly-no-anomaly,fast_mcd,0,0.0062375052458600345,0.0,0.04113842693620457,0.0056664746211225435,0.036822308417863686,0.12505050505050508,,-0.0,0.0,,0.5,,
2775,2-cbf-one-channel-short-anomaly-no-anomaly,gdn,0,0.007493622162280646,0.0,0.1088888888888889,0.006810676459319342,0.11686868686868687,0.2590769230769231,,-0.0,0.0,,0.5,,
1697,2-cbf-one-channel-short-anomaly-no-anomaly,hbos,0,0.018586919688241277,0.0,0.022792281248163602,0.011830457729955732,0.01617279779044485,0.6132323232323232,,-0.0,0.0,,0.5,,
470,2-cbf-one-channel-short-anomaly-no-anomaly,health_esn,0,0.0070621807299269135,0.0,0.019095153354680386,0.0063595748358003835,0.02935835710016789,0.26696969696969697,,-0.0,0.0,,0.5,,
1431,2-cbf-one-channel-short-anomaly-no-anomaly,hif,0,0.007545616435740163,0.0,0.056972222222222216,0.006853346650088129,0.06938888888888889,0.2795959595959596,,-0.0,0.0,,0.5,,
123,2-cbf-one-channel-short-anomaly-no-anomaly,hybrid_knn,0,0.008007272217220857,0.0,0.0055309734513274336,0.005717218002035315,0.0055309734513274336,0.12611111111111112,,-0.0,0.0,,0.5,,
3652,2-cbf-one-channel-short-anomaly-no-anomaly,if_lof,0,0.01,0.0,0.005,0.005,0.005,0.39444444444444443,,-0.0,0.0,,0.5,,
2523,2-cbf-one-channel-short-anomaly-no-anomaly,iforest,0,0.011276462951928185,0.0,0.00870867882913174,0.010152376817936131,0.011477825571580511,0.5414141414141415,,-0.0,0.0,,0.5,,
4686,2-cbf-one-channel-short-anomaly-no-anomaly,kmeans,0,0.011801946051874481,0.0,0.004181109003861577,0.01061559382315751,0.0072983882204891125,0.5665656565656566,,-0.0,0.0,,0.5,,
1257,2-cbf-one-channel-short-anomaly-no-anomaly,knn,0,0.01270015328390296,0.0,0.03278041917601236,0.011500792410264268,0.04364491642124003,0.5855050505050505,,-0.0,0.0,,0.5,,
2917,2-cbf-one-channel-short-anomaly-no-anomaly,laser_dbn,0,,0.0,0.505,,0.505,,,-0.0,0.0,,0.5,,
4036,2-cbf-one-channel-short-anomaly-no-anomaly,lstm-vae,0,,0.0,0.505,,0.505,,,,0.0,0.5,,0.5,
2323,2-cbf-one-channel-short-anomaly-no-anomaly,lstm_ad,0,0.02597503853278695,0.0,0.01419063281226469,0.02357049825257127,0.024381265624529382,0.7985858585858585,,-0.0,0.0,,0.5,,
2008,2-cbf-one-channel-short-anomaly-no-anomaly,mstamp,0,0.008219312021244077,0.0,0.0180108538804191,0.007460799707915404,0.028445950185080615,0.3429292929292929,,-0.0,0.0,,0.5,,
2666,2-cbf-one-channel-short-anomaly-no-anomaly,multi_hmm,0,0.029498525073746312,0.0,0.006127450980392157,0.014749262536873156,0.006127450980392157,0.7005050505050505,,-0.0,0.0,,0.5,,
1565,2-cbf-one-channel-short-anomaly-no-anomaly,multi_subsequence_lof,0,0.012633143904005432,0.0,0.007108451996020395,0.011467830051022507,0.010466903992040791,0.5755555555555556,,-0.0,0.0,,0.5,,
3769,2-cbf-one-channel-short-anomaly-no-anomaly,normalizing_flows,0,,0.0,0.505,,0.505,,,,0.0,0.5,,0.5,
4729,2-cbf-one-channel-short-anomaly-no-anomaly,omni,0,0.014012222186792125,0.0,0.059704046696424484,0.012688108925231645,0.07602424919605255,0.6053666312433581,,-0.0,0.0,,0.5,,
347,2-cbf-one-channel-short-anomaly-no-anomaly,pca,0,0.020165530510358097,0.0,,0.013105435280367965,,0.6435353535353535,,,,,,,
3374,2-cbf-one-channel-short-anomaly-no-anomaly,pcc,0,0.00707004620422153,0.0,0.0370446571845138,0.00642043546094222,0.033508912858393546,0.2317171717171717,,-0.0,0.0,,0.5,,
1923,2-cbf-one-channel-short-anomaly-no-anomaly,random_black_forest,0,0.011211115710697665,0.0,0.02697437024131602,0.010183886693229284,0.06224993758978056,0.5177777777777778,,-0.0,0.0,,0.5,,
878,2-cbf-one-channel-short-anomaly-no-anomaly,robust_pca,0,0.007948271509840885,0.0,0.03764141830232659,0.007211148095300026,0.044376619534052544,0.3228282828282828,,-0.0,0.0,,0.5,,
188,2-cbf-one-channel-short-anomaly-no-anomaly,subsequence_knn,0,0.013667289805749952,0.0,0.014136656686966285,0.012424929856482855,0.02186305696367616,0.6033333333333334,,-0.0,0.0,,0.5,,
3956,2-cbf-one-channel-short-anomaly-no-anomaly,tanogan,0,0.01,0.019801980198019802,0.005,0.005,0.005,0.4914141414141414,,-0.0,0.0,,0.5,,
4344,2-cbf-one-channel-short-anomaly-no-anomaly,telemanom,0,0.04140467196474922,0.0,0.07697947214076245,0.0376403189969385,0.0971407624633431,0.8752525252525253,,-0.0,0.0,,0.5,,
3541,2-cbf-one-channel-short-anomaly-no-anomaly,usad,0,0.01643238812197825,0.0,0.024451417848467827,0.015632694197452283,0.0424925796687603,0.3600728812724676,0.21489346027374268,-0.0,0.0,,0.5,,
