index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
743,2-cbf-one-channel-short-anomaly,autoencoder,0,0.008125808573126735,0.0,0.16233928571428569,0.007385684314641766,0.21578571428571428,0.3274747474747475,,0.06593787428948293,0.18181818181818182,0.022885789014821276,0.05996406206293662,0.02964254577157803,0.9246464646464647
4923,2-cbf-one-channel-short-anomaly,cblof,0,0.020825413430287702,0.03636363636363636,0.016709543876886224,0.017180038751549782,0.012628084663741084,0.6482828282828283,,0.02104720675102908,0.01818181818181818,0.038558007397250016,0.018313108272292523,0.057558554575001177,0.6725252525252525
2365,2-cbf-one-channel-short-anomaly,cof,0,0.02383038933759752,0.0,0.0035965842345762524,0.021498545062597126,0.00679778420780641,0.784949494949495,,0.006427518094955287,0.0,0.010740363304977737,0.005729895221198891,0.01823881104136695,0.20045454545454547
4455,2-cbf-one-channel-short-anomaly,copod,0,0.00648775229008631,0.0,0.034444444444444444,0.005895741058695161,0.03936507936507937,0.15666666666666668,,0.028536504955549755,0.0,0.0016014935650294662,0.02594593295461068,0.0017428962799615926,0.8146464646464646
4173,2-cbf-one-channel-short-anomaly,dae,0,0.00770945449026033,0.0,0.059716225392500655,0.007002884792202192,0.08572388724908969,0.29464646464646466,,0.02256259876472993,0.0,0.07573329977461334,0.02039915047931848,0.07466227451926605,0.7715151515151515
3196,2-cbf-one-channel-short-anomaly,damp,0,0.013745405292368406,0.0,0.07135903692580711,0.01248161068775653,0.06840488703842741,0.6094949494949495,,0.014705583305083939,0.01818181818181818,0.034752522772798645,0.012264355610218245,0.04513335242390417,0.6069696969696969
3112,2-cbf-one-channel-short-anomaly,deepant,0,0.007775061561750172,0.0,0.040360736281692164,0.007057533900975706,0.05441197568771098,0.30484848484848487,,0.02054275297195378,0.0,0.006345778490756373,0.018492076727645607,0.018490909807391757,0.7520202020202019
2130,2-cbf-one-channel-short-anomaly,deepnap,0,0.00713091130372131,0.0,0.0026647700956573205,0.006482720805187557,0.0040711509295696755,0.2308080808080808,,0.007046345975805682,0.0,0.055965909090909094,0.006406226733417979,0.06505681818181819,0.22101010101010102
1102,2-cbf-one-channel-short-anomaly,encdec_ad,0,0.01608482905306886,0.0,0.010794420861127956,0.014623468112827746,0.017667273094804932,0.6642424242424242,,0.05312634756016123,0.1090909090909091,0.2063988095238095,0.04804206566940558,0.24613095238095237,0.9073737373737374
616,2-cbf-one-channel-short-anomaly,fast_mcd,0,0.007459758809682293,0.0,0.07361760660247593,0.006779288372802341,0.10992052575271283,0.2675757575757576,,0.014180094922534716,0.0,0.021645021645021644,0.012898548632839523,0.021645021645021644,0.615959595959596
2846,2-cbf-one-channel-short-anomaly,gdn,0,0.007597858710874658,0.0,0.05088107879774546,0.006891004632710135,0.05630761214094547,0.2806153846153846,,-0.0,0.0,,0.5,,
1611,2-cbf-one-channel-short-anomaly,hbos,0,0.018586919688241277,0.0,0.022792281248163602,0.011830457729955732,0.01617279779044485,0.6132323232323232,,0.0426484963486861,0.03636363636363636,0.025244772349539247,0.027078001928096805,0.023057141490573765,0.785
480,2-cbf-one-channel-short-anomaly,health_esn,0,0.008103188932541631,0.0,0.07669483372059249,0.007359953623821553,0.13346754284054602,0.3297979797979798,,0.00702546955600616,0.0,0.02169078339787598,0.006307098773435167,0.02929151918816683,0.268989898989899
1324,2-cbf-one-channel-short-anomaly,hif,0,0.009930760283796983,0.0,0.10506465517241378,0.00902718124015963,0.12821679438058747,0.45136363636363636,,0.04717884330516215,0.07272727272727272,0.022546822180465144,0.0425161315248785,0.04858972611671756,0.8955555555555555
62,2-cbf-one-channel-short-anomaly,hybrid_knn,0,0.007156568391492577,0.0,0.0035457211535305276,0.006395502129344534,0.004891222285058856,0.2204040404040404,,0.04883283281012222,0.05454545454545455,0.029071093356807645,0.04357244261951904,0.05351255708398566,0.8991919191919192
3600,2-cbf-one-channel-short-anomaly,if_lof,0,0.01,0.0,0.005,0.005,0.005,0.39444444444444443,,0.040915126412488054,0.05454545454545455,0.029304817308541994,0.03643767469445399,0.022895348902798273,0.8805050505050506
2504,2-cbf-one-channel-short-anomaly,iforest,0,0.011276462951928185,0.0,0.00870867882913174,0.010152376817936131,0.011477825571580511,0.5414141414141415,,0.03115619166659529,0.0,0.024931037855418482,0.028101335107281435,0.04760564181076417,0.8385858585858587
4584,2-cbf-one-channel-short-anomaly,kmeans,0,0.011801946051874481,0.0,0.004181109003861577,0.01061559382315751,0.0072983882204891125,0.5665656565656566,,0.02786712059809244,0.03636363636363636,0.008469757211404312,0.02463622707607946,0.011939514422808627,0.8101010101010102
1248,2-cbf-one-channel-short-anomaly,knn,0,0.01270015328390296,0.0,0.03278041917601236,0.011500792410264268,0.04364491642124003,0.5855050505050505,,0.14336684018915052,0.18181818181818182,0.14673611111111112,0.12961916584282102,0.16847222222222222,0.9696969696969698
2935,2-cbf-one-channel-short-anomaly,laser_dbn,0,0.01,0.0,0.005,0.005,0.005,0.15606060606060607,,0.039843558767272545,0.049586776859504134,0.01631134936186225,0.025749285211142094,0.007622698723724503,0.8171212121212121
4061,2-cbf-one-channel-short-anomaly,lstm-vae,0,,0.0,0.505,,0.505,,,,0.0,0.505,,0.505,
2238,2-cbf-one-channel-short-anomaly,lstm_ad,0,0.008259576422450053,0.0,0.00576915566089534,0.007471589345671012,0.01006772308649656,0.36171717171717177,,0.0128282784509039,0.01818181818181818,0.007398324559928465,0.010958917488448055,0.010551170745705383,0.557070707070707
2063,2-cbf-one-channel-short-anomaly,mstamp,0,0.008219312021244077,0.0,0.0180108538804191,0.007460799707915404,0.028445950185080615,0.3429292929292929,,0.008977270264996989,0.0,0.034005313067479455,0.008114962336098227,0.03368966401047109,0.415959595959596
1494,2-cbf-one-channel-short-anomaly,multi_subsequence_lof,0,0.012633143904005432,0.0,0.007108451996020395,0.011467830051022507,0.010466903992040791,0.5755555555555556,,0.01722113847182094,0.0,0.04544127851504901,0.01560252279281012,0.06838967953722051,0.6943434343434344
3704,2-cbf-one-channel-short-anomaly,normalizing_flows,0,,0.0,0.505,,0.505,,,,0.0,0.505,,0.505,
4830,2-cbf-one-channel-short-anomaly,omni,0,0.02785818670714879,0.0,0.056919123977422714,0.025172584279588104,0.083469919860363,0.8071200850159405,,0.007933827333987177,0.0,0.06276334822177887,0.007204834562847299,0.06302668154239655,0.28076514346439957
327,2-cbf-one-channel-short-anomaly,pca,0,0.020165530510358097,0.0,0.00720361509835194,0.013105435280367965,0.008559276980329612,0.6435353535353535,,0.02327604019911712,0.0,0.025195461832531754,0.012837420399408635,0.024247132815390305,0.6184848484848485
3340,2-cbf-one-channel-short-anomaly,pcc,0,0.00707004620422153,0.0,0.0370446571845138,0.00642043546094222,0.033508912858393546,0.2317171717171717,,0.010035070641420073,0.0,0.0032444887704780414,0.008978848616774806,0.005837087058557125,0.4906060606060606
1921,2-cbf-one-channel-short-anomaly,random_black_forest,0,0.010214730477734557,0.0,0.03211203231292516,0.009272454547876481,0.11366071428571428,0.4726262626262626,,0.008814178059958084,0.0,0.02179498206946664,0.007881915304935695,0.02956065970481484,0.42404040404040405
908,2-cbf-one-channel-short-anomaly,robust_pca,0,0.008089055224667902,0.0,0.126,0.007351605667016261,0.15200000000000002,0.32494949494949493,,0.00602819387447099,0.0,0.15688048245614034,0.005480561229463284,0.18876096491228073,0.08777777777777777
185,2-cbf-one-channel-short-anomaly,subsequence_knn,0,0.013667289805749952,0.0,0.014136656686966285,0.012424929856482855,0.02186305696367616,0.6033333333333334,,0.2633801442010824,0.18181818181818182,0.1452205882352941,0.24207109785527137,0.1966911764705882,0.9858585858585858
3934,2-cbf-one-channel-short-anomaly,tanogan,0,0.01,0.019801980198019802,0.005,0.005,0.005,0.4914141414141414,,0.01,0.019801980198019802,0.005,0.005,0.005,0.4914141414141414
4356,2-cbf-one-channel-short-anomaly,telemanom,0,0.05156066286271059,0.07272727272727272,0.06749989776305565,0.04685374007003065,0.095526111315585,0.9018181818181817,,0.07916634565151513,0.18181818181818182,0.030772686433063794,0.0722402911448437,0.04964061096136568,0.9370707070707072
3466,2-cbf-one-channel-short-anomaly,usad,0,0.018413250535787382,0.0,0.025404049083590508,0.017548826784751295,0.047831907868385315,0.41808243462845324,0.26594406366348267,0.013436835271645551,0.0,0.014032081700861454,0.012812457907482509,0.021408772096037865,0.18978677303392916
