index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
772,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,autoencoder,0,0.34570535072083064,0.28571428571428564,0.5937699147973916,0.3332714322820007,0.29054784164966874,0.7027579162410623,,-0.0,0.0,,0.5,,
4868,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,cblof,0,0.10873592426735218,0.09523809523809525,0.10445744533586235,0.08897750867275896,0.10891959387544105,0.37334014300306434,,-0.0,0.0,,0.5,,
2405,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,cof,0,0.3617114238920658,0.28571428571428564,0.604541715724519,0.35583461904197844,0.34306973106630556,0.5597548518896833,,-0.0,0.0,,0.5,,
4539,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,copod,0,0.28605909032045396,0.28571428571428564,0.19402893987874226,0.24249147228249693,0.22412023728723338,0.6976506639427987,,-0.0,0.0,,0.5,,
4193,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,dae,0,0.3514950600557417,0.28571428571428564,0.5907851802337096,0.33866593979240295,0.2934203163971435,0.696629213483146,,-0.0,0.0,,0.5,,
3124,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,damp,0,0.11,0.19819819819819817,0.555,0.555,0.555,0.5,,-0.0,0.0,0.5,0.5,0.5,
594,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,fast_mcd,0,0.3853936054384506,0.28571428571428564,0.6060121201832431,0.3779833537590722,0.3700281161229656,0.6394279877425946,,-0.0,0.0,,0.5,,
2709,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,gdn,0,0.36275564043538566,0.3,0.6357846435971436,0.3493065739868272,0.3667326886076886,0.6412776412776413,,-0.0,0.0,,0.5,,
1649,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,hbos,0,0.2522786703547803,0.28571428571428564,0.22753414771275796,0.2135120303938884,0.1829811309829796,0.637385086823289,,-0.0,0.0,,0.5,,
469,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,health_esn,0,0.3754822215895717,0.28571428571428564,0.6519281541503763,0.3528775067886254,0.34311682145015476,0.8069458631256384,,-0.0,0.0,,0.5,,
1334,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,hif,0,0.2524408319538465,0.28571428571428564,0.1837690043010734,0.2098283901096274,0.194670875373009,0.6741573033707864,,-0.0,0.0,,0.5,,
3692,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,if_lof,0,0.12410073180408109,0.09523809523809525,0.11669206235488251,0.10868213669752047,0.12608859898896488,0.4923391215526047,,-0.0,0.0,,0.5,,
2492,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,iforest,0,0.36923124718076505,0.28571428571428564,0.6053768991363905,0.36284572837180473,0.3654411158150497,0.5863125638406537,,-0.0,0.0,,0.5,,
4598,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,kmeans,0,0.06617809290452006,0.0,0.11017125749236895,0.060777397466479435,0.11007389727500964,0.07865168539325844,,-0.0,0.0,,0.5,,
1249,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,knn,0,0.11823374427908699,0.09523809523809525,0.11182563306120862,0.10281781163275845,0.12393102449041093,0.4841675178753831,,-0.0,0.0,,0.5,,
2930,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,laser_dbn,0,0.3493925363621794,0.28571428571428564,0.600363569703926,0.3281425269601117,0.30992207029395946,0.7068437180796732,,-0.0,0.0,,0.5,,
4044,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,lstm-vae,0,,0.0,0.555,,0.555,,,,0.0,0.5,,0.5,
2006,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,mstamp,0,0.14493831583995392,0.0,0.2693370633377318,0.13382773416200083,0.29236506586105515,0.634320735444331,,-0.0,0.0,,0.5,,
2656,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,multi_hmm,0,0.0808239379667951,0.0,0.10840964772557642,0.06175628444536008,0.16234804041308745,0.1613891726251277,,-0.0,0.0,,0.5,,
3805,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,normalizing_flows,0,1.0,0.9523809523809523,1.0,1.0,1.0,1.0,,-0.0,0.0,,0.5,,
320,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,pca,0,0.1362944513629445,0.0,,0.08803358931783589,,0.4433094994892748,,,,,,,
3346,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,pcc,0,0.21482239519169233,0.1904761904761905,0.585779128401839,0.2009430864314486,0.21245346255263586,0.4187946884576098,,-0.0,0.0,,0.5,,
964,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly-no-anomaly,robust_pca,0,0.19774854311480283,0.1904761904761905,0.16503655410740972,0.17406400764601918,0.21326580678184956,0.7242083758937691,,-0.0,0.0,,0.5,,
