index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
741,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly,autoencoder,0,0.3537962740509929,0.28571428571428564,0.5955372592949992,0.3408691255035199,0.29767683838392867,0.7129724208375894,,0.10404609373402353,0.0,0.10695419019190303,0.0919590290665118,0.18081848288997177,0.4443309499489275
4960,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly,cblof,0,0.10873592426735218,0.09523809523809525,0.10445744533586235,0.08897750867275896,0.10891959387544105,0.37334014300306434,,0.10548848524454035,0.09523809523809525,0.11897977077818975,0.08731390002783969,0.10712594553009573,0.37180796731358534
2408,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly,cof,0,0.3617114238920658,0.28571428571428564,0.604541715724519,0.35583461904197844,0.34306973106630556,0.5597548518896833,,0.22245383682393538,0.1904761904761905,0.6073047410438128,0.20824863348165232,0.2476303835620845,0.4346271705822267
4430,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly,copod,0,0.28605909032045396,0.28571428571428564,0.19402893987874226,0.24249147228249693,0.22412023728723338,0.6976506639427987,,0.24882461824276528,0.28571428571428564,0.6135293140779855,0.2323150321325627,0.26196630077489846,0.5143003064351379
4134,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly,dae,0,0.34012331797091505,0.28571428571428564,0.5915389804911864,0.32790625379621036,0.294140270586349,0.6772216547497446,,0.09397723452968551,0.0,0.12234463364208475,0.08309359364949293,0.17079270137249308,0.38406537282941783
3205,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly,damp,0,0.11,0.19819819819819817,0.555,0.555,0.555,0.5,,0.11,0.19819819819819817,0.555,0.555,0.555,0.5
690,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly,fast_mcd,0,0.37385064657208433,0.28571428571428564,0.6062281147657942,0.3672231440287377,0.355343098587364,0.6087844739530133,,0.24043237128473513,0.28571428571428564,0.6305501687854629,0.22394419379743888,0.2828807407684413,0.424923391215526
2750,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly,gdn,0,0.15167596398091832,0.19999999999999998,0.1627899217538255,0.13233688300970703,0.20742037310792089,0.5319410319410319,,-0.0,0.0,,0.5,,
1647,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly,hbos,0,0.2522786703547803,0.28571428571428564,0.22753414771275796,0.2135120303938884,0.1829811309829796,0.637385086823289,,0.20492717473627928,0.1904761904761905,0.19719610318875025,0.16376987808875315,0.15511223402266183,0.5607763023493361
533,2-corr-0.5_mInfluence-0.5_inclTrend-1_channel_anomaly,health_esn,0,0.3902452093180214,0.28571428571428564,0.6576706595172503,0.3760770973277686,0.3544656066436369,0.8008171603677222,,0.9017355371900826,0.8571428571428572,0.8509123531970422,0.9050937013924027,0.8533398579092359,0.9325842696629214
