index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
784,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,autoencoder,0,0.182953977773944,0.09523809523809525,0.580246790589576,0.17424387166127592,0.17391313042171472,0.41164453524004085,,-0.0,0.0,,0.5,,
4916,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,cblof,0,0.47939092188486454,0.380952380952381,0.6088330114546013,0.4677640538882457,0.4202690045916092,0.7145045965270684,,-0.0,0.0,,0.5,,
2370,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,cof,0,0.37425385404108946,0.28571428571428564,0.6032144760613676,0.36213838576889834,0.36750662946862844,0.6506639427987743,,-0.0,0.0,,0.5,,
4471,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,copod,0,0.25847663146443345,0.2727272727272727,0.5798119574589606,0.24154367405259,0.22700615851266404,0.5658835546475995,,-0.0,0.0,,0.5,,
4151,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,dae,0,0.18595201373408732,0.09523809523809525,0.5781299037444588,0.17664344849245825,0.17114600875782487,0.41675178753830444,,-0.0,0.0,,0.5,,
3234,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,damp,0,0.11,0.19819819819819817,0.555,0.555,0.555,0.5,,-0.0,0.0,0.5,0.5,0.5,
581,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,fast_mcd,0,0.38000173546136884,0.28571428571428564,0.6003152655692732,0.3725575145662038,0.33951864969227036,0.5822267620020429,,-0.0,0.0,,0.5,,
2706,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,gdn,0,0.1476312793153729,0.19999999999999998,0.08084574481354787,0.12685661121681338,0.1181998556998557,0.47420147420147424,,-0.0,0.0,,0.5,,
1718,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,hbos,0,0.25823358093108423,0.28571428571428564,0.15056272263550896,0.21257482192577298,0.1648468137331105,0.6731358529111339,,-0.0,0.0,,0.5,,
492,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,health_esn,0,0.30947071667818626,0.28571428571428564,0.2286240182532469,0.2712831089077492,0.25285115505958045,0.8079673135852912,,-0.0,0.0,,0.5,,
1411,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,hif,0,0.30121742038568405,0.380952380952381,0.18595799277820724,0.2572702630340285,0.21935606262211452,0.59244126659857,,-0.0,0.0,,0.5,,
3561,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,if_lof,0,0.3403932946486138,0.28571428571428564,0.5958773422172114,0.33510327939097595,0.3023194488880764,0.59244126659857,,-0.0,0.0,,0.5,,
2569,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,iforest,0,0.39897417618709485,0.380952380952381,0.5966131858896859,0.38689544856612257,0.3556128232451393,0.6353421859039836,,-0.0,0.0,,0.5,,
4594,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,kmeans,0,0.07203867880304718,0.0,0.030394856795645086,0.0658588929016546,0.05750023990707964,0.18692543411644535,,-0.0,0.0,,0.5,,
1212,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,knn,0,0.3091343631116358,0.28571428571428564,0.5900433314999141,0.289121383098564,0.255809086131215,0.6006128702757917,,-0.0,0.0,,0.5,,
2925,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,laser_dbn,0,0.46588651502515327,0.36363636363636365,0.6038087238600436,0.438500209012733,0.3523657112275147,0.8559754851889684,,-0.0,0.0,,0.5,,
4048,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,lstm-vae,0,,0.0,0.555,,0.555,,,,0.0,0.5,,0.5,
2007,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,mstamp,0,0.19727573204940557,0.0,0.1548998833983354,0.18106126294281633,0.2346604753254064,0.7507660878447396,,-0.0,0.0,,0.5,,
2640,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,multi_hmm,0,0.16348200966331522,0.2727272727272727,0.1039530192497364,0.1257518196528469,0.15280353134519803,0.491317671092952,,-0.0,0.0,,0.5,,
3765,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,normalizing_flows,0,0.2322515245870545,0.1904761904761905,0.20969930655223587,0.19968939945113354,0.273430973021154,0.7589376915219612,,-0.0,0.0,,0.5,,
375,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,pca,0,0.543729982754373,0.4827586206896552,,0.6074814297333508,,0.7129724208375894,,,,,,,
3294,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,pcc,0,0.20265269521460705,0.1904761904761905,0.16818706167188352,0.16417196449206056,0.12640531161842783,0.6179775280898877,,-0.0,0.0,,0.5,,
959,2-corr-0.8_mInfluence-noTrend-1_channel_anomaly-no-anomaly,robust_pca,0,0.1848450631629801,0.09523809523809525,0.18548100532670497,0.14850803395481896,0.15945011734450237,0.5556690500510725,,-0.0,0.0,,0.5,,
