index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
864,2-ecg-all-channel-anomaly,autoencoder,0,0.8269073676226036,0.3,0.746148458290433,0.8263039028573237,0.6172969165808659,0.9289285714285713,,0.8248347234766475,0.2833333333333334,0.700773612383423,0.8241556553569267,0.656101550156539,0.9414285714285714
4885,2-ecg-all-channel-anomaly,cblof,0,0.6031168856752291,0.26666666666666666,0.5329768835988566,0.5998693842416866,0.38760324585525646,0.9298469387755103,,0.5713792708667221,0.2833333333333334,0.5485001816872586,0.566615098559052,0.3685147864514401,0.9146428571428572
2471,2-ecg-all-channel-anomaly,cof,0,0.6818280071259735,0.26666666666666666,0.5645622372494955,0.6799422660476399,0.4892681398550596,0.941122448979592,,0.6555835814962372,0.26666666666666666,0.616250372788566,0.6485852671262372,0.502286447999959,0.9001020408163265
4469,2-ecg-all-channel-anomaly,copod,0,0.07688144293535083,0.16666666666666669,0.07991811357932863,0.07131730063372818,0.06912102424496053,0.8482142857142856,,0.0754138991828427,0.16666666666666669,0.08257921069720121,0.07023100253660969,0.07437264947276519,0.8554336734693877
4197,2-ecg-all-channel-anomaly,dae,0,0.8270457724724716,0.3,0.7463092861868634,0.8264404364114051,0.6176185723737267,0.9292346938775509,,0.8246661233305773,0.2833333333333334,0.7012041019505457,0.8239858369233968,0.6564072455177434,0.9416836734693877
3127,2-ecg-all-channel-anomaly,damp,0,0.023038072329248174,0.016666666666666666,0.023840773720457675,0.02151890458806585,0.026194735613708366,0.5861734693877552,,0.02551539560315408,0.03333333333333333,0.024312880498395514,0.021779270781357267,0.022212769389965893,0.5267857142857143
3021,2-ecg-all-channel-anomaly,deepant,0,0.7860392699233348,0.3,0.7476611172640917,0.7837669603604418,0.5725281168811246,0.948265306122449,,0.8126256046188587,0.2833333333333334,0.7649477002076011,0.8112346063268576,0.6076731781929798,0.9267857142857143
2185,2-ecg-all-channel-anomaly,deepnap,0,0.01860147825015169,0.0,0.007273147970359663,0.017522630300101864,0.015212971730569328,0.4577551020408163,,0.02018788626038058,0.0,0.009330188309538013,0.01906442262371214,0.014897063464836144,0.5164795918367346
1083,2-ecg-all-channel-anomaly,encdec_ad,0,0.021404002792342613,0.0,0.022620259467712185,0.02009668284109458,0.025067804998657288,0.5503571428571429,,0.02554274900613593,0.0,0.015385929900270809,0.02395617463211347,0.023512120215017206,0.616326530612245
596,2-ecg-all-channel-anomaly,fast_mcd,0,0.077602130232104,0.19999999999999998,0.0996251323249722,0.07252868141425449,0.09935006454141092,0.8293367346938776,,0.07939526613194423,0.19999999999999998,0.09652220392527341,0.07431489903275529,0.09321729858360353,0.8530612244897959
2787,2-ecg-all-channel-anomaly,gdn,0,0.5243756172392208,0.2521008403361345,0.7082288302487074,0.5163784118151505,0.5301140143655787,0.895440414507772,,-0.0,0.0,,0.5,,
1691,2-ecg-all-channel-anomaly,hbos,0,0.05897447817914906,0.06349206349206349,0.04839863599014024,0.0549851687566292,0.05323699796560657,0.768061224489796,,0.058011447256703784,0.06451612903225806,0.0362143524283622,0.05455398324348795,0.04134870793326114,0.7823979591836734
466,2-ecg-all-channel-anomaly,health_esn,0,0.32389172945247807,0.21666666666666667,0.6179338699779291,0.30868450161256145,0.4040285796426413,0.8997448979591837,,0.09968745308455684,0.08333333333333334,0.45273085217847653,0.09337033425810684,0.12308779006468393,0.3258673469387755
1304,2-ecg-all-channel-anomaly,hif,0,0.237617937497658,0.19999999999999998,0.07190494927576468,0.21477544340481372,0.06698711380132169,0.8653571428571428,,0.24961861220078435,0.19999999999999998,0.11646546810626972,0.22622631535755203,0.0922022204838237,0.8809693877551021
39,2-ecg-all-channel-anomaly,hybrid_knn,0,0.014089596554643856,0.0,0.007132186220689403,0.013265164024734101,0.009321665575595016,0.3148724489795919,,0.01464062428251381,0.0,0.007850980978768764,0.013697785786066268,0.008600319333746727,0.34525510204081633
3693,2-ecg-all-channel-anomaly,if_lof,0,0.2659615678883364,0.23333333333333336,0.4928776264234912,0.2567655761463126,0.1734176108659054,0.8735714285714284,,0.29180408394732193,0.19999999999999998,0.08609448506667389,0.263954815506716,0.07851991869497744,0.8791836734693877
2562,2-ecg-all-channel-anomaly,iforest,0,0.3339569760993455,0.19999999999999998,0.5184600023767801,0.32590168128389735,0.2527976763631397,0.8613775510204082,,0.34698666556953833,0.18333333333333335,0.5354704001373813,0.33677015004274596,0.3049779835058275,0.8795408163265306
4586,2-ecg-all-channel-anomaly,kmeans,0,0.7438192713810052,0.33333333333333337,0.7597800925925926,0.7344555744932473,0.6526620370370371,0.9947448979591837,,0.8716168797102302,0.33333333333333337,0.9266077898550725,0.8667317760218725,0.884465579710145,0.9978061224489796
1189,2-ecg-all-channel-anomaly,knn,0,0.5737726208585158,0.19999999999999998,0.6465890932508407,0.5718011100887095,0.4972575332929773,0.8751020408163265,,0.5942218736924223,0.19999999999999998,0.7570919890120943,0.592450152616903,0.5697395335797442,0.8958163265306123
2979,2-ecg-all-channel-anomaly,laser_dbn,0,,0.0,0.51,,0.51,,,0.6821253191551877,0.2903225806451613,0.7202088339005589,0.6743451593338641,0.49121730015405896,0.9273979591836734
4119,2-ecg-all-channel-anomaly,lstm-vae,0,,0.0,0.51,,0.51,,,,0.0,0.51,,0.51,
2229,2-ecg-all-channel-anomaly,lstm_ad,0,0.1611356473060871,0.13333333333333333,0.06520451942698893,0.13794729165622022,0.047003936204689185,0.8500510204081633,,0.03981516483217389,0.06666666666666667,0.02724322707553319,0.03663715615624174,0.022132373010657846,0.6579591836734694
1994,2-ecg-all-channel-anomaly,mstamp,0,0.028190008457901358,0.03333333333333333,0.03032901261511771,0.025956157033387287,0.03739416745317609,0.6486734693877552,,0.026797361087029063,0.016666666666666666,0.013933406449772841,0.025011209107693198,0.028289321946028373,0.6451020408163266
1510,2-ecg-all-channel-anomaly,multi_subsequence_lof,0,0.03960218191130764,0.13333333333333333,0.07081442168489503,0.03573064208428188,0.06091839060925383,0.4804081632653061,,0.041591362730509056,0.13333333333333333,0.06529539705066943,0.03710144811878535,0.049958384873198286,0.4809693877551021
3806,2-ecg-all-channel-anomaly,normalizing_flows,0,0.10841805454321739,0.19999999999999998,0.11912432508843421,0.10139158363472286,0.1271375390657573,0.9038775510204081,,0.12909976695336084,0.21666666666666667,0.10424586101369425,0.11983081440280087,0.12448198176764827,0.9324489795918367
4711,2-ecg-all-channel-anomaly,omni,0,0.013372344731403939,0.0,0.05078602582216263,0.012432469313782755,0.08024895191192627,0.2290547798066595,,0.01307751922276627,0.0,0.04243088141083717,0.012267603119338397,0.08331999182701111,0.2215359828141783
300,2-ecg-all-channel-anomaly,pca,0,0.6981481481481482,0.3125,0.7895833333333333,0.7601851851851851,0.7597222222222222,0.9950510204081633,,0.7472222222222222,0.33333333333333337,0.8236882716049383,0.8,0.7723765432098766,0.9950510204081633
3415,2-ecg-all-channel-anomaly,pcc,0,0.05907550950834445,0.13333333333333333,0.07672854086034583,0.054668134094565474,0.06523880929940029,0.6830357142857142,,0.06067750817397535,0.15,0.07820723659154422,0.05627205591649762,0.06501233411027861,0.7309948979591837
1838,2-ecg-all-channel-anomaly,random_black_forest,0,0.7746100083760605,0.2833333333333334,0.7652776415945404,0.7724685610669404,0.6541755090254108,0.9308673469387755,,0.7945584964289591,0.3,0.7257816340925013,0.7926146020268161,0.6623078686432933,0.9692857142857143
1013,2-ecg-all-channel-anomaly,robust_pca,0,0.0710966353085332,0.16666666666666669,0.0839162492618104,0.06641980101324417,0.07533957454204873,0.8255612244897959,,0.07213099831380357,0.16666666666666669,0.08220214508625642,0.06748315572401081,0.07114283747122611,0.8403571428571428
250,2-ecg-all-channel-anomaly,subsequence_knn,0,0.012357915310423975,0.0,0.004101391652968859,0.01174884484374208,0.009061268538121618,0.1763265306122449,,0.012224682365136666,0.0,0.006058337408817518,0.011671136111829033,0.008866081957474358,0.17331632653061224
3979,2-ecg-all-channel-anomaly,tanogan,0,0.02,0.0392156862745098,0.01,0.01,0.01,0.4913265306122449,,0.02,0.0392156862745098,0.01,0.01,0.01,0.4913265306122449
4353,2-ecg-all-channel-anomaly,telemanom,0,0.024716924083097773,0.0,0.010702488729876513,0.023283864991590766,0.014561386295419802,0.6112755102040817,,0.017072682250385482,0.0,0.011065994185454092,0.01621578138705723,0.015901401741302543,0.41489795918367345
3508,2-ecg-all-channel-anomaly,usad,0,0.330370942369753,0.2553191489361702,0.648852527141571,0.32726542850989104,0.3031270205974579,0.7940702708144568,0.038399409502744675,0.3299911428526601,0.2553191489361702,0.6475299596786499,0.326540073269754,0.30004969239234924,0.8195912614517266
