index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
746,2-increasing-all-no-anomaly,autoencoder,0,0.08859338187854729,0.009478672985781991,0.03345302744757615,0.04740476488649073,0.05175453974363716,0.031536486982031486,,-0.0,0.0,,0.5,,
4927,2-increasing-all-no-anomaly,cblof,0,0.09255476889039504,0.0,0.02474897413784222,0.0467820220649228,0.036340053538842336,0.026690056393026705,,-0.0,0.0,,0.5,,
2344,2-increasing-all-no-anomaly,cof,0,0.0909254022601601,0.0,0.026388884735649643,0.045958246180080556,0.04563491232844214,0.00439052914300438,,-0.0,0.0,,0.5,,
4535,2-increasing-all-no-anomaly,copod,0,0.46238967788181534,0.009478672985781991,0.5586370339161576,0.240236652213144,0.11727406783231514,0.8810691879998811,,-0.0,0.0,,0.5,,
4160,2-increasing-all-no-anomaly,dae,0,0.12844586621197915,0.0,0.038701067720371254,0.06495201926939236,0.0524021354407425,0.32676240597032674,,-0.0,0.0,,0.5,,
3188,2-increasing-all-no-anomaly,damp,0,0.9841525079203557,0.9383886255924171,0.8197982344029037,0.9841367401652861,0.7399265018091077,0.991982081090992,,-0.0,0.0,,0.5,,
3017,2-increasing-all-no-anomaly,deepant,0,0.9754392908079609,0.9289099526066351,0.757795535297489,0.9754184012316721,0.8788686616012173,0.9842119347069842,,-0.0,0.0,,0.5,,
2126,2-increasing-all-no-anomaly,deepnap,0,0.1963877287983026,0.14218009478672985,0.5873056144221702,0.17412472897886835,0.22420726888942247,0.24846628807024845,,-0.0,0.0,,0.5,,
1087,2-increasing-all-no-anomaly,encdec_ad,0,0.37786235943555424,0.4549763033175355,0.376578023833966,0.2408631187830948,0.4243791341029056,0.6159922298536159,,-0.0,0.0,,0.5,,
637,2-increasing-all-no-anomaly,fast_mcd,0,0.9928538308376292,0.947867298578199,0.9955714395667595,0.9928439604382336,0.9911428791335191,0.9974033439379975,,-0.0,0.0,,0.5,,
2841,2-increasing-all-no-anomaly,gdn,0,0.13723056723867458,0.05714285714285714,0.5458039736284551,0.10703529493502162,0.13306763119829823,0.08724744425662079,,-0.0,0.0,,0.5,,
1640,2-increasing-all-no-anomaly,hbos,0,0.2554100025387154,0.0,0.04209248155372189,0.12853562124410683,0.04251829644077712,0.7098831504772098,,-0.0,0.0,,0.5,,
521,2-increasing-all-no-anomaly,health_esn,0,0.38498187708009773,0.3222748815165877,0.6156850017234815,0.3722700444040852,0.3295973261792363,0.5551789413175551,,-0.0,0.0,,0.5,,
1307,2-increasing-all-no-anomaly,hif,0,0.9965506228042159,0.947867298578199,0.9969059405940595,0.9965394235276062,0.9938118811881188,0.9994648113459995,,-0.0,0.0,,0.5,,
94,2-increasing-all-no-anomaly,hybrid_knn,0,0.7551130296011611,0.6729857819905214,0.642280405462583,0.7549681837263355,0.8172117042272484,0.8423026987383422,,-0.0,0.0,,0.5,,
3556,2-increasing-all-no-anomaly,if_lof,0,0.2541165125395788,0.009478672985781991,0.13755359029793957,0.12874209812336251,0.025107180595879134,0.7093033627687093,,-0.0,0.0,,0.5,,
2537,2-increasing-all-no-anomaly,iforest,0,0.21702077020752675,0.009478672985781991,0.05463395604266309,0.1098817133723243,0.06760124541865953,0.6422462066026423,,-0.0,0.0,,0.5,,
4571,2-increasing-all-no-anomaly,kmeans,0,0.07682874289746743,0.0,0.26184115934115937,0.04664369890650669,0.25070479570479576,0.0009960455505009737,,-0.0,0.0,,0.5,,
1267,2-increasing-all-no-anomaly,knn,0,0.1008100810081008,0.009478672985781991,0.527925540301778,0.055851080603555855,0.055851080603555855,0.010396535149010386,,-0.0,0.0,,0.5,,
2924,2-increasing-all-no-anomaly,laser_dbn,0,,0.0,0.5459090909090909,,0.5459090909090909,,,-0.0,0.0,,0.5,,
3995,2-increasing-all-no-anomaly,lstm-vae,0,,0.0,0.5459090909090909,,0.5459090909090909,,,,0.0,0.5,,0.5,
2317,2-increasing-all-no-anomaly,lstm_ad,0,0.849479981561525,0.7962085308056872,0.9102035997017889,0.8494651955244747,0.8855187556940252,0.8655388061328655,,-0.0,0.0,,0.5,,
1974,2-increasing-all-no-anomaly,mstamp,0,0.9801536186905793,0.947867298578199,0.848548191312265,0.9729290925493186,0.7697036433506026,0.9974033439379975,,-0.0,0.0,,0.5,,
1575,2-increasing-all-no-anomaly,multi_subsequence_lof,0,0.8942053198064505,0.6919431279620852,0.8256741206138429,0.8938135569566243,0.8355314769182733,0.9854607082329856,,-0.0,0.0,,0.5,,
3771,2-increasing-all-no-anomaly,normalizing_flows,0,,0.0,0.5459090909090909,,0.5459090909090909,,,,0.0,0.5,,0.5,
4744,2-increasing-all-no-anomaly,omni,0,0.05595541685269929,0.0,0.17782819271087646,0.049615741308643435,0.40938884019851685,0.0009796769150599274,,-0.0,0.0,,0.5,,
374,2-increasing-all-no-anomaly,pca,0,0.9184693350851673,0.7582938388625592,,0.9157828223580652,,0.985034539489985,,,,,,,
3301,2-increasing-all-no-anomaly,pcc,0,0.9980990099009901,0.947867298578199,0.9973836199409415,0.9980913446183328,0.9947672398818829,0.9997621383759997,,-0.0,0.0,,0.5,,
1880,2-increasing-all-no-anomaly,random_black_forest,0,0.9922176539687867,0.947867298578199,0.9820021447389695,0.9922093924549531,0.9640042894779391,0.9963230557289964,,-0.0,0.0,,0.5,,
947,2-increasing-all-no-anomaly,robust_pca,0,0.11836085994716608,0.009478672985781991,0.5186935832895591,0.06473317502911048,0.03738716657911803,0.1863150278991863,,-0.0,0.0,,0.5,,
169,2-increasing-all-no-anomaly,subsequence_knn,0,0.9995329721651411,0.957345971563981,0.9788801796846351,0.9995307482230703,0.9577603593692703,0.9999504454949999,,-0.0,0.0,,0.5,,
3851,2-increasing-all-no-anomaly,tanogan,0,0.2626642664266427,0.16819317235636969,0.794310306030603,0.6313321332133215,0.6313321332133214,0.594059405940594,,-0.0,0.0,,0.5,,
4295,2-increasing-all-no-anomaly,telemanom,0,1.0,0.957345971563981,0.9982352401906858,1.0,0.9964704803813713,0.9999999999999999,,-0.0,0.0,,0.5,,
1752,2-increasing-all-no-anomaly,torsk,0,0.09181818181818181,0.16819317235636969,0.5459090909090909,0.5459090909090909,0.5459090909090909,0.5,,-0.0,0.0,0.5,0.5,0.5,
3496,2-increasing-all-no-anomaly,usad,0,0.9850397447728009,0.9090909090909091,0.9774752855300903,0.9849781767365131,0.9549505114555359,0.9981174089068825,0.5644217729568481,-0.0,0.0,,0.5,,
