index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
792,2-increasing-all,autoencoder,0,0.9973982799739827,0.947867298578199,0.8754553734061931,0.9973887148268283,0.760811736911396,0.9996432075639997,,0.9986460184479986,0.947867298578199,0.8452789622027896,0.9986401823206192,0.7030606345306063,0.9998414255839999
4963,2-increasing-all,cblof,0,0.09255476889039504,0.0,0.02474897413784222,0.0467820220649228,0.036340053538842336,0.026690056393026705,,0.09162979317784854,0.0,0.026265534393241394,0.046313938428592105,0.037825186433541616,0.01604574871901609
2429,2-increasing-all,cof,0,0.0909254022601601,0.0,0.026388884735649643,0.045958246180080556,0.04563491232844214,0.00439052914300438,,0.09092439383041857,0.0,0.027353628219964853,0.04595774196520979,0.04577868501135828,0.003994093103003984
4460,2-increasing-all,copod,0,0.46238967788181534,0.009478672985781991,0.5586370339161576,0.240236652213144,0.11727406783231514,0.8810691879998811,,0.5685602079761048,0.7214285714285714,0.52618393548686,0.2954970484673105,0.052367870973720004,0.9226949721999227
4155,2-increasing-all,dae,0,0.0998462309716853,0.009478672985781991,0.0288023149074054,0.05045714947176551,0.04289874746186963,0.08222083469608224,,0.10432969642573321,0.009478672985781991,0.5275363879643662,0.05763155755324799,0.05507277592873249,0.050535684199050496
3128,2-increasing-all,damp,0,0.9841525079203557,0.9383886255924171,0.8197982344029037,0.9841367401652861,0.7399265018091077,0.991982081090992,,0.9920597942147158,0.947867298578199,0.8198725716727517,0.9920519944054965,0.7574962041658712,0.9959464414909959
3059,2-increasing-all,deepant,0,0.9817660783765935,0.919431279620853,0.7442235106493749,0.9817271393096054,0.7540748936048929,0.992081190100992,,0.9821289632599921,0.919431279620853,0.7436528421384332,0.9820924719047452,0.7785288189088131,0.9918235066749918
2090,2-increasing-all,deepnap,0,0.1996738873384118,0.14218009478672985,0.5873834690549058,0.1773987327597059,0.22439829052791996,0.24914022933824914,,0.2031599529426511,0.15165876777251186,0.588126775760999,0.18086967826058345,0.22740589579013648,0.25095392422125096
1032,2-increasing-all,encdec_ad,0,0.4215293822936582,0.43601895734597157,0.34966154626275014,0.2843111864807473,0.39856452397323955,0.7778570649857779,,0.38552933624832797,0.4265402843601896,0.24381476030389682,0.24845811122644867,0.32127975388454155,0.727162806370727
588,2-increasing-all,fast_mcd,0,0.9919406305271411,0.947867298578199,0.9954198991327704,0.9919331956844539,0.9908397982655408,0.9956193817579957,,0.9923873394204409,0.947867298578199,0.9954749381188118,0.9923786093050974,0.9909498762376238,0.9966699372639967
