index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
798,2-medium_past_std_cut_wave-no-anomaly,autoencoder,0,0.0037625489606539953,0.0,0.001218103757166257,0.003201325746506882,0.0015968916359541362,0.10010060362173036,,-0.0,0.0,,0.5,,
4924,2-medium_past_std_cut_wave-no-anomaly,cblof,0,0.027320256478238006,0.056603773584905655,0.056902653915599594,0.022683567297614365,0.06062990460539272,0.8796109993293091,,-0.0,0.0,,0.5,,
2470,2-medium_past_std_cut_wave-no-anomaly,cof,0,0.0932654676410252,0.09433962264150944,0.02477890385628481,0.07386070222495159,0.02415496980973171,0.9570757880617037,,-0.0,0.0,,0.5,,
4525,2-medium_past_std_cut_wave-no-anomaly,copod,0,0.006152809970219598,0.0,0.028549911790695815,0.005083605224604982,0.019790741161866257,0.4533869885982562,,-0.0,0.0,,0.5,,
4189,2-medium_past_std_cut_wave-no-anomaly,dae,0,0.007158328841602022,0.0,0.051058042346715765,0.006093137662060196,0.051486093560731104,0.5290073775989269,,-0.0,0.0,,0.5,,
3241,2-medium_past_std_cut_wave-no-anomaly,damp,0,0.004262583629444355,0.0,0.02470559071308471,0.0036515771598411013,0.03438611876952782,0.18259557344064387,,-0.0,0.0,,0.5,,
3082,2-medium_past_std_cut_wave-no-anomaly,deepant,0,0.013801787717699018,0.0,0.03135466244780059,0.01144860711616581,0.027290081440643432,0.76140174379611,,-0.0,0.0,,0.5,,
2139,2-medium_past_std_cut_wave-no-anomaly,deepnap,0,0.005584283521430984,0.0,0.00685694711281482,0.004656654532673998,0.009103812763302237,0.40073775989268945,,-0.0,0.0,,0.5,,
1078,2-medium_past_std_cut_wave-no-anomaly,encdec_ad,0,0.006513512443089812,0.0,0.00703936829421241,0.005436256879774762,0.008328108615574625,0.4891012743125419,,-0.0,0.0,,0.5,,
643,2-medium_past_std_cut_wave-no-anomaly,fast_mcd,0,0.004348701652509815,0.0,0.0023561551285327326,0.0036707676221096447,0.0026379164631737144,0.2364185110663984,,-0.0,0.0,,0.5,,
2842,2-medium_past_std_cut_wave-no-anomaly,gdn,0,0.016358113805935947,0.0,0.03501979198184666,0.01374567043082138,0.038791780840890196,0.7986040177051413,,-0.0,0.0,,0.5,,
1625,2-medium_past_std_cut_wave-no-anomaly,hbos,0,0.02577254190226479,0.05607476635514018,0.04274290420935244,0.014324070013337332,0.04371491644960229,0.6317069081153589,,-0.0,0.0,,0.5,,
455,2-medium_past_std_cut_wave-no-anomaly,health_esn,0,0.3635904578133266,0.07547169811320754,0.6139088339537917,0.33810450113823437,0.44805576314567885,0.8713950368879947,,-0.0,0.0,,0.5,,
1374,2-medium_past_std_cut_wave-no-anomaly,hif,0,0.007933674701068186,0.0,0.010059420992695797,0.006768379408261822,0.012742656527014356,0.5720992622401073,,-0.0,0.0,,0.5,,
43,2-medium_past_std_cut_wave-no-anomaly,hybrid_knn,0,0.005040038233583472,0.0,0.002938294146254344,0.004191130138979213,0.004649060338007049,0.3306505700871898,,-0.0,0.0,,0.5,,
3580,2-medium_past_std_cut_wave-no-anomaly,if_lof,0,0.19078558077215246,0.07547169811320754,0.06005976084101084,0.1425834697441654,0.06365060933075639,0.94299128101945,,-0.0,0.0,,0.5,,
2475,2-medium_past_std_cut_wave-no-anomaly,iforest,0,0.008455081873871725,0.0,0.01974592386391312,0.006903362082216874,0.02269988654835657,0.5751173708920188,,-0.0,0.0,,0.5,,
4629,2-medium_past_std_cut_wave-no-anomaly,kmeans,0,0.03602355185216875,0.056603773584905655,0.05058147938842751,0.02627704607237174,0.04976849234003483,0.6599597585513078,,-0.0,0.0,,0.5,,
1275,2-medium_past_std_cut_wave-no-anomaly,knn,0,0.3999098124325237,0.056603773584905655,0.3964997167917545,0.392063140418386,0.2902327249269365,0.6939973172367538,,-0.0,0.0,,0.5,,
2955,2-medium_past_std_cut_wave-no-anomaly,laser_dbn,0,,0.0,0.503,,0.503,,,-0.0,0.0,,0.5,,
4012,2-medium_past_std_cut_wave-no-anomaly,lstm-vae,0,,0.0,0.503,,0.503,,,,0.0,0.5,,0.5,
2313,2-medium_past_std_cut_wave-no-anomaly,lstm_ad,0,0.010271266732707986,0.0,0.09636342209054428,0.008161020638038868,0.10722137050696506,0.5206237424547284,,-0.0,0.0,,0.5,,
2015,2-medium_past_std_cut_wave-no-anomaly,mstamp,0,0.004449419936023881,0.0,0.0030752014807481397,0.0037685772947078167,0.003554031518868424,0.24916163648558015,,-0.0,0.0,,0.5,,
2643,2-medium_past_std_cut_wave-no-anomaly,multi_hmm,0,0.005728202909222857,0.0,0.0042714092837855214,0.004257512934377757,0.0042714092837855214,0.33626760563380276,,-0.0,0.0,,0.5,,
1548,2-medium_past_std_cut_wave-no-anomaly,multi_subsequence_lof,0,0.013817196444401793,0.0,0.007667495163138166,0.011735136507060207,0.008626591850606992,0.7600603621730382,,-0.0,0.0,,0.5,,
3723,2-medium_past_std_cut_wave-no-anomaly,normalizing_flows,0,,0.0,0.503,,0.503,,,,0.0,0.5,,0.5,
4709,2-medium_past_std_cut_wave-no-anomaly,omni,0,0.00904484599814017,0.0,0.02265552617609501,0.007355183619644925,0.024221863597631454,0.5573192239858906,,-0.0,0.0,,0.5,,
330,2-medium_past_std_cut_wave-no-anomaly,pca,0,0.006036324786324786,0.0,,0.003923959494611669,,0.2854627766599598,,,,,,,
3289,2-medium_past_std_cut_wave-no-anomaly,pcc,0,0.012680037566072336,0.0,0.004986056334555768,0.010185395007380766,0.007655334958633037,0.6881287726358148,,-0.0,0.0,,0.5,,
1841,2-medium_past_std_cut_wave-no-anomaly,random_black_forest,0,0.008358636541989118,0.0,0.0023885958433427674,0.006793569826196252,0.002594391201072556,0.5819919517102616,,-0.0,0.0,,0.5,,
978,2-medium_past_std_cut_wave-no-anomaly,robust_pca,0,0.0070196271301659376,0.0,0.0368893504701814,0.005643990895051699,0.03183260059262311,0.42152917505030185,,-0.0,0.0,,0.5,,
262,2-medium_past_std_cut_wave-no-anomaly,subsequence_knn,0,0.04223775491869951,0.11320754716981131,0.013591800356506239,0.03605365087637648,0.017379679144385027,0.9235412474849095,,-0.0,0.0,,0.5,,
3960,2-medium_past_std_cut_wave-no-anomaly,tanogan,0,0.006,0.011928429423459244,0.003,0.003,0.003,0.49144869215291753,,-0.0,0.0,,0.5,,
4305,2-medium_past_std_cut_wave-no-anomaly,telemanom,0,0.03551919164687879,0.056603773584905655,0.019007562279940673,0.02807814453808611,0.021212682780249785,0.8410462776659959,,-0.0,0.0,,0.5,,
3505,2-medium_past_std_cut_wave-no-anomaly,usad,0,0.023992958752077242,0.0,0.01534757949411869,0.022861490902269625,0.028011932969093323,0.382328869047619,0.5446159839630127,-0.0,0.0,,0.5,,
