index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
790,2-medium_past_std_cut_wave,autoencoder,0,0.003880486774591153,0.0,0.0021028157157213954,0.003291299149232629,0.0023539568565121263,0.13464118041582832,,0.0038872290171016394,0.0,0.001988444796067663,0.003297324491344935,0.002245551935851956,0.1358148893360161
4863,2-medium_past_std_cut_wave,cblof,0,0.027320256478238006,0.056603773584905655,0.056902653915599594,0.022683567297614365,0.06062990460539272,0.8796109993293091,,0.024713103430419152,0.056603773584905655,0.02045658258204214,0.019254453325576196,0.02469841807013885,0.7853789403085177
2410,2-medium_past_std_cut_wave,cof,0,0.0932654676410252,0.09433962264150944,0.02477890385628481,0.07386070222495159,0.02415496980973171,0.9570757880617037,,0.10879229076985038,0.09433962264150944,0.09519555097680096,0.08750282562216498,0.07039110195360194,0.9607645875251509
4553,2-medium_past_std_cut_wave,copod,0,0.006152809970219598,0.0,0.028549911790695815,0.005083605224604982,0.019790741161866257,0.4533869885982562,,0.006085324967701472,0.0,0.028817249635575075,0.00504286805215202,0.02016951810094715,0.44768611670020125
4250,2-medium_past_std_cut_wave,dae,0,0.007368323713522858,0.0,0.051096919590548885,0.0062762784000201105,0.05145593363894478,0.5415828303152247,,0.007393081164955134,0.0,0.051019300876569834,0.006296678826882722,0.0513623382403056,0.5432595573440644
3242,2-medium_past_std_cut_wave,damp,0,0.004262583629444355,0.0,0.02470559071308471,0.0036515771598411013,0.03438611876952782,0.18259557344064387,,0.0042627669806262055,0.0,0.03422446343352912,0.0036470171389370747,0.03698815641461341,0.18829644533869888
2998,2-medium_past_std_cut_wave,deepant,0,0.018618551207196424,0.0,0.03050858514037591,0.015722608862061928,0.036282321795903336,0.8246143527833669,,0.017666117245449284,0.0,0.004796781638958638,0.014860327874435668,0.005951496019778588,0.8163983903420523
2109,2-medium_past_std_cut_wave,deepnap,0,0.005687407087278232,0.0,0.0074657434666,0.0047434327902608105,0.010268842850375194,0.4118041582830315,,0.005608913607573353,0.0,0.007103215611122381,0.004679468174925689,0.009681347830957632,0.4035881958417169
1068,2-medium_past_std_cut_wave,encdec_ad,0,0.005115929068125422,0.0,0.005850450223263682,0.0043230645670182515,0.007227138250628567,0.34993293091884636,,0.005064661919650012,0.0,0.0053854706185563145,0.00427777272547458,0.006428389823310357,0.34389671361502344
576,2-medium_past_std_cut_wave,fast_mcd,0,0.004370501405091475,0.0,0.002659484270365182,0.003689483930103083,0.0029175370947009424,0.2401073105298457,,0.004393734271743517,0.0,0.0025150642991918467,0.0037125708099835335,0.0027298310750373178,0.2431254191817572
2833,2-medium_past_std_cut_wave,gdn,0,0.013565516666020051,0.0,0.06033341644805832,0.011509693388011267,0.0693154815447653,0.7521280217909432,,-0.0,0.0,,0.5,,
1642,2-medium_past_std_cut_wave,hbos,0,0.02577254190226479,0.05607476635514018,0.04274290420935244,0.014324070013337332,0.04371491644960229,0.6317069081153589,,0.07234754364280546,0.05607476635514018,0.03218406327515079,0.03765720544469796,0.0328879233801739,0.6670020120724346
483,2-medium_past_std_cut_wave,health_esn,0,0.46805504924415375,0.056603773584905655,0.5671683117624663,0.4601031691096095,0.3565588457471548,0.8630114017437961,,0.35018072200553413,0.07547169811320754,0.524113790556723,0.3479975288295828,0.2704498033356683,0.7924211938296445
1346,2-medium_past_std_cut_wave,hif,0,0.01869644417319228,0.0,0.023682183002511348,0.01591588887809718,0.02531361682604076,0.8227699530516431,,0.018463015214335216,0.0,0.013524451263849348,0.015711105875712693,0.013783799189065946,0.8205902079141516
72,2-medium_past_std_cut_wave,hybrid_knn,0,0.005283754406088201,0.0,0.002853989356031991,0.004380512380689172,0.00444784699980461,0.3536217303822938,,0.005240984713903631,0.0,0.0028338773898581027,0.004342331870843487,0.004543416155377581,0.3495975855130785
3622,2-medium_past_std_cut_wave,if_lof,0,0.19078558077215246,0.07547169811320754,0.06005976084101084,0.1425834697441654,0.06365060933075639,0.94299128101945,,0.11003652810187706,0.07547169811320754,0.045236061596355716,0.08036781804632587,0.04992006903771609,0.9391348088531187
2550,2-medium_past_std_cut_wave,iforest,0,0.008455081873871725,0.0,0.01974592386391312,0.006903362082216874,0.02269988654835657,0.5751173708920188,,0.009652470856540125,0.0,0.01539440649934809,0.008211546844514481,0.016576531809476953,0.6520791415157613
4600,2-medium_past_std_cut_wave,kmeans,0,0.03602355185216875,0.056603773584905655,0.05058147938842751,0.02627704607237174,0.04976849234003483,0.6599597585513078,,0.04612356062521408,0.056603773584905655,0.05863375906464518,0.03399375864692093,0.0659514153994487,0.7104292421193829
1245,2-medium_past_std_cut_wave,knn,0,0.3999098124325237,0.056603773584905655,0.3964997167917545,0.392063140418386,0.2902327249269365,0.6939973172367538,,0.35375656899616054,0.056603773584905655,0.39956269301782477,0.35081825306071335,0.29528389573582603,0.7064050972501676
2967,2-medium_past_std_cut_wave,laser_dbn,0,,0.0,0.503,,0.503,,,0.014890282131661442,0.0,0.0033981894104252275,0.008620689655172414,0.0033981894104252275,0.6053822937625755
4001,2-medium_past_std_cut_wave,lstm-vae,0,,0.0,0.503,,0.503,,,,0.0,0.503,,0.503,
2208,2-medium_past_std_cut_wave,lstm_ad,0,0.010571359507373312,0.0,0.0732499877600123,0.008700956506636867,0.0744176442241675,0.6664989939637826,,0.009639958673427033,0.0,0.03823867951007359,0.007928946610388551,0.04118189740390701,0.6435278336686787
