index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
847,2-rw-one-channels-platform-anomaly-no-anomaly,autoencoder,0,0.09941044728073561,0.0,0.1985892857142857,0.09844281240643754,0.2871785714285714,0.5232333333333333,,-0.0,0.0,,0.5,,
4943,2-rw-one-channels-platform-anomaly-no-anomaly,cblof,0,0.06212240067234217,0.0,0.061223353623483655,0.06137023840740516,0.06664693452428042,0.2452388888888889,,-0.0,0.0,,0.5,,
2402,2-rw-one-channels-platform-anomaly-no-anomaly,cof,0,0.17881965850235723,0.20999999999999996,0.07783504925404808,0.17497021018619982,0.277145165070376,0.5997888888888888,,-0.0,0.0,,0.5,,
4428,2-rw-one-channels-platform-anomaly-no-anomaly,copod,0,0.06098367683013757,0.0,0.04355043913977063,0.060362145974723176,0.09973268747389374,0.19382222222222223,,-0.0,0.0,,0.5,,
4185,2-rw-one-channels-platform-anomaly-no-anomaly,dae,0,0.11216360001394521,0.0,0.22979166666666664,0.1110808217996408,0.30591666666666667,0.5862111111111111,,-0.0,0.0,,0.5,,
3204,2-rw-one-channels-platform-anomaly-no-anomaly,damp,0,0.14804609464540963,0.0,0.06799824022895785,0.14639662811191123,0.12503828799266603,0.7040666666666666,,-0.0,0.0,,0.5,,
3011,2-rw-one-channels-platform-anomaly-no-anomaly,deepant,0,0.22509670383240551,0.0,0.15311414092664094,0.2230023564850799,0.22999613899613897,0.8290555555555555,,-0.0,0.0,,0.5,,
2125,2-rw-one-channels-platform-anomaly-no-anomaly,deepnap,0,0.07055457214900537,0.0,0.19240355753058835,0.06986953558732856,0.2520473413275142,0.2933777777777778,,-0.0,0.0,,0.5,,
1062,2-rw-one-channels-platform-anomaly-no-anomaly,encdec_ad,0,0.17070306113601968,0.20999999999999996,0.11248429810423105,0.16821193386481198,0.16093868521636218,0.6063555555555555,,-0.0,0.0,,0.5,,
682,2-rw-one-channels-platform-anomaly-no-anomaly,fast_mcd,0,0.12007381208020636,0.0,0.07003822742928191,0.11888303254075448,0.18091313193977074,0.6236222222222222,,-0.0,0.0,,0.5,,
2793,2-rw-one-channels-platform-anomaly-no-anomaly,gdn,0,0.053749622292793814,0.0,0.08781431340017468,0.05321576161951255,0.12580065713041733,0.040621468926553675,,-0.0,0.0,,0.5,,
1720,2-rw-one-channels-platform-anomaly-no-anomaly,hbos,0,0.08160922236330147,0.0,0.1175555851042397,0.056604675676974824,0.12329526925566864,0.12157777777777777,,-0.0,0.0,,0.5,,
424,2-rw-one-channels-platform-anomaly-no-anomaly,health_esn,0,0.11322005786594205,0.07,0.1676321179241349,0.11049369435784581,0.2875534496651225,0.5884444444444444,,-0.0,0.0,,0.5,,
