index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
799,2-rw-one-channels-platform-anomaly,autoencoder,0,0.11012249272450839,0.0,0.18215476190476187,0.10906956147010233,0.2662738095238095,0.5747888888888889,,0.09544470246759805,0.0,0.09848001250017588,0.09447612184985021,0.09696002500035175,0.5105777777777778
4982,2-rw-one-channels-platform-anomaly,cblof,0,0.06212240067234217,0.0,0.061223353623483655,0.06137023840740516,0.06664693452428042,0.2452388888888889,,0.05973743685295445,0.0,0.07284647581436826,0.059073287199936986,0.0893460024999009,0.20322777777777778
2468,2-rw-one-channels-platform-anomaly,cof,0,0.17881965850235723,0.20999999999999996,0.07783504925404808,0.17497021018619982,0.277145165070376,0.5997888888888888,,0.08708691699802582,0.13,0.09309650298131006,0.0850185302129286,0.12977247481349474,0.3846
4542,2-rw-one-channels-platform-anomaly,copod,0,0.06098367683013757,0.0,0.04355043913977063,0.060362145974723176,0.09973268747389374,0.19382222222222223,,0.09982460616529606,0.0,0.14714082364847247,0.09861724074016504,0.12761498063027826,0.5534333333333333
4162,2-rw-one-channels-platform-anomaly,dae,0,0.11755272834474205,0.0,0.2095,0.11646109877654602,0.3085,0.5993999999999999,,0.06499003742257206,0.0,0.079176783407691,0.06433917744076109,0.0750202334820487,0.24093333333333333
3133,2-rw-one-channels-platform-anomaly,damp,0,0.14804609464540963,0.0,0.06799824022895785,0.14639662811191123,0.12503828799266603,0.7040666666666666,,0.11307359259098662,0.12,0.13463638540399145,0.10820998604343246,0.17708485498369703,0.47504444444444444
3038,2-rw-one-channels-platform-anomaly,deepant,0,0.09799584320569943,0.0,0.09687724312724312,0.09699970064212901,0.14474919524919524,0.5263444444444445,,0.08036351436298352,0.0,0.13626571530537018,0.07955065924104755,0.21071874657157919,0.4053555555555555
2106,2-rw-one-channels-platform-anomaly,deepnap,0,0.0711483646979992,0.0,0.19810633250878734,0.07045647510922777,0.26981644157191087,0.30091111111111113,,0.4282472264815678,0.47,0.3208485803235305,0.42446615184472514,0.419440585452429,0.9371333333333333
1098,2-rw-one-channels-platform-anomaly,encdec_ad,0,0.16834744349271655,0.18,0.1736379112770012,0.16593066621258065,0.2074448406133146,0.6866222222222222,,0.0887667006721118,0.0,0.09084017359348373,0.08775620925386567,0.17957407703924494,0.47909999999999997
640,2-rw-one-channels-platform-anomaly,fast_mcd,0,0.10894660754939434,0.0,0.20842788461538464,0.10792738448235487,0.29860576923076926,0.5628888888888889,,0.08756476428512591,0.0,0.11777430612247433,0.08670302684557357,0.1105486122449487,0.45176666666666665
