index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
780,2-rw-one-channels-trend-anomaly-no-anomaly,autoencoder,0,0.10034207191540233,0.11,0.14503146525146005,0.0986443006677605,0.1689479416032392,0.45285,,-0.0,0.0,,0.5,,
4965,2-rw-one-channels-trend-anomaly-no-anomaly,cblof,0,0.5600156322289135,0.53,0.5898904545574821,0.5583698968472615,0.44635975374232156,0.8407555555555555,,-0.0,0.0,,0.5,,
2373,2-rw-one-channels-trend-anomaly-no-anomaly,cof,0,0.35779997510045614,0.34,0.6019178219518267,0.3551819309005045,0.3281578372068941,0.7636888888888889,,-0.0,0.0,,0.5,,
4454,2-rw-one-channels-trend-anomaly-no-anomaly,copod,0,0.056989287699198296,0.0,0.10183794179071448,0.056400561286399656,0.18033477762917316,0.13805555555555554,,-0.0,0.0,,0.5,,
4127,2-rw-one-channels-trend-anomaly-no-anomaly,dae,0,0.07244884494594447,0.0,0.17082022583903586,0.07167836449856953,0.31244141087744404,0.34134444444444445,,-0.0,0.0,,0.5,,
3206,2-rw-one-channels-trend-anomaly-no-anomaly,damp,0,0.13304704289717045,0.03,0.08747571326008678,0.13115706269046268,0.15979081730093767,0.6763111111111111,,-0.0,0.0,,0.5,,
3099,2-rw-one-channels-trend-anomaly-no-anomaly,deepant,0,0.10804439498837994,0.0,0.17956325336969597,0.10650069946948842,0.24809718185050209,0.5245555555555556,,-0.0,0.0,,0.5,,
2143,2-rw-one-channels-trend-anomaly-no-anomaly,deepnap,0,0.06722589111497608,0.0,0.03572963900557023,0.06647528099431575,0.07579373368351458,0.2993555555555556,,-0.0,0.0,,0.5,,
1100,2-rw-one-channels-trend-anomaly-no-anomaly,encdec_ad,0,0.19533194954644673,0.0,0.18898108206498515,0.19330320027683107,0.2112954974633036,0.7884333333333333,,-0.0,0.0,,0.5,,
700,2-rw-one-channels-trend-anomaly-no-anomaly,fast_mcd,0,0.05619296968951316,0.0,0.10837138523001004,0.0556038863328408,0.215531349805727,0.13091666666666663,,-0.0,0.0,,0.5,,
