index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
862,2-rw-one-channels-trend-anomaly,autoencoder,0,0.07029140164301567,0.0,0.09889505302081247,0.06942188343255393,0.13159046438734942,0.32075555555555557,,0.19574811851848617,0.29,0.17437537950590054,0.19303204499828844,0.24623802830213673,0.7206222222222223
4873,2-rw-one-channels-trend-anomaly,cblof,0,0.5600156322289135,0.53,0.5898904545574821,0.5583698968472615,0.44635975374232156,0.8407555555555555,,0.21311318324984763,0.36,0.17902576132962092,0.20925560651187833,0.20803769224158103,0.6963666666666667
2463,2-rw-one-channels-trend-anomaly,cof,0,0.35779997510045614,0.34,0.6019178219518267,0.3551819309005045,0.3281578372068941,0.7636888888888889,,0.27463905952239653,0.27,0.6545623506781996,0.2733780813017934,0.39026968841685394,0.4482111111111111
4480,2-rw-one-channels-trend-anomaly,copod,0,0.056989287699198296,0.0,0.10183794179071448,0.056400561286399656,0.18033477762917316,0.13805555555555554,,0.06726465149767617,0.0,0.1356340082667732,0.06653183052800596,0.23342652891398996,0.29554444444444444
4206,2-rw-one-channels-trend-anomaly,dae,0,0.07136938129903964,0.0,0.10023043704231983,0.07048603530419909,0.07731666271404483,0.33289444444444444,,0.10478523053980257,0.0,0.19290496130809048,0.10361610962020308,0.252113767737956,0.5735111111111111
3177,2-rw-one-channels-trend-anomaly,damp,0,0.13304704289717045,0.03,0.08747571326008678,0.13115706269046268,0.15979081730093767,0.6763111111111111,,0.21654509243096642,0.29,0.1512710709196351,0.2109624007281255,0.22390362847631934,0.7196222222222223
3003,2-rw-one-channels-trend-anomaly,deepant,0,0.23041824372262631,0.39,0.23993616647471577,0.22662518287292271,0.2929454770060929,0.6177000000000001,,0.07062644216364879,0.0,0.1649265948263261,0.06985804698274946,0.2660403140420968,0.3303777777777778
2164,2-rw-one-channels-trend-anomaly,deepnap,0,0.062001365488560535,0.0,0.04376894661378984,0.06134733109377785,0.06558185118188656,0.2279111111111111,,0.18847926137887408,0.0,0.31435701722204834,0.18658893331015736,0.48611625479669496,0.7827222222222222
1074,2-rw-one-channels-trend-anomaly,encdec_ad,0,0.09703965934772708,0.0,0.024270347531003277,0.09604576773827686,0.059107537472037924,0.5236055555555555,,0.11176785436785028,0.0,0.14494255807650241,0.11058805242002577,0.20724626905665267,0.5989333333333333
668,2-rw-one-channels-trend-anomaly,fast_mcd,0,0.06735601577409892,0.0,0.10872121125910626,0.06653279141038151,0.09485354722514988,0.2932388888888889,,0.4875271801521055,0.54,0.3173127584942751,0.4828299984521718,0.4705584164161847,0.9451666666666667
2722,2-rw-one-channels-trend-anomaly,gdn,0,0.15315358453555275,0.30150753768844224,0.1686496185654177,0.15024039606092066,0.21584958601450976,0.512406779661017,,-0.0,0.0,,0.5,,
