index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
832,2-saw-all-no-anomaly,autoencoder,0,0.5816335668969865,0.4975124378109453,0.6296607458483643,0.5796283617163729,0.4493974377362464,0.9301534157865174,,-0.0,0.0,,0.5,,
4935,2-saw-all-no-anomaly,cblof,0,0.8216621250934616,0.7562189054726369,0.6300584285128772,0.8213149777661576,0.6519808061936926,0.9124990363329992,,-0.0,0.0,,0.5,,
2349,2-saw-all-no-anomaly,cof,0,0.5589266349916883,0.5472636815920399,0.5655244255382121,0.5572735850603524,0.3506368210496333,0.8454498397559445,,-0.0,0.0,,0.5,,
4462,2-saw-all-no-anomaly,copod,0,0.12618786811516178,0.07960199004975124,0.12666627654924312,0.12423513200512436,0.18099852533657018,0.6091366645007104,,-0.0,0.0,,0.5,,
4239,2-saw-all-no-anomaly,dae,0,0.5945900495871517,0.5174129353233831,0.6221972732230372,0.5925852023441889,0.462759695747365,0.9353957642705316,,-0.0,0.0,,0.5,,
3268,2-saw-all-no-anomaly,damp,0,0.8285295137934284,0.7960199004975126,0.7185147580164484,0.8283773937172509,0.7877426415181101,0.8854502802894305,,-0.0,0.0,,0.5,,
3088,2-saw-all-no-anomaly,deepant,0,0.39617143569929564,0.4676616915422886,0.07344320764977907,0.3907936127657536,0.2334998365673629,0.8742717430808709,,-0.0,0.0,,0.5,,
2072,2-saw-all-no-anomaly,deepnap,0,0.13052349475026148,0.09950248756218907,0.11149524608477286,0.128510265076054,0.13826935261983936,0.6468353175695768,,-0.0,0.0,,0.5,,
1020,2-saw-all-no-anomaly,encdec_ad,0,0.14147825124803187,0.208955223880597,0.1870283794158668,0.13823544029513632,0.15280459586731315,0.546922322933072,,-0.0,0.0,,0.5,,
663,2-saw-all-no-anomaly,fast_mcd,0,0.6535459300640645,0.5373134328358209,0.6601699690715528,0.6520041899074522,0.5051971479409194,0.9449883809293053,,-0.0,0.0,,0.5,,
2707,2-saw-all-no-anomaly,gdn,0,0.05711999355636688,0.09523809523809525,0.027464635387792313,0.0468530393158275,0.02396493202172382,0.935478379298604,,-0.0,0.0,,0.5,,
1619,2-saw-all-no-anomaly,hbos,0,0.25800596631812417,0.2692307692307692,0.18947812520030172,0.23719643371197688,0.13702330774755622,0.6603321622484829,,-0.0,0.0,,0.5,,
482,2-saw-all-no-anomaly,health_esn,0,0.4593293031803679,0.43781094527363185,0.577501098684866,0.45711573624103236,0.2540635976486211,0.8980715646648091,,-0.0,0.0,,0.5,,
1386,2-saw-all-no-anomaly,hif,0,0.3315336115035771,0.3283582089552239,0.18319278592619698,0.3264551910736152,0.24034900307460155,0.8931596162953336,,-0.0,0.0,,0.5,,
119,2-saw-all-no-anomaly,hybrid_knn,0,0.06895337331944028,0.0,0.10089252825202569,0.06806951411459165,0.26133071083997667,0.31774579015187393,,-0.0,0.0,,0.5,,
3597,2-saw-all-no-anomaly,if_lof,0,0.8655771915368633,0.7860696517412936,0.7300232507979166,0.8652216540091698,0.6886673322146647,0.9646251610700558,,-0.0,0.0,,0.5,,
2611,2-saw-all-no-anomaly,iforest,0,0.611387068265507,0.5671641791044776,0.60896578421733,0.6071547544807814,0.36446546190542983,0.9278846683333517,,-0.0,0.0,,0.5,,
4666,2-saw-all-no-anomaly,kmeans,0,0.49655463064373684,0.47761194029850745,0.6321583126308306,0.4926909765857121,0.49213051688441745,0.8826418793158515,,-0.0,0.0,,0.5,,
1191,2-saw-all-no-anomaly,knn,0,0.8916146441201787,0.7860696517412936,0.7029159660631119,0.8913084688745924,0.759911199992547,0.974382977786099,,-0.0,0.0,,0.5,,
2931,2-saw-all-no-anomaly,laser_dbn,0,,0.0,0.5505,,0.5505,,,-0.0,0.0,,0.5,,
4069,2-saw-all-no-anomaly,lstm-vae,0,,0.0,0.503,,0.503,,,,0.0,0.5,,0.5,
2234,2-saw-all-no-anomaly,lstm_ad,0,0.9966942732719013,0.9751243781094527,0.9752475247524752,0.996679600636031,0.9504950495049505,0.999581493188251,,-0.0,0.0,,0.5,,
2058,2-saw-all-no-anomaly,mstamp,0,0.8410005273109198,0.7960199004975126,0.7111509080789837,0.8407987168038707,0.7675788907108176,0.9267282679324662,,-0.0,0.0,,0.5,,
2675,2-saw-all-no-anomaly,multi_hmm,0,0.18575345245863445,0.18905472636815923,0.13836207649891205,0.16342342271374766,0.1993689174742717,0.6812685161730857,,-0.0,0.0,,0.5,,
1594,2-saw-all-no-anomaly,multi_subsequence_lof,0,0.9500526138358025,0.9353233830845772,0.8768313560145389,0.9499994856866486,0.9227460739186982,0.9646582010815097,,-0.0,0.0,,0.5,,
3711,2-saw-all-no-anomaly,normalizing_flows,0,,0.0,0.5505,,0.5505,,,,0.0,0.5,,0.5,
4722,2-saw-all-no-anomaly,omni,0,0.003969729712854718,0.0,0.0015788823366165161,0.0033963494691732063,0.0029464359395205975,0.08271604938271605,,-0.0,0.0,,0.5,,
309,2-saw-all-no-anomaly,pca,0,0.15046296296296297,0.08771929824561403,,0.2635030864197531,,0.9622736418511066,,,,,,,
3399,2-saw-all-no-anomaly,pcc,0,0.10137122403240575,0.04975124378109454,0.08675600178811668,0.09973660052258207,0.19545745943384846,0.5372305862399366,,-0.0,0.0,,0.5,,
1847,2-saw-all-no-anomaly,random_black_forest,0,0.854034630561549,0.7562189054726369,0.6965479522200672,0.8533279737872017,0.6794740999166734,0.980946926728268,,-0.0,0.0,,0.5,,
872,2-saw-all-no-anomaly,robust_pca,0,0.09116025755747191,0.06965174129353234,0.09242515514994236,0.0893201056069028,0.1366652003764492,0.46329805394332535,,-0.0,0.0,,0.5,,
256,2-saw-all-no-anomaly,subsequence_knn,0,0.9399317479110219,0.9253731343283582,0.9274499912707541,0.9399304245511089,0.9305652596887828,0.9512714897741164,,-0.0,0.0,,0.5,,
3846,2-saw-all-no-anomaly,tanogan,0,0.2523168316831684,0.1834695731153497,0.794164603960396,0.6261584158415843,0.6261584158415843,0.5841584158415841,,-0.0,0.0,,0.5,,
4402,2-saw-all-no-anomaly,telemanom,0,0.11048927396886221,0.09561752988047809,0.14685957446962605,0.10868332587512636,0.18909031475892812,0.5355455456557892,,-0.0,0.0,,0.5,,
3547,2-saw-all-no-anomaly,usad,0,0.07823016669058876,0.04724409448818898,0.04353543743491173,0.0750288592236728,0.05634515359997749,0.8347098214285715,0.6000730991363525,-0.0,0.0,,0.5,,
