index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
759,2-sine-all-channel-anomaly-no-anomaly,autoencoder,0,0.6769104390852423,0.23333333333333336,0.6311023953679011,0.6759644803030722,0.4435582504677715,0.8580102040816328,,-0.0,0.0,,0.5,,
4875,2-sine-all-channel-anomaly-no-anomaly,cblof,0,0.6488206775048857,0.23333333333333336,0.5495418560931974,0.6462566228009636,0.4494476335838987,0.8321938775510204,,-0.0,0.0,,0.5,,
2360,2-sine-all-channel-anomaly-no-anomaly,cof,0,0.7464769941665268,0.2833333333333334,0.5865462891451612,0.7449395843245192,0.5063843363902994,0.8994897959183674,,-0.0,0.0,,0.5,,
4409,2-sine-all-channel-anomaly-no-anomaly,copod,0,0.014887565844599637,0.0,0.035132989533489,0.014080037983235108,0.04407800643011595,0.3442857142857143,,-0.0,0.0,,0.5,,
4212,2-sine-all-channel-anomaly-no-anomaly,dae,0,0.6763698473660729,0.23333333333333336,0.6311047805813179,0.6754340631561434,0.44362397321111524,0.8568367346938777,,-0.0,0.0,,0.5,,
3138,2-sine-all-channel-anomaly-no-anomaly,damp,0,0.04214458607504751,0.0,0.022906041226712266,0.03977929789347903,0.02656655815674934,0.7775510204081633,,-0.0,0.0,,0.5,,
3033,2-sine-all-channel-anomaly-no-anomaly,deepant,0,0.6349009414886887,0.3,0.6669879272166852,0.6301995967360394,0.5016841877667036,0.9183163265306122,,-0.0,0.0,,0.5,,
2163,2-sine-all-channel-anomaly-no-anomaly,deepnap,0,0.0212960484902466,0.0,0.03440562948549964,0.020112110540812134,0.04016673098436603,0.5515816326530611,,-0.0,0.0,,0.5,,
1104,2-sine-all-channel-anomaly-no-anomaly,encdec_ad,0,0.014954152121106158,0.0,0.01850203068423631,0.014002902997303755,0.016356012515014458,0.35178571428571426,,-0.0,0.0,,0.5,,
673,2-sine-all-channel-anomaly-no-anomaly,fast_mcd,0,0.6891021578443384,0.23333333333333336,0.5559650992181192,0.6881502539830197,0.449690825386954,0.8719387755102042,,-0.0,0.0,,0.5,,
2729,2-sine-all-channel-anomaly-no-anomaly,gdn,0,0.5206605881453347,0.319327731092437,0.23216285038320886,0.49859881904075004,0.27190196564737007,0.9873575129533678,,-0.0,0.0,,0.5,,
1744,2-sine-all-channel-anomaly-no-anomaly,hbos,0,0.015493011341687297,0.0,0.022343802054717775,0.014056201880620855,0.028038480697026982,0.36053571428571424,,-0.0,0.0,,0.5,,
565,2-sine-all-channel-anomaly-no-anomaly,health_esn,0,0.49326008270741334,0.33333333333333337,0.3163575908304498,0.46913775688621057,0.413897808826442,0.9875510204081632,,-0.0,0.0,,0.5,,
1349,2-sine-all-channel-anomaly-no-anomaly,hif,0,0.2443150620936005,0.24999999999999997,0.07016686820465783,0.22388015756009425,0.08170016664162297,0.9040306122448981,,-0.0,0.0,,0.5,,
83,2-sine-all-channel-anomaly-no-anomaly,hybrid_knn,0,0.019877283552997563,0.0,0.06446980297884145,0.018506789517729137,0.07319642868957348,0.5032653061224489,,-0.0,0.0,,0.5,,
3701,2-sine-all-channel-anomaly-no-anomaly,if_lof,0,0.6499971409160075,0.26666666666666666,0.6159741164440242,0.6448116197160867,0.48284513847616667,0.9209183673469388,,-0.0,0.0,,0.5,,
2599,2-sine-all-channel-anomaly-no-anomaly,iforest,0,0.43782347039403013,0.23333333333333336,0.530669723926894,0.4303988076785798,0.2768713907896132,0.8719897959183672,,-0.0,0.0,,0.5,,
4658,2-sine-all-channel-anomaly-no-anomaly,kmeans,0,0.619346586688692,0.33333333333333337,0.7191166046429205,0.6030437142784412,0.6621389331915648,0.9901530612244898,,-0.0,0.0,,0.5,,
1150,2-sine-all-channel-anomaly-no-anomaly,knn,0,0.641918656402237,0.23333333333333336,0.659644842645772,0.6385582994287464,0.4983407417158764,0.9104591836734693,,-0.0,0.0,,0.5,,
