index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
726,2-sine-long-5-anomalies-one-channel-no-anomaly,autoencoder,0,0.6682039624519666,0.3104,0.4451555478173551,0.6680022211510049,0.42999058352997,0.8793103589743589,,-0.0,0.0,,0.5,,
4852,2-sine-long-5-anomalies-one-channel-no-anomaly,cblof,0,0.6092560334794463,0.28800000000000003,0.4016139933818702,0.6089886401017154,0.3888512008010614,0.8797862564102563,,-0.0,0.0,,0.5,,
2398,2-sine-long-5-anomalies-one-channel-no-anomaly,cof,0,0.11811656815893451,0.1792,0.16527141650355617,0.11544420352410537,0.09042056628569156,0.7837825641025641,,-0.0,0.0,,0.5,,
4506,2-sine-long-5-anomalies-one-channel-no-anomaly,copod,0,0.02191846678743058,0.0015999999999999999,0.02487037706613708,0.021795800758162787,0.042692731486772245,0.47224902564102567,,-0.0,0.0,,0.5,,
4263,2-sine-long-5-anomalies-one-channel-no-anomaly,dae,0,0.016920378197509467,0.0,0.02769875140168237,0.016846506046936,0.0606546937605175,0.3074211282051281,,-0.0,0.0,,0.5,,
3130,2-sine-long-5-anomalies-one-channel-no-anomaly,damp,0,0.023944632293889934,0.0,0.02648501590277593,0.023821076131573346,0.028065896589115142,0.5007651282051281,,-0.0,0.0,,0.5,,
3016,2-sine-long-5-anomalies-one-channel-no-anomaly,deepant,0,0.8419565063575619,0.3472,0.43214921852323773,0.8418869363760101,0.6059078102284126,0.9467331282051282,,-0.0,0.0,,0.5,,
2122,2-sine-long-5-anomalies-one-channel-no-anomaly,deepnap,0,0.040679795172982716,0.0144,0.0576000383285501,0.04044965562327774,0.05013519336946679,0.7146317948717948,,-0.0,0.0,,0.5,,
1143,2-sine-long-5-anomalies-one-channel-no-anomaly,encdec_ad,0,0.019033542837144486,0.0,0.011086632316994431,0.018937608423683347,0.023528424236947017,0.40200492307692304,,-0.0,0.0,,0.5,,
573,2-sine-long-5-anomalies-one-channel-no-anomaly,fast_mcd,0,0.6694903379363188,0.30720000000000003,0.4453185853945095,0.6692984783774437,0.42117777671865336,0.8666646153846153,,-0.0,0.0,,0.5,,
2751,2-sine-long-5-anomalies-one-channel-no-anomaly,gdn,0,0.6240070545112839,0.29943955164131303,0.5597199496610381,0.6235348869536455,0.3940010819799884,0.8908947098099641,,-0.0,0.0,,0.5,,
