index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
781,2-sine-long-5-anomalies-one-channel,autoencoder,0,0.6617397839401818,0.3088,0.44269216083546314,0.6615304393486153,0.418691863207891,0.8764529230769231,,0.6418250786987686,0.2944,0.44074978343776383,0.6416129196859982,0.4077692354155762,0.8691146666666667
4880,2-sine-long-5-anomalies-one-channel,cblof,0,0.6092560334794463,0.28800000000000003,0.4016139933818702,0.6089886401017154,0.3888512008010614,0.8797862564102563,,0.5870836372651081,0.2864,0.3938697144432157,0.5867931613604742,0.36833024018958155,0.8590838974358974
2431,2-sine-long-5-anomalies-one-channel,cof,0,0.11811656815893451,0.1792,0.16527141650355617,0.11544420352410537,0.09042056628569156,0.7837825641025641,,0.1470666380638034,0.20320000000000002,0.038850600084433466,0.14481971640401936,0.05038612554915323,0.8089202051282051
4554,2-sine-long-5-anomalies-one-channel,copod,0,0.02191846678743058,0.0015999999999999999,0.02487037706613708,0.021795800758162787,0.042692731486772245,0.47224902564102567,,0.017626515734098385,0.0,0.026810241908883328,0.017540783533012975,0.05640950882352573,0.35350276923076923
4136,2-sine-long-5-anomalies-one-channel,dae,0,0.017920316553320926,0.0,0.022989429620665226,0.017836762787822178,0.042475758697563634,0.35996635897435897,,0.017858086659321263,0.0,0.023033864314987353,0.017775712056177412,0.04509416758491368,0.35585517948717943
3240,2-sine-long-5-anomalies-one-channel,damp,0,0.023944632293889934,0.0,0.02648501590277593,0.023821076131573346,0.028065896589115142,0.5007651282051281,,0.030274262123871125,0.0,0.011167193867173745,0.03007762881824864,0.013774945104002638,0.5314666666666668
3098,2-sine-long-5-anomalies-one-channel,deepant,0,0.7757570273377349,0.3376,0.45996451217156165,0.7755936866370715,0.5402619287231659,0.9250252307692309,,0.7407224507491574,0.3312,0.5054141666080626,0.7405212343827761,0.5279822850176745,0.9158301538461537
2100,2-sine-long-5-anomalies-one-channel,deepnap,0,0.03949195054158307,0.0031999999999999997,0.05861924111439663,0.039277181721594216,0.04796753775569888,0.7068057435897436,,0.039208592213796245,0.0,0.05463535502702628,0.03899966858997474,0.05121629444648786,0.7039195897435898
1052,2-sine-long-5-anomalies-one-channel,encdec_ad,0,0.017596930717046804,0.0048000000000000004,0.01062468950552023,0.01749095642595083,0.026978864493144177,0.3561066666666667,,0.01799324054259147,0.0031999999999999997,0.012231041757575641,0.017885238354538157,0.02250217984046938,0.3688746666666667
702,2-sine-long-5-anomalies-one-channel,fast_mcd,0,0.6701618182983691,0.30720000000000003,0.4454085480753369,0.6699711272454967,0.42044227447916727,0.8675347692307692,,0.6564765777547112,0.29919999999999997,0.4466292360242111,0.656277111640537,0.4207199901150139,0.8636812307692308
2847,2-sine-long-5-anomalies-one-channel,gdn,0,0.39746266105734074,0.28022417934347477,0.4626516587898395,0.3958570363805897,0.24660646650135626,0.8577314843348741,,-0.0,0.0,,0.5,,
1734,2-sine-long-5-anomalies-one-channel,hbos,0,0.025443491477296663,0.04434589800443459,0.014863464424817454,0.024095534332486353,0.02679053649043578,0.49481784615384616,,0.02683541004397949,0.046096654275092935,0.02143128535170561,0.02557657573983802,0.027064688203095735,0.49324
542,2-sine-long-5-anomalies-one-channel,health_esn,0,0.05441489751231003,0.08479999999999999,0.03180661256469086,0.05240195584301986,0.03194596584808409,0.6007163076923077,,0.03219026432107338,0.05280000000000001,0.01941464131824062,0.031026142849854586,0.025065119202267405,0.5393628717948719
1360,2-sine-long-5-anomalies-one-channel,hif,0,0.16125622980678692,0.2816,0.05010289756449148,0.16002778386904395,0.07259654008629784,0.8625374358974358,,0.14713302592967759,0.2752,0.03284254392532611,0.1460788329741676,0.06594762657632866,0.8490576410256411
23,2-sine-long-5-anomalies-one-channel,hybrid_knn,0,0.018065624040531483,0.0,0.019121035025602834,0.017977108487889436,0.026840069361888007,0.3647005128205128,,0.018130932648557613,0.0,0.030074288853349854,0.018047513993852016,0.030391956104363117,0.3666916923076923
3662,2-sine-long-5-anomalies-one-channel,if_lof,0,0.20345268054020285,0.256,0.195330395117645,0.20229680513875312,0.12889312479666343,0.8240779487179487,,0.24248079283367938,0.25279999999999997,0.13326540788032276,0.24106855074386951,0.12937385747585434,0.8321413333333331
2481,2-sine-long-5-anomalies-one-channel,iforest,0,0.15379865078334978,0.256,0.05481212848654424,0.1524502687027351,0.07648887714053543,0.8163183589743591,,0.13546707402998862,0.2496,0.050489022419635016,0.13421306479588793,0.06234810938522962,0.8140570256410257
4652,2-sine-long-5-anomalies-one-channel,kmeans,0,0.8665071677297347,0.4,0.8063605760446291,0.8658888374818123,0.8094990392498618,0.9974715897435897,,0.7612827658641556,0.3984,0.7227530041831299,0.7595280799103366,0.7165085470244801,0.9946428717948718
1174,2-sine-long-5-anomalies-one-channel,knn,0,0.618601580871837,0.3024,0.5354749782142535,0.6182301494345576,0.4267971809521259,0.8820908717948719,,0.6027720980366952,0.28800000000000003,0.5471182940148205,0.6024436338899305,0.3977862736713853,0.8729421538461539
