index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
721,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,autoencoder,0,0.16734613022684847,0.4234087929462451,0.1665515763391332,0.24126391541774175,0.66412959460547,,-0.0,,0.5,,
4989,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,cblof,0,0.4119179738224148,0.4367550186852642,0.41174585594530766,0.36238557006611266,0.7364631063148728,,-0.0,,0.5,,
2596,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,cof,0,0.27320126409212914,0.5244514596655249,0.27248612414101503,0.2842385254941582,0.677789184824242,,-0.0,,0.5,,
4709,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,copod,0,0.09818461864775754,0.2500442787877654,0.09757246271085633,0.16410553984090326,0.536374177422139,,-0.0,,0.5,,
4381,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,dae,0,0.11331068108238135,0.28440039130325623,0.11308776011432645,0.2097377787636982,0.49626979502876406,,-0.0,,0.5,,
3406,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,damp,0,0.10422946958906315,0.18751053771787027,0.10349926357759143,0.119791102838177,0.4898658925807504,,-0.0,,0.5,,
3330,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,deepant,0,0.4465326046324602,0.5497493086292058,0.4458168919470881,0.4500933337927832,0.7357336216143998,,-0.0,,0.5,,
2365,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,deepnap,0,0.1542935876456571,0.3022913677233505,0.1539974327762474,0.13495142500554827,0.5455039656642623,,-0.0,,0.5,,
1002,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,encdec_ad,0,0.33276129570426494,0.24770728288297608,0.33190498711943317,0.20959644520950188,0.7784399335502352,,-0.0,,0.5,,
607,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,fast_mcd,0,0.6090598065276651,0.5906013038902083,0.6089640464751126,0.5430374375364828,0.8122395353065843,,-0.0,,0.5,,
3053,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,gdn,0,0.6565224495909361,0.5807125960717225,0.6563317861743926,0.5353496069033035,0.8733024222702702,,-0.0,,0.5,,
1789,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,hbos,0,0.11783410514069018,0.37861204870354787,0.13037294892929926,0.1761693009110758,0.5179527811622201,,-0.0,,0.5,,
519,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,health_esn,0,,0.53755,,0.53755,,,,0.5,,0.5,
1388,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,hif,0,0.33729950737337305,0.42110346678718297,0.33643496125783984,0.2595092053120888,0.7567012318890343,,-0.0,,0.5,,
31,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,hybrid_knn,0,0.6224818690744931,0.51156721642626,0.6336137071323065,0.47940081469158613,0.8630184081512249,,-0.0,,0.5,,
3857,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,if_lof,0,0.4045658898556862,0.5613477075597325,0.40610927357958976,0.3713520463288559,0.74179329711968,,-0.0,,0.5,,
2714,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,iforest,0,0.39418692827266,0.5161969460524612,0.3938212540715843,0.3299357481754683,0.7483897564626774,,-0.0,,0.5,,
4820,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,kmeans,0,0.8340018300660733,0.7835317725713098,0.8338363760685915,0.7664501615508466,0.9737349515886773,,-0.0,,0.5,,
1193,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,knn,0,0.5829920862111341,0.5988806594015786,0.5828903518984438,0.525384763316897,0.772505797942096,,-0.0,,0.5,,
3138,2-sine-long-9-diff-anomalies-one-channel-no-anomaly,laser_dbn,0,,0.53755,,0.53755,,,,0.5,,0.5,
