index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
849,2-sine-one-channel-anomaly-beginning-no-anomaly,autoencoder,0,0.04413572184038997,0.05454545454545455,0.507707803027529,0.04234133881860952,0.05308653698632113,0.7077333333333334,,-0.0,0.0,,0.5,,
4981,2-sine-one-channel-anomaly-beginning-no-anomaly,cblof,0,0.10370809983508142,0.07454545454545454,0.5169366815024437,0.1008645253137421,0.12908583853781866,0.6665101010101011,,-0.0,0.0,,0.5,,
2417,2-sine-one-channel-anomaly-beginning-no-anomaly,cof,0,0.034015990538489464,0.06181818181818182,0.014038221003047411,0.030040597506538175,0.015148742751205282,0.6730919191919191,,-0.0,0.0,,0.5,,
4465,2-sine-one-channel-anomaly-beginning-no-anomaly,copod,0,0.10847652977560313,0.07818181818181819,0.052437084461920525,0.10219006720776141,0.03690603965337925,0.7641651515151514,,-0.0,0.0,,0.5,,
4145,2-sine-one-channel-anomaly-beginning-no-anomaly,dae,0,0.03850073180341744,0.060000000000000005,0.01389874816459708,0.03510921091263787,0.015889578573978793,0.7022464646464646,,-0.0,0.0,,0.5,,
3237,2-sine-one-channel-anomaly-beginning-no-anomaly,damp,0,0.013021865407348754,0.0,0.04350082431985629,0.012855876526925379,0.03969889597996436,0.6129787878787879,,-0.0,0.0,,0.5,,
3084,2-sine-one-channel-anomaly-beginning-no-anomaly,deepant,0,0.026067719461921216,0.03090909090909091,0.010019454898024723,0.022000993868266303,0.01580817364367489,0.49998787878787876,,-0.0,0.0,,0.5,,
2121,2-sine-one-channel-anomaly-beginning-no-anomaly,deepnap,0,0.26877646186490917,0.09999999999999999,0.5561700353558108,0.26748314336813706,0.20798717427136182,0.8119414141414142,,-0.0,0.0,,0.5,,
1110,2-sine-one-channel-anomaly-beginning-no-anomaly,encdec_ad,0,0.15994502021163653,0.060000000000000005,0.540364436836271,0.15923244216272237,0.10689638544927019,0.553879797979798,,-0.0,0.0,,0.5,,
693,2-sine-one-channel-anomaly-beginning-no-anomaly,fast_mcd,0,0.044511675172801024,0.06545454545454546,0.012726145090926276,0.04074243796707061,0.015854564134181594,0.7562666666666666,,-0.0,0.0,,0.5,,
2710,2-sine-one-channel-anomaly-beginning-no-anomaly,gdn,0,0.11209824921823325,0.0746132848043676,0.5150885582310866,0.1090047013752647,0.0882855413097965,0.7216823469903895,,-0.0,0.0,,0.5,,
1692,2-sine-one-channel-anomaly-beginning-no-anomaly,hbos,0,0.05832603721271361,0.0737410071942446,0.07711717041450372,0.04707906120295967,0.030515604425850853,0.6391575757575756,,-0.0,0.0,,0.5,,
563,2-sine-one-channel-anomaly-beginning-no-anomaly,health_esn,0,0.028790140995284583,0.041818181818181824,0.007902348111814228,0.02557869044238271,0.011303721373180791,0.6368292929292929,,-0.0,0.0,,0.5,,
1370,2-sine-one-channel-anomaly-beginning-no-anomaly,hif,0,0.06117986183720435,0.08181818181818182,0.041470492679963916,0.05770668984626211,0.030569563860504478,0.7584060606060606,,-0.0,0.0,,0.5,,
48,2-sine-one-channel-anomaly-beginning-no-anomaly,hybrid_knn,0,0.2247942847991669,0.08703535811423391,0.4870371783104427,0.23139892517852811,0.18471051103361943,0.7727535353535353,,-0.0,0.0,,0.5,,
3583,2-sine-one-channel-anomaly-beginning-no-anomaly,if_lof,0,0.04556639223281962,0.06181818181818182,0.5076962334782623,0.04385456293971629,0.041300246375458274,0.6884393939393939,,-0.0,0.0,,0.5,,
2554,2-sine-one-channel-anomaly-beginning-no-anomaly,iforest,0,0.0829956195718643,0.08363636363636365,0.5099944010697826,0.07979268348579747,0.0841592691247162,0.740439898989899,,-0.0,0.0,,0.5,,
4583,2-sine-one-channel-anomaly-beginning-no-anomaly,kmeans,0,0.7881151437146876,0.16363636363636364,0.6176838654179164,0.7878443856350137,0.44708874310996044,0.9772777777777778,,-0.0,0.0,,0.5,,
1205,2-sine-one-channel-anomaly-beginning-no-anomaly,knn,0,0.07814537473874436,0.06363636363636364,0.5083826033854787,0.07501082749224891,0.09266680624761747,0.7044777777777778,,-0.0,0.0,,0.5,,
2861,2-sine-one-channel-anomaly-beginning-no-anomaly,laser_dbn,0,,0.0,0.505,,0.505,,,-0.0,0.0,,0.5,,
3982,2-sine-one-channel-anomaly-beginning-no-anomaly,lstm-vae,0,,0.0,0.505,,0.505,,,,0.0,0.5,,0.5,
2232,2-sine-one-channel-anomaly-beginning-no-anomaly,lstm_ad,0,0.18881291757212168,0.07272727272727272,0.5310343978801298,0.1874670718397268,0.12170147247786683,0.5866050505050504,,-0.0,0.0,,0.5,,
1458,2-sine-one-channel-anomaly-beginning-no-anomaly,mscred,0,0.01,0.019801980198019802,0.005,0.005,0.005,0.45227272727272727,,-0.0,0.0,,0.5,,
1961,2-sine-one-channel-anomaly-beginning-no-anomaly,mstamp,0,0.010298418420126437,0.016363636363636365,0.007360518132313226,0.010089247621705393,0.010683253183031705,0.5214843434343435,,-0.0,0.0,,0.5,,
2673,2-sine-one-channel-anomaly-beginning-no-anomaly,multi_hmm,0,0.02257997600245685,0.0,0.01096685967317535,0.021875459696748315,0.016292322895675365,0.7664353535353535,,-0.0,0.0,,0.5,,
