index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
828,2-sine-one-channel-anomaly-end-no-anomaly,autoencoder,0,0.008835278777251234,0.00442296845211932,0.008673569099824753,0.01049990368786325,0.46786363636363637,,-0.0,,0.5,,
2684,2-sine-one-channel-anomaly-end-no-anomaly,cof,0,0.017687137366271345,0.014921466352978544,0.01612663589037901,0.014622576923361575,0.5584398989898989,,-0.0,,0.5,,
4685,2-sine-one-channel-anomaly-end-no-anomaly,copod,0,0.007414088892330959,0.007397415549381817,0.007314927386845376,0.0135986477387493,0.384869696969697,,-0.0,,0.5,,
4426,2-sine-one-channel-anomaly-end-no-anomaly,dae,0,0.008512582419124828,0.009345220197648212,0.008357207268616237,0.008619102345817727,0.44423535353535354,,-0.0,,0.5,,
3425,2-sine-one-channel-anomaly-end-no-anomaly,damp,0,0.012906173464817839,0.0050756268399147295,0.012779462871812263,0.0050756268399147295,0.6115151515151515,,-0.0,,0.5,,
3326,2-sine-one-channel-anomaly-end-no-anomaly,deepant,0,0.017903707389479655,0.01704890502053789,0.017064259620797315,0.014761072494488768,0.5508858585858586,,-0.0,,0.5,,
2289,2-sine-one-channel-anomaly-end-no-anomaly,deepnap,0,0.008098568350300291,0.006166973266040559,0.007989297515541324,0.015474432220810873,0.4398055555555555,,-0.0,,0.5,,
1100,2-sine-one-channel-anomaly-end-no-anomaly,encdec_ad,0,0.007845995965439799,0.0034909933260995818,0.0077557150218454905,0.011672299894074908,0.4127676767676768,,-0.0,,0.5,,
644,2-sine-one-channel-anomaly-end-no-anomaly,fast_mcd,0,0.02557156627697691,0.01405683399560217,0.023280360590396124,0.016891255974040377,0.6106282828282829,,-0.0,,0.5,,
3076,2-sine-one-channel-anomaly-end-no-anomaly,gdn,0,0.046867619265141464,0.03668134427450844,0.0421440718297313,0.022795439618028025,0.7132766818411735,,-0.0,,0.5,,
1816,2-sine-one-channel-anomaly-end-no-anomaly,hbos,0,0.009373889991433645,0.00946200205444191,0.008653685671279535,0.014062496088293594,0.456120707070707,,-0.0,,0.5,,
502,2-sine-one-channel-anomaly-end-no-anomaly,health_esn,0,,0.505,,0.505,,,,0.5,,0.5,
1381,2-sine-one-channel-anomaly-end-no-anomaly,hif,0,0.01131348204191348,0.007195002561409538,0.011110886689885989,0.01466093619109746,0.5508333333333334,,-0.0,,0.5,,
73,2-sine-one-channel-anomaly-end-no-anomaly,hybrid_knn,0,0.1338891184002077,0.29172882328893035,0.14404720909356247,0.10687610470647561,0.8536166666666667,,-0.0,,0.5,,
3899,2-sine-one-channel-anomaly-end-no-anomaly,if_lof,0,0.024302645756980094,0.015076707163317644,0.02221852249915645,0.018279140824707277,0.5966080808080809,,-0.0,,0.5,,
