index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
818,2-sine-one-channel-anomaly-end,autoencoder,0,0.008007505622287634,0.007370460143800507,0.007868750455922597,0.010064763601296345,0.4247535353535354,,0.015584313625851304,0.013014653657985407,0.014705647804755658,0.013700225424379125,0.5368414141414142
2589,2-sine-one-channel-anomaly-end,cof,0,0.017687137366271345,0.014921466352978544,0.01612663589037901,0.014622576923361575,0.5584398989898989,,0.01494934335580155,0.009742340452180477,0.014098619292518298,0.012732845772765353,0.5558525252525253
4800,2-sine-one-channel-anomaly-end,copod,0,0.007414088892330959,0.007397415549381817,0.007314927386845376,0.0135986477387493,0.384869696969697,,0.009946470008114596,0.005762976969579919,0.009788229917827015,0.01288616662277063,0.5149888888888889
4507,2-sine-one-channel-anomaly-end,dae,0,0.03294278752104605,0.01205349661029802,0.03041481579090505,0.023215630751911236,0.792870707070707,,0.008817195082754541,0.008014750288390684,0.008631677433794633,0.011489346108039797,0.45738080808080805
3438,2-sine-one-channel-anomaly-end,damp,0,0.012906173464817839,0.0050756268399147295,0.012779462871812263,0.0050756268399147295,0.6115151515151515,,0.011835378720425116,0.0038029909314379103,0.011719099650657674,0.005757107264805081,0.5757575757575758
3350,2-sine-one-channel-anomaly-end,deepant,0,0.01761378360174848,0.016012405807801514,0.016805941776026928,0.014794335733344084,0.5475949494949496,,0.016243261061785582,0.010653030281508099,0.015223814580139586,0.012266802131021609,0.5386707070707071
2390,2-sine-one-channel-anomaly-end,deepnap,0,0.008241936331951555,0.005560755447820011,0.008144274908537235,0.016994204029076136,0.4409868686868687,,0.012980173843886854,0.010729816936389223,0.012699735662588293,0.015238242056839147,0.5471272727272727
1024,2-sine-one-channel-anomaly-end,encdec_ad,0,0.007218240978089172,0.008118828903411113,0.0071235713879863015,0.012965135061836358,0.3707090909090909,,0.009600643368692107,0.005340239819660815,0.009481852771961044,0.016688441959863277,0.526620202020202
701,2-sine-one-channel-anomaly-end,fast_mcd,0,0.02667392646504392,0.014097613462333344,0.02426797133269481,0.017035540150544176,0.6133363636363636,,0.02408997470256818,0.01674651390759871,0.02313002078261999,0.01775974925734864,0.6709616161616161
3022,2-sine-one-channel-anomaly-end,gdn,0,0.06247164971082818,0.033419617504028415,0.057262148540489555,0.02742286186618232,0.752855842185129,,-0.0,,0.5,,
1778,2-sine-one-channel-anomaly-end,hbos,0,0.009373889991433645,0.00946200205444191,0.008653685671279535,0.014062496088293594,0.456120707070707,,0.015354701526693248,0.013744391165569013,0.013407449823460696,0.012828995181346647,0.5690085858585858
454,2-sine-one-channel-anomaly-end,health_esn,0,,0.505,,0.505,,,,0.505,,0.505,
1345,2-sine-one-channel-anomaly-end,hif,0,0.011141386804005064,0.007750812329596164,0.010942871581920848,0.014075623215226504,0.5455262626262626,,0.022356515622242855,0.010047152021720934,0.021717308499546846,0.015160574856179079,0.6910525252525253
106,2-sine-one-channel-anomaly-end,hybrid_knn,0,0.17607412493763833,0.5176574106580384,0.17651105701591568,0.16594720879131913,0.842140404040404,,0.011850643653275972,0.007503964019233124,0.011360404469479241,0.012335082814299849,0.529869696969697
3943,2-sine-one-channel-anomaly-end,if_lof,0,0.024302645756980094,0.015076707163317644,0.02221852249915645,0.018279140824707277,0.5966080808080809,,0.017688692180874245,0.011346246373554766,0.01697215105899399,0.015191996578695147,0.5791595959595961
2729,2-sine-one-channel-anomaly-end,iforest,0,0.00983445292526766,0.0077414624475588365,0.009671442643628994,0.013937066632311108,0.508260101010101,,0.02140690784457718,0.013050400878841212,0.020748356656005815,0.015982860607649446,0.6767055555555556
4864,2-sine-one-channel-anomaly-end,kmeans,0,0.6178614756526584,0.5954740544422897,0.6159103206020105,0.5020741593047475,0.9932282828282828,,0.13215496752451952,0.04947080143707649,0.13001755444015406,0.051966168719880454,0.9024676767676768
1144,2-sine-one-channel-anomaly-end,knn,0,0.022548867863147578,0.018566032376195144,0.020776582369347374,0.017967411441248686,0.5723368686868686,,0.021789023049405998,0.013879507451964476,0.020878099686840165,0.017596802496351715,0.6475116161616161
3226,2-sine-one-channel-anomaly-end,laser_dbn,0,,0.505,,0.505,,,,0.505,,0.505,
4283,2-sine-one-channel-anomaly-end,lstm-vae,0,0.010369696182650547,,0.49747051263014636,,,,0.010593486910300808,,0.4977598392532536,,
2443,2-sine-one-channel-anomaly-end,lstm_ad,0,0.02833124839058826,0.02797750664397879,0.025914937027589645,0.02167620099044095,0.6193878787878788,,0.014802707496116098,0.009022461753758697,0.014133722389302376,0.011900471039107645,0.524340909090909
1551,2-sine-one-channel-anomaly-end,mscred,0,0.01,0.005,0.005,0.005,0.45,,0.01,0.005,0.005,0.005,0.45
2201,2-sine-one-channel-anomaly-end,mstamp,0,0.011265205577539315,0.008216758985659982,0.010965144322685099,0.010617046700505381,0.5304545454545454,,0.020012017133281764,0.057045902394632274,0.017972534222612704,0.019526194057927902,0.5476444444444444
2871,2-sine-one-channel-anomaly-end,multi_hmm,0,0.011304005590638051,0.00444990041968628,0.010848025191893925,0.009442135542705687,0.5759383838383838,,0.009237910163649474,0.005336844182077851,0.008747335243538348,0.007071933096081664,0.43501666666666666
