index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
770,2-sine-one-channel-anomaly-middle-no-anomaly,autoencoder,0,0.02169203956160195,0.03272727272727273,0.13054757812609782,0.018549922438658092,0.03132854691628918,0.571170707070707,,-0.0,0.0,,0.5,,
4958,2-sine-one-channel-anomaly-middle-no-anomaly,cblof,0,0.018434932138969788,0.045454545454545456,0.014223446242455123,0.017437004964996658,0.014598255922163522,0.6171656565656566,,-0.0,0.0,,0.5,,
2361,2-sine-one-channel-anomaly-middle-no-anomaly,cof,0,0.029110457556989495,0.034545454545454546,0.5086763305815176,0.028147753749040223,0.04067361223371954,0.5863343434343434,,-0.0,0.0,,0.5,,
4450,2-sine-one-channel-anomaly-middle-no-anomaly,copod,0,0.00906916311823613,0.003636363636363637,0.007141028547392288,0.008931032412827437,0.012821914520620458,0.48390505050505045,,-0.0,0.0,,0.5,,
4183,2-sine-one-channel-anomaly-middle-no-anomaly,dae,0,0.053930653952857316,0.08727272727272727,0.019368702264979297,0.05124079191434052,0.026895378292491584,0.8487919191919191,,-0.0,0.0,,0.5,,
3265,2-sine-one-channel-anomaly-middle-no-anomaly,damp,0,0.008648883866166496,0.0,0.0025418014930154416,0.008563734002406278,0.0037414737776596363,0.416969696969697,,-0.0,0.0,,0.5,,
3092,2-sine-one-channel-anomaly-middle-no-anomaly,deepant,0,0.02004695750412268,0.04,0.05590415662963173,0.017636222688387434,0.021684872136155137,0.5390535353535354,,-0.0,0.0,,0.5,,
2138,2-sine-one-channel-anomaly-middle-no-anomaly,deepnap,0,0.019266904057699593,0.05818181818181819,0.020333114878817928,0.018897534691687923,0.02283718554429436,0.6513272727272728,,-0.0,0.0,,0.5,,
1106,2-sine-one-channel-anomaly-middle-no-anomaly,encdec_ad,0,0.012446597582445193,0.03272727272727273,0.013714101919415458,0.012146339584483124,0.01474337108592559,0.5631484848484849,,-0.0,0.0,,0.5,,
586,2-sine-one-channel-anomaly-middle-no-anomaly,fast_mcd,0,0.030088246915618615,0.05090909090909091,0.12838859711897024,0.026412286886271334,0.040775957183325454,0.6494363636363636,,-0.0,0.0,,0.5,,
2759,2-sine-one-channel-anomaly-middle-no-anomaly,gdn,0,0.03460130969208778,0.05277525022747953,0.01372866517893143,0.03201318751282026,0.019140505503203675,0.6875983813859382,,-0.0,0.0,,0.5,,
1721,2-sine-one-channel-anomaly-middle-no-anomaly,hbos,0,0.01342672135185026,0.03766816143497757,0.008286121121908456,0.012284055409417457,0.013577631455412026,0.537579292929293,,-0.0,0.0,,0.5,,
444,2-sine-one-channel-anomaly-middle-no-anomaly,health_esn,0,0.02751556430723913,0.047272727272727265,0.009914404639955467,0.024511877830658065,0.014109217452881918,0.6504888888888889,,-0.0,0.0,,0.5,,
1399,2-sine-one-channel-anomaly-middle-no-anomaly,hif,0,0.019002838304123824,0.05090909090909091,0.00965637078571785,0.018546143746759114,0.01692694260731029,0.6528181818181819,,-0.0,0.0,,0.5,,
110,2-sine-one-channel-anomaly-middle-no-anomaly,hybrid_knn,0,0.019679657034923477,0.05989110707803994,0.028562495480688135,0.019238663239521996,0.023610727912038026,0.6724540404040404,,-0.0,0.0,,0.5,,
3586,2-sine-one-channel-anomaly-middle-no-anomaly,if_lof,0,0.02462799939215165,0.038181818181818185,0.023382238196125314,0.021202671248174383,0.01667452574430119,0.5962651515151515,,-0.0,0.0,,0.5,,
2579,2-sine-one-channel-anomaly-middle-no-anomaly,iforest,0,0.01890582059790958,0.05090909090909091,0.012468664943935802,0.018439481906557045,0.017755994674173013,0.6572464646464646,,-0.0,0.0,,0.5,,
4628,2-sine-one-channel-anomaly-middle-no-anomaly,kmeans,0,0.3345599490009476,0.14909090909090908,0.5636680783659211,0.332794904300881,0.24400613033575252,0.9470787878787879,,-0.0,0.0,,0.5,,
1199,2-sine-one-channel-anomaly-middle-no-anomaly,knn,0,0.023715025490622963,0.04363636363636363,0.06913243697383338,0.021101916311471902,0.02534264550787882,0.6070222222222222,,-0.0,0.0,,0.5,,
2969,2-sine-one-channel-anomaly-middle-no-anomaly,laser_dbn,0,0.016722876206496574,0.01784121320249777,0.09020726827081324,0.01358965452811113,0.013834919111263512,0.5306818181818181,,-0.0,0.0,,0.5,,
4086,2-sine-one-channel-anomaly-middle-no-anomaly,lstm-vae,0,,0.0,0.505,,0.505,,,,0.0,0.5,,0.5,
2320,2-sine-one-channel-anomaly-middle-no-anomaly,lstm_ad,0,0.01184976114902757,0.025454545454545455,0.009987761100061913,0.011569952338354589,0.0113364845812815,0.5476797979797979,,-0.0,0.0,,0.5,,
1463,2-sine-one-channel-anomaly-middle-no-anomaly,mscred,0,0.01,0.019801980198019802,0.005,0.005,0.005,0.45227272727272727,,-0.0,0.0,,0.5,,
2021,2-sine-one-channel-anomaly-middle-no-anomaly,mstamp,0,0.010726045257242743,0.01818181818181818,0.010086691842206987,0.010502164216005399,0.010443034485805592,0.5376040404040404,,-0.0,0.0,,0.5,,
2635,2-sine-one-channel-anomaly-middle-no-anomaly,multi_hmm,0,0.007803881939458889,0.0,0.013733751919595878,0.006339594547942863,0.021986031096252176,0.26951060606060606,,-0.0,0.0,,0.5,,
1522,2-sine-one-channel-anomaly-middle-no-anomaly,multi_subsequence_lof,0,0.345869093125959,0.13272727272727272,0.5478762358646021,0.3434689515739022,0.25047509099902204,0.8137323232323233,,-0.0,0.0,,0.5,,
3756,2-sine-one-channel-anomaly-middle-no-anomaly,normalizing_flows,0,0.015342582532317421,0.03272727272727273,0.01276956761475263,0.014562004512403394,0.01867476693688406,0.5113424242424243,,-0.0,0.0,,0.5,,
4808,2-sine-one-channel-anomaly-middle-no-anomaly,omni,0,0.008207660944300435,0.016423357664233577,0.009233959950506687,0.008024174254920871,0.014316690154373646,0.3773779311745001,,-0.0,0.0,,0.5,,
398,2-sine-one-channel-anomaly-middle-no-anomaly,pca,0,0.23353535353535354,0.16820857863751051,,0.1482828282828283,,0.9756505050505051,,,,,,,
3316,2-sine-one-channel-anomaly-middle-no-anomaly,pcc,0,0.014477251250803189,0.034545454545454546,0.009210166242946101,0.014157715289141995,0.012508452706492748,0.601689898989899,,-0.0,0.0,,0.5,,
960,2-sine-one-channel-anomaly-middle-no-anomaly,robust_pca,0,0.014536341933447865,0.034545454545454546,0.007358791433681596,0.014228250796757595,0.013189621323318905,0.6156767676767677,,-0.0,0.0,,0.5,,
