index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
814,2-sine-one-channel-anomaly-noise-00%-no-anomaly,autoencoder,0,1.0,1.0,0.9693786127167631,1.0,0.9858670520231214,1.0,,-0.0,0.0,,0.5,,
4933,2-sine-one-channel-anomaly-noise-00%-no-anomaly,cblof,0,0.7764790779826278,0.74,0.6399726341496241,0.7760818284713723,0.6510656947484218,0.8782444444444444,,-0.0,0.0,,0.5,,
2460,2-sine-one-channel-anomaly-noise-00%-no-anomaly,cof,0,0.47855657100786364,0.47,0.5765136978963059,0.4770959679135888,0.3452105007375006,0.6694000000000001,,-0.0,0.0,,0.5,,
4420,2-sine-one-channel-anomaly-noise-00%-no-anomaly,copod,0,0.08987808055580246,0.04,0.07989779476595311,0.08848189365095813,0.09730558953190623,0.48495000000000005,,-0.0,0.0,,0.5,,
4177,2-sine-one-channel-anomaly-noise-00%-no-anomaly,dae,0,1.0,1.0,0.9541666666666666,1.0,0.9916666666666665,1.0,,-0.0,0.0,,0.5,,
3261,2-sine-one-channel-anomaly-noise-00%-no-anomaly,damp,0,0.19078103792059106,0.28,0.08381808201127612,0.18586037635990776,0.12066165277571352,0.6766444444444445,,-0.0,0.0,,0.5,,
3119,2-sine-one-channel-anomaly-noise-00%-no-anomaly,deepant,0,0.9294346037096447,0.88,0.8960794929447262,0.9293581174490477,0.8809456229435775,0.9380555555555555,,-0.0,0.0,,0.5,,
2091,2-sine-one-channel-anomaly-noise-00%-no-anomaly,deepnap,0,0.7667770509448162,0.76,0.765215241756058,0.7663311845472984,0.7351507660117185,0.8751111111111111,,-0.0,0.0,,0.5,,
1144,2-sine-one-channel-anomaly-noise-00%-no-anomaly,encdec_ad,0,0.32627798242522293,0.31,0.5935964044511384,0.3245465407324943,0.273309324061743,0.6267444444444444,,-0.0,0.0,,0.5,,
660,2-sine-one-channel-anomaly-noise-00%-no-anomaly,fast_mcd,0,0.061944490739747914,0.0,0.072981385451315,0.061300720092847164,0.09596277090263,0.20934444444444444,,-0.0,0.0,,0.5,,
2747,2-sine-one-channel-anomaly-noise-00%-no-anomaly,gdn,0,0.961512785613452,0.9547738693467336,0.9501214849967606,0.9614732812158424,0.9002429699935213,0.9734802259887004,,-0.0,0.0,,0.5,,
1735,2-sine-one-channel-anomaly-noise-00%-no-anomaly,hbos,0,0.162536479083621,0.22317596566523604,0.12494537784130293,0.1429388558058458,0.12884048482069685,0.6478777777777778,,-0.0,0.0,,0.5,,
532,2-sine-one-channel-anomaly-noise-00%-no-anomaly,health_esn,0,0.9946785967770027,0.96,0.9921567536870157,0.9946560395674293,0.9843135073740314,0.9992777777777778,,-0.0,0.0,,0.5,,
1405,2-sine-one-channel-anomaly-noise-00%-no-anomaly,hif,0,0.9740044969301799,0.96,0.9010514285665361,0.9739757219205784,0.9026153497679466,0.9799,,-0.0,0.0,,0.5,,
3,2-sine-one-channel-anomaly-noise-00%-no-anomaly,hybrid_knn,0,0.06189038808274728,0.0,0.06390814908414709,0.06089026217445104,0.09076193880964162,0.19236111111111112,,-0.0,0.0,,0.5,,
3616,2-sine-one-channel-anomaly-noise-00%-no-anomaly,if_lof,0,0.3282039973997021,0.3,0.5878790307274813,0.325345177200247,0.2486200504579239,0.48917777777777777,,-0.0,0.0,,0.5,,
2590,2-sine-one-channel-anomaly-noise-00%-no-anomaly,iforest,0,0.5803821589084392,0.54,0.6074637736058418,0.5794756660663831,0.35743457616646107,0.6944388888888888,,-0.0,0.0,,0.5,,
