index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
860,2-sine-one-channel-anomaly-noise-50%,autoencoder,0,0.20536816538246894,0.24,0.5443083947954528,0.20085443680866463,0.18075284216346038,0.625,,0.19182804469202006,0.20999999999999996,0.5319761724182293,0.18824391940259683,0.15782365177088198,0.6142111111111112
4837,2-sine-one-channel-anomaly-noise-50%,cblof,0,0.1481916709115515,0.19,0.5634174214422056,0.14431514751733443,0.1623283527703921,0.5313222222222223,,0.15967387866216584,0.20999999999999996,0.529841214261307,0.15570014811738397,0.1421542202069881,0.5693555555555556
2446,2-sine-one-channel-anomaly-noise-50%,cof,0,0.1325332562042591,0.14,0.083996103551569,0.12740283874830666,0.11954746628779048,0.5396333333333334,,0.1400161498371736,0.13,0.5352486763932118,0.13686708767638828,0.11144351111185637,0.5841
4457,2-sine-one-channel-anomaly-noise-50%,copod,0,0.06794769831601877,0.02,0.07989508920930373,0.0668436901244718,0.13024015852364138,0.31208888888888886,,0.08838558944418887,0.03,0.5468059272540771,0.08670569105293731,0.1261696066079482,0.38107777777777774
4251,2-sine-one-channel-anomaly-noise-50%,dae,0,0.2691987181362759,0.3,0.5459716104205801,0.265562030124204,0.21140347519165245,0.7027111111111112,,0.1674798306634756,0.20000000000000004,0.5605833409505314,0.16419195228016983,0.14541019368502606,0.5408055555555555
3246,2-sine-one-channel-anomaly-noise-50%,damp,0,0.1332526141700599,0.15,0.09922170894553184,0.12863725941275522,0.14739935142284588,0.5438000000000001,,0.2013421746420739,0.17,0.1418061558471015,0.1951916882824073,0.21583558449369222,0.7283777777777778
3049,2-sine-one-channel-anomaly-noise-50%,deepant,0,0.1890096448814677,0.20999999999999996,0.5425086599886991,0.18455725976018597,0.1810878123450835,0.5514222222222221,,0.1764107478040648,0.23,0.5405047408630198,0.17239867988346955,0.14891653739031013,0.6265333333333333
2184,2-sine-one-channel-anomaly-noise-50%,deepnap,0,0.27805581982285527,0.25,0.5522270042631969,0.2762943532187104,0.22217419660961168,0.6166222222222222,,0.10050435233082847,0.10000000000000002,0.0760332926992514,0.09740687800267087,0.13299082740372492,0.48002222222222224
1113,2-sine-one-channel-anomaly-noise-50%,encdec_ad,0,0.18094017207506743,0.31,0.1005066159763255,0.17610775862474276,0.1687223176660654,0.5753222222222222,,0.2758557394360089,0.38,0.1689239656445011,0.2707733940153498,0.19807131775805314,0.7686444444444445
626,2-sine-one-channel-anomaly-noise-50%,fast_mcd,0,0.1635618186687286,0.19,0.5557509094752032,0.16024470376501337,0.1852673222423422,0.5138111111111111,,0.14764795492542176,0.16,0.5457801477876199,0.14456543301935448,0.14944731598425115,0.4898555555555555
2718,2-sine-one-channel-anomaly-noise-50%,gdn,0,0.23561637098063135,0.24120603015075376,0.5445256272483241,0.2323276176183605,0.173746169508941,0.6803163841807909,,-0.0,0.0,,0.5,,
