index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
733,2-sine-one-channel-frequency-anomaly-no-anomaly,autoencoder,0,0.006857406871495274,0.0,0.048841235898170826,0.006208263214627528,0.053480396094265956,0.22525252525252526,,-0.0,0.0,,0.5,,
4836,2-sine-one-channel-frequency-anomaly-no-anomaly,cblof,0,0.015062795923904321,0.0,0.008653524374970984,0.013166316704891969,0.011918353123162076,0.6286868686868686,,-0.0,0.0,,0.5,,
2389,2-sine-one-channel-frequency-anomaly-no-anomaly,cof,0,0.022746117123448824,0.01818181818181818,0.0146442282946349,0.017940237326633017,0.01587305595691128,0.6799999999999999,,-0.0,0.0,,0.5,,
4495,2-sine-one-channel-frequency-anomaly-no-anomaly,copod,0,0.006222728753473481,0.0,0.06223917719926077,0.005637827814895566,0.06858845436487677,0.1417171717171717,,-0.0,0.0,,0.5,,
4248,2-sine-one-channel-frequency-anomaly-no-anomaly,dae,0,0.007637745424749957,0.0,0.022080425462866086,0.006869165854909632,0.027826847803653555,0.3244444444444444,,-0.0,0.0,,0.5,,
3163,2-sine-one-channel-frequency-anomaly-no-anomaly,damp,0,0.01178334619008995,0.0,0.00500280028619311,0.010590540131084465,0.009053219620005267,0.565050505050505,,-0.0,0.0,,0.5,,
3013,2-sine-one-channel-frequency-anomaly-no-anomaly,deepant,0,0.3042673100880317,0.1090909090909091,0.5758845125640828,0.28427842389065605,0.3074893730157231,0.7676767676767676,,-0.0,0.0,,0.5,,
2155,2-sine-one-channel-frequency-anomaly-no-anomaly,deepnap,0,0.009078319289086215,0.0,0.05425438247801331,0.008221311692273494,0.054651837569687466,0.41575757575757577,,-0.0,0.0,,0.5,,
1050,2-sine-one-channel-frequency-anomaly-no-anomaly,encdec_ad,0,0.006831202701269227,0.0,0.023269663751444476,0.006160837286887152,0.028822445435250105,0.2385858585858586,,-0.0,0.0,,0.5,,
612,2-sine-one-channel-frequency-anomaly-no-anomaly,fast_mcd,0,0.0060837909468096675,0.0,0.03892755937599536,0.0055076653624327,0.057501296878764034,0.12656565656565658,,-0.0,0.0,,0.5,,
2843,2-sine-one-channel-frequency-anomaly-no-anomaly,gdn,0,0.035481540249885,0.018348623853211014,0.0418775869598238,0.0318647409282267,0.05381365345181134,0.8585641025641025,,-0.0,0.0,,0.5,,
1655,2-sine-one-channel-frequency-anomaly-no-anomaly,hbos,0,0.17654181986563716,0.08695652173913042,0.5594117171574221,0.16637324421413702,0.15746940717412838,0.8433838383838385,,-0.0,0.0,,0.5,,
434,2-sine-one-channel-frequency-anomaly-no-anomaly,health_esn,0,0.07663811098562055,0.09090909090909091,0.03383429763024298,0.05721012913497001,0.03249873126278666,0.8140404040404041,,-0.0,0.0,,0.5,,
1368,2-sine-one-channel-frequency-anomaly-no-anomaly,hif,0,0.00786983967258236,0.0,0.013211687994011581,0.006816318351556034,0.03337863342207717,0.33050505050505047,,-0.0,0.0,,0.5,,
98,2-sine-one-channel-frequency-anomaly-no-anomaly,hybrid_knn,0,0.007020753249888707,0.0,0.0034162045111168983,0.006359380317685681,0.006088361403186178,0.24888888888888888,,-0.0,0.0,,0.5,,
3675,2-sine-one-channel-frequency-anomaly-no-anomaly,if_lof,0,0.009558659217877095,0.0,0.0073071785508360566,0.005634842916923339,0.00880040361330002,0.2933838383838384,,-0.0,0.0,,0.5,,
2543,2-sine-one-channel-frequency-anomaly-no-anomaly,iforest,0,0.006717852988640211,0.0,0.020185969722055032,0.005929049956802272,0.05225957995804441,0.2297979797979798,,-0.0,0.0,,0.5,,
4677,2-sine-one-channel-frequency-anomaly-no-anomaly,kmeans,0,0.6315095525389643,0.18181818181818182,0.9,0.6035745708539826,0.8,0.9958585858585858,,-0.0,0.0,,0.5,,
1246,2-sine-one-channel-frequency-anomaly-no-anomaly,knn,0,0.010817364625253737,0.01818181818181818,0.02117174929588859,0.009170375162468564,0.02406344039936457,0.46595959595959596,,-0.0,0.0,,0.5,,
2968,2-sine-one-channel-frequency-anomaly-no-anomaly,laser_dbn,0,,0.0,0.505,,0.505,,,-0.0,0.0,,0.5,,
4120,2-sine-one-channel-frequency-anomaly-no-anomaly,lstm-vae,0,,0.0,0.505,,0.505,,,,0.0,0.5,,0.5,
2307,2-sine-one-channel-frequency-anomaly-no-anomaly,lstm_ad,0,0.007399738300114731,0.0,0.008004312741921489,0.006665905406210464,0.012721026301838077,0.296969696969697,,-0.0,0.0,,0.5,,
2025,2-sine-one-channel-frequency-anomaly-no-anomaly,mstamp,0,0.006683042192559922,0.0,0.019090794227917488,0.006062675714148683,0.040027082738311445,0.19363636363636363,,-0.0,0.0,,0.5,,
1573,2-sine-one-channel-frequency-anomaly-no-anomaly,multi_subsequence_lof,0,0.2257879044780099,0.1272727272727273,0.5994244772040825,0.20992727912715298,0.19884895440816494,0.9062626262626262,,-0.0,0.0,,0.5,,
3786,2-sine-one-channel-frequency-anomaly-no-anomaly,normalizing_flows,0,0.04489388837567868,0.03636363636363636,0.021300525151187473,0.04068129642870545,0.03739271696904161,0.8879797979797981,,-0.0,0.0,,0.5,,
