index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
776,2-sine-one-channel-frequency-anomaly,autoencoder,0,0.006852769665103082,0.0,0.04800334404553841,0.006206114349781017,0.05464561148000022,0.22303030303030302,,0.00917467733657052,0.0,0.03189152479829778,0.008244398468918186,0.03542724390024417,0.44202020202020204
4918,2-sine-one-channel-frequency-anomaly,cblof,0,0.015062795923904321,0.0,0.008653524374970984,0.013166316704891969,0.011918353123162076,0.6286868686868686,,0.012282740973736352,0.0,0.008472633445666155,0.010614514735251983,0.009621773224722178,0.5347474747474747
2384,2-sine-one-channel-frequency-anomaly,cof,0,0.022746117123448824,0.01818181818181818,0.0146442282946349,0.017940237326633017,0.01587305595691128,0.6799999999999999,,0.023333514290786738,0.03636363636363636,0.014806671052367316,0.018591636063330773,0.011266290537344084,0.6237373737373737
4522,2-sine-one-channel-frequency-anomaly,copod,0,0.006222728753473481,0.0,0.06223917719926077,0.005637827814895566,0.06858845436487677,0.1417171717171717,,0.005729952474858479,0.0,0.01227947664418054,0.005200176225510916,0.004558953288361073,0.05474747474747475
4166,2-sine-one-channel-frequency-anomaly,dae,0,0.008343953268996425,0.0,0.023639445304525226,0.007491707729964475,0.03360054664517512,0.38515151515151513,,0.011238084213141068,0.0,0.03883564825025225,0.01005814519444702,0.04328608711529512,0.547979797979798
3162,2-sine-one-channel-frequency-anomaly,damp,0,0.01178334619008995,0.0,0.00500280028619311,0.010590540131084465,0.009053219620005267,0.565050505050505,,0.006496791544967079,0.0,0.0030214954221012345,0.005905351416180749,0.005631468210457614,0.15585858585858584
3110,2-sine-one-channel-frequency-anomaly,deepant,0,0.34902763582781393,0.1090909090909091,0.576585463510538,0.3368324821269709,0.3076703440756201,0.7875757575757576,,0.4449518675167913,0.1090909090909091,0.655671379315456,0.43827855349014133,0.36815539827423216,0.867979797979798
2110,2-sine-one-channel-frequency-anomaly,deepnap,0,0.009129556339775378,0.0,0.05911857384220467,0.008267082981530382,0.06582118129785472,0.4193939393939394,,0.01004583951017876,0.0,0.003604469833246292,0.00906330260802388,0.00505376725269948,0.48111111111111116
1039,2-sine-one-channel-frequency-anomaly,encdec_ad,0,0.006806174388217546,0.0,0.018299877546898775,0.006177585138900636,0.023697657191699643,0.20494949494949496,,0.011276521917848756,0.0,0.030744820918091137,0.010181440717783579,0.03648964183618228,0.5372727272727272
695,2-sine-one-channel-frequency-anomaly,fast_mcd,0,0.006838709013641984,0.0,0.035879942721209396,0.006107554405368545,0.03812059933166624,0.25666666666666665,,0.0059012652140030585,0.0,0.025968093473262684,0.005339111898428628,0.01807799928735957,0.10212121212121213
2778,2-sine-one-channel-frequency-anomaly,gdn,0,0.013446784444102819,0.0,0.016062606740282585,0.012054372687823445,0.027687871564534533,0.6169230769230769,,-0.0,0.0,,0.5,,
1710,2-sine-one-channel-frequency-anomaly,hbos,0,0.17654181986563716,0.08695652173913042,0.5594117171574221,0.16637324421413702,0.15746940717412838,0.8433838383838385,,0.027810400016322446,0.049999999999999996,0.02431057526583461,0.023343816819187537,0.02923126828409562,0.7507070707070707
