index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
765,2-sine-one-channel-mean-anomaly-no-anomaly,autoencoder,0,0.11044085574661229,0.16363636363636364,0.09459603722151677,0.09105757156987176,0.1046363770500599,0.944040404040404,,-0.0,0.0,,0.5,,
4945,2-sine-one-channel-mean-anomaly-no-anomaly,cblof,0,0.4454619244471099,0.18181818181818182,0.14573593073593072,0.39433292348068866,0.13844155844155842,0.9886868686868687,,-0.0,0.0,,0.5,,
2392,2-sine-one-channel-mean-anomaly-no-anomaly,cof,0,0.9999999999999999,0.18181818181818182,0.8125,0.9999999999999999,0.625,1.0,,-0.0,0.0,,0.5,,
4473,2-sine-one-channel-mean-anomaly-no-anomaly,copod,0,0.16819682368737593,0.16363636363636364,0.08203699352548036,0.13642207709764131,0.08194439697729172,0.954848484848485,,-0.0,0.0,,0.5,,
4144,2-sine-one-channel-mean-anomaly-no-anomaly,dae,0,0.1020737657793096,0.16363636363636364,0.09780934962571118,0.08737576234399623,0.16432542159086783,0.9437373737373738,,-0.0,0.0,,0.5,,
3229,2-sine-one-channel-mean-anomaly-no-anomaly,damp,0,0.009057754950291043,0.0,0.006607266818702086,0.008204938961227646,0.00875024792311846,0.41363636363636364,,-0.0,0.0,,0.5,,
3117,2-sine-one-channel-mean-anomaly-no-anomaly,deepant,0,0.14039953480265657,0.18181818181818182,0.14685926773455377,0.12277732694681931,0.1972921434019832,0.964040404040404,,-0.0,0.0,,0.5,,
2119,2-sine-one-channel-mean-anomaly-no-anomaly,deepnap,0,0.08078173873405065,0.18181818181818182,0.2343859649122807,0.0730445921986684,0.24377192982456142,0.9412121212121213,,-0.0,0.0,,0.5,,
1086,2-sine-one-channel-mean-anomaly-no-anomaly,encdec_ad,0,0.011746886142055858,0.0,0.06429850668337511,0.010652738832869577,0.07304145781119466,0.546060606060606,,-0.0,0.0,,0.5,,
713,2-sine-one-channel-mean-anomaly-no-anomaly,fast_mcd,0,0.3328090169716704,0.16363636363636364,0.610265867173762,0.3215318057207282,0.32681521694679594,0.9614141414141415,,-0.0,0.0,,0.5,,
2837,2-sine-one-channel-mean-anomaly-no-anomaly,gdn,0,0.0903845198306544,0.1467889908256881,0.14467541717541715,0.08060043813286638,0.1353825803825804,0.937025641025641,,-0.0,0.0,,0.5,,
1708,2-sine-one-channel-mean-anomaly-no-anomaly,hbos,0,0.45289122139217014,0.16363636363636364,0.6278894205209995,0.42453636052596533,0.3198112706007443,0.9753535353535354,,-0.0,0.0,,0.5,,
448,2-sine-one-channel-mean-anomaly-no-anomaly,health_esn,0,0.25281467768302557,0.1090909090909091,0.016855697437672977,0.2069933452326615,0.042512591160082276,0.8677777777777778,,-0.0,0.0,,0.5,,
1382,2-sine-one-channel-mean-anomaly-no-anomaly,hif,0,0.6222949986446191,0.18181818181818182,0.6587996031746032,0.6121089502120391,0.5356746031746032,0.9884848484848485,,-0.0,0.0,,0.5,,
79,2-sine-one-channel-mean-anomaly-no-anomaly,hybrid_knn,0,0.013946374849717636,0.0,0.007699599289067154,0.012638452181110333,0.011137834941770671,0.6256565656565656,,-0.0,0.0,,0.5,,
3666,2-sine-one-channel-mean-anomaly-no-anomaly,if_lof,0,0.7683800186741363,0.18181818181818182,0.6781661149308208,0.7574295475766064,0.6310797046091164,0.9955555555555555,,-0.0,0.0,,0.5,,
2505,2-sine-one-channel-mean-anomaly-no-anomaly,iforest,0,0.582860862382139,0.18181818181818182,0.6438057775557776,0.5734888078014378,0.48174991674991674,0.9853535353535354,,-0.0,0.0,,0.5,,
4639,2-sine-one-channel-mean-anomaly-no-anomaly,kmeans,0,0.5726563714063714,0.18181818181818182,0.9,0.554057515197221,0.8,0.9943434343434343,,-0.0,0.0,,0.5,,
1279,2-sine-one-channel-mean-anomaly-no-anomaly,knn,0,0.6399451798201797,0.18181818181818182,0.6316366764096943,0.6274761558525959,0.4830562659846548,0.9905050505050504,,-0.0,0.0,,0.5,,
2966,2-sine-one-channel-mean-anomaly-no-anomaly,laser_dbn,0,,0.0,0.505,,0.505,,,-0.0,0.0,,0.5,,
3991,2-sine-one-channel-mean-anomaly-no-anomaly,lstm-vae,0,,0.0,0.505,,0.505,,,,0.0,0.5,,0.5,
2279,2-sine-one-channel-mean-anomaly-no-anomaly,lstm_ad,0,0.04309078072852862,0.1090909090909091,0.011125044411723947,0.03772980060351171,0.018801812961378932,0.8076767676767678,,-0.0,0.0,,0.5,,
2055,2-sine-one-channel-mean-anomaly-no-anomaly,mstamp,0,0.011159597739053775,0.0,0.008772079686920002,0.010044035255093198,0.03953270186578399,0.5375757575757576,,-0.0,0.0,,0.5,,
1549,2-sine-one-channel-mean-anomaly-no-anomaly,multi_subsequence_lof,0,0.03715238900426798,0.0,0.007443230704718474,0.033656528505913705,0.009731822234179215,0.862929292929293,,-0.0,0.0,,0.5,,
3831,2-sine-one-channel-mean-anomaly-no-anomaly,normalizing_flows,0,0.005969425331484625,0.0,0.0020458284482432585,0.005427138940210153,0.0031792481373624296,0.0786868686868687,,-0.0,0.0,,0.5,,
4752,2-sine-one-channel-mean-anomaly-no-anomaly,omni,0,0.006208142056427686,0.0,0.0159994475543499,0.005619455175394989,0.022480808198451996,0.09914984059511159,,-0.0,0.0,,0.5,,
404,2-sine-one-channel-mean-anomaly-no-anomaly,pca,0,0.18160919540229886,0.13559322033898305,,0.09236405189218257,,0.8750505050505051,,,,,,,
3390,2-sine-one-channel-mean-anomaly-no-anomaly,pcc,0,0.016955194503833437,0.01818181818181818,0.02403510842451842,0.014750975707318273,0.02986069164574298,0.686969696969697,,-0.0,0.0,,0.5,,
1874,2-sine-one-channel-mean-anomaly-no-anomaly,random_black_forest,0,0.9833333333333333,0.18181818181818182,0.8125,0.9825757575757575,0.625,0.9997979797979798,,-0.0,0.0,,0.5,,
929,2-sine-one-channel-mean-anomaly-no-anomaly,robust_pca,0,0.04757650517564531,0.07272727272727272,0.054858845014165714,0.04165880125604473,0.07923907740753004,0.8908080808080808,,-0.0,0.0,,0.5,,
175,2-sine-one-channel-mean-anomaly-no-anomaly,subsequence_knn,0,0.013778229378399258,0.0,0.054584603587477395,0.012488150493370934,0.04250254050828812,0.6157575757575758,,-0.0,0.0,,0.5,,
3939,2-sine-one-channel-mean-anomaly-no-anomaly,tanogan,0,0.01,0.019801980198019802,0.005,0.005,0.005,0.4914141414141414,,-0.0,0.0,,0.5,,
4406,2-sine-one-channel-mean-anomaly-no-anomaly,telemanom,0,0.006171943983588529,0.0,0.006704631429899827,0.00567133905325949,0.005829631429899828,0.12181818181818184,,-0.0,0.0,,0.5,,
3477,2-sine-one-channel-mean-anomaly-no-anomaly,usad,0,0.04105898242541572,0.0,0.09856707602739334,0.038440174325919355,0.09713414311408997,0.7057664844634856,0.45300307869911194,-0.0,0.0,,0.5,,
