index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
764,2-sine-one-channel-mean-anomaly,autoencoder,0,0.08860464656339845,0.16363636363636364,0.05792080363588124,0.07510899820171632,0.0870642981064267,0.9341414141414142,,0.011594020187307204,0.0,0.010977070340803656,0.010446132362188276,0.01888088534095028,0.555959595959596
4969,2-sine-one-channel-mean-anomaly,cblof,0,0.4454619244471099,0.18181818181818182,0.14573593073593072,0.39433292348068866,0.13844155844155842,0.9886868686868687,,0.008149433483523275,0.0,0.010353961172845169,0.007124820554678351,0.012442135136276525,0.36868686868686873
2387,2-sine-one-channel-mean-anomaly,cof,0,0.9999999999999999,0.18181818181818182,0.8125,0.9999999999999999,0.625,1.0,,0.00994539909428849,0.0,0.010731033454575458,0.008535101308192333,0.013222523109681935,0.4601010101010101
4433,2-sine-one-channel-mean-anomaly,copod,0,0.16819682368737593,0.16363636363636364,0.08203699352548036,0.13642207709764131,0.08194439697729172,0.954848484848485,,0.007526215751695647,0.0,0.014988744363213239,0.006777457696640896,0.028745083927913976,0.306969696969697
4150,2-sine-one-channel-mean-anomaly,dae,0,0.10229459110347613,0.16363636363636364,0.10263474938290273,0.08762516582018613,0.14843307262576344,0.9445454545454546,,0.0089533972402357,0.0,0.020194430918408432,0.008024073807704549,0.026437765991085545,0.43101010101010095
3256,2-sine-one-channel-mean-anomaly,damp,0,0.009057754950291043,0.0,0.006607266818702086,0.008204938961227646,0.00875024792311846,0.41363636363636364,,0.016595959223200465,0.0,0.008563697632543119,0.014848425403360347,0.015665406960992674,0.6967676767676768
3050,2-sine-one-channel-mean-anomaly,deepant,0,0.0924829430300463,0.14545454545454545,0.1154613697705803,0.08087934205641065,0.1377648448043185,0.9453535353535354,,0.01685664924392287,0.03636363636363636,0.029034299050961256,0.014481271487553125,0.030854605745332706,0.6338383838383838
2070,2-sine-one-channel-mean-anomaly,deepnap,0,0.07877514444807875,0.18181818181818182,0.22438596491228072,0.07124016220760901,0.22877192982456143,0.9394949494949495,,0.00818560288414828,0.0,0.0030064150448866284,0.007389548820948201,0.0053344040382128765,0.36323232323232324
1116,2-sine-one-channel-mean-anomaly,encdec_ad,0,0.011504902930388517,0.0,0.028213203463203464,0.010433673672417489,0.036426406926406925,0.5362626262626262,,0.009250580503988654,0.0,0.010660983481029921,0.008346104266664725,0.018053993105850694,0.438989898989899
598,2-sine-one-channel-mean-anomaly,fast_mcd,0,0.20759587634220467,0.14545454545454545,0.6027805859630314,0.19527126275543635,0.22840608439485205,0.9446464646464646,,0.00954259715009703,0.0,0.009015185368255688,0.008632717008508765,0.018147233779486887,0.4482828282828283
2783,2-sine-one-channel-mean-anomaly,gdn,0,0.041240677192910115,0.07339449541284405,0.060292936693192446,0.03569643889470362,0.08367500647551797,0.8324102564102565,,-0.0,0.0,,0.5,,
1669,2-sine-one-channel-mean-anomaly,hbos,0,0.45289122139217014,0.16363636363636364,0.6278894205209995,0.42453636052596533,0.3198112706007443,0.9753535353535354,,0.006977759931596259,0.0,0.019029297656026924,0.005699745032295785,0.029072712150152447,0.18843434343434343
435,2-sine-one-channel-mean-anomaly,health_esn,0,0.19001806828464313,0.09090909090909091,0.06299441567466837,0.14908884837178205,0.06175875501467343,0.8728282828282828,,0.10603573709370728,0.01818181818181818,0.5765085992906603,0.10550214277683405,0.14108921230879085,0.21808080808080807
1335,2-sine-one-channel-mean-anomaly,hif,0,0.5104758145080726,0.18181818181818182,0.10664351851851851,0.45918204221512043,0.12287037037037035,0.9897979797979798,,0.009656764043420835,0.0,0.019437203601576667,0.008531246088041749,0.024361856444162944,0.4665656565656566
1,2-sine-one-channel-mean-anomaly,hybrid_knn,0,0.013611078753075937,0.0,0.006935926532039557,0.012336662942214098,0.010964876319893065,0.6168181818181818,,0.010766535360828193,0.0,0.005103496966570006,0.009745027260836809,0.009049586525732605,0.5106060606060606
3577,2-sine-one-channel-mean-anomaly,if_lof,0,0.7683800186741363,0.18181818181818182,0.6781661149308208,0.7574295475766064,0.6310797046091164,0.9955555555555555,,0.0096993006993007,0.0,0.008862318840579711,0.006396042102227669,0.010148880105401846,0.40383838383838383
2522,2-sine-one-channel-mean-anomaly,iforest,0,0.582860862382139,0.18181818181818182,0.6438057775557776,0.5734888078014378,0.48174991674991674,0.9853535353535354,,0.0090755036691593,0.0,0.017593591642743173,0.008053152946768323,0.02528224594953601,0.4287878787878788
4596,2-sine-one-channel-mean-anomaly,kmeans,0,0.5726563714063714,0.18181818181818182,0.9,0.554057515197221,0.8,0.9943434343434343,,0.45612609612609606,0.18181818181818182,0.20833333333333334,0.4226538739038739,0.20833333333333334,0.9943434343434343
