index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
783,2-sine-short-5-anomalies-one-channel-no-anomaly,autoencoder,0,0.9260138280534149,0.6133333333333333,0.9285016679267462,0.9258770617451771,0.8573262357784897,0.9618105263157894,,-0.0,0.0,,0.5,,
4899,2-sine-short-5-anomalies-one-channel-no-anomaly,cblof,0,0.9618192460169309,0.64,0.9423664077124364,0.9616984616208336,0.8847328154248729,0.9798736842105262,,-0.0,0.0,,0.5,,
2356,2-sine-short-5-anomalies-one-channel-no-anomaly,cof,0,0.7270203636043342,0.6533333333333333,0.49794489846342405,0.724216885456335,0.45290385528019217,0.970421052631579,,-0.0,0.0,,0.5,,
4536,2-sine-short-5-anomalies-one-channel-no-anomaly,copod,0,0.05418098884945046,0.04,0.07463700955898438,0.052436851136131425,0.08549644774102294,0.5549052631578947,,-0.0,0.0,,0.5,,
4215,2-sine-short-5-anomalies-one-channel-no-anomaly,dae,0,0.7778173240733058,0.49333333333333335,0.8445867779385664,0.7774478220368466,0.7559067647500859,0.9024210526315789,,-0.0,0.0,,0.5,,
3153,2-sine-short-5-anomalies-one-channel-no-anomaly,damp,0,0.11019252578390212,0.13333333333333333,0.07690377016640454,0.1046123007533796,0.07876821780472652,0.7736842105263158,,-0.0,0.0,,0.5,,
3007,2-sine-short-5-anomalies-one-channel-no-anomaly,deepant,0,0.7197240737455839,0.5733333333333333,0.7285580443172527,0.7183740824089412,0.6836148051514724,0.9103368421052631,,-0.0,0.0,,0.5,,
2194,2-sine-short-5-anomalies-one-channel-no-anomaly,deepnap,0,0.04736789474440408,0.0,0.029772646203640098,0.046260560921509625,0.04645092321206188,0.5105684210526316,,-0.0,0.0,,0.5,,
1043,2-sine-short-5-anomalies-one-channel-no-anomaly,encdec_ad,0,0.08081492722322048,0.13333333333333333,0.04457082254581935,0.0754390892559106,0.056387657750162086,0.6092631578947368,,-0.0,0.0,,0.5,,
623,2-sine-short-5-anomalies-one-channel-no-anomaly,fast_mcd,0,0.9744041369208981,0.6533333333333333,0.9491999745055748,0.9743333849979463,0.8988106630142411,0.9831368421052631,,-0.0,0.0,,0.5,,
2788,2-sine-short-5-anomalies-one-channel-no-anomaly,gdn,0,0.47772913096230046,0.5771812080536913,0.44740708730259066,0.46334754881060786,0.45426247955683385,0.9647058823529412,,-0.0,0.0,,0.5,,
1622,2-sine-short-5-anomalies-one-channel-no-anomaly,hbos,0,0.040250236362947764,0.0,0.06528231184057391,0.03806135529747125,0.08475513824154021,0.4019684210526316,,-0.0,0.0,,0.5,,
497,2-sine-short-5-anomalies-one-channel-no-anomaly,health_esn,0,0.7090123853856843,0.6666666666666666,0.7189660154660154,0.7008635671731175,0.6594301994301993,0.9865263157894737,,-0.0,0.0,,0.5,,
1305,2-sine-short-5-anomalies-one-channel-no-anomaly,hif,0,0.8575784828846335,0.64,0.7698222887776663,0.854636823754613,0.6906382599292967,0.981221052631579,,-0.0,0.0,,0.5,,
