index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
766,2-sine-short-5-anomalies-one-channel,autoencoder,0,0.9275487296828385,0.6133333333333333,0.9335424602835095,0.9274149743937242,0.867490167995681,0.9626947368421053,,0.8147183517252174,0.5333333333333333,0.7603099372336554,0.8143011870740529,0.7504384582176941,0.9089052631578947
4942,2-sine-short-5-anomalies-one-channel,cblof,0,0.9618192460169309,0.64,0.9423664077124364,0.9616984616208336,0.8847328154248729,0.9798736842105262,,0.9397032597444817,0.6266666666666667,0.8995448697748135,0.9394423027737523,0.8781307987704489,0.9838947368421052
2401,2-sine-short-5-anomalies-one-channel,cof,0,0.7270203636043342,0.6533333333333333,0.49794489846342405,0.724216885456335,0.45290385528019217,0.970421052631579,,0.8496472713658844,0.6,0.6867796097418926,0.8485354342251984,0.6318831668389365,0.9610947368421052
4537,2-sine-short-5-anomalies-one-channel,copod,0,0.05418098884945046,0.04,0.07463700955898438,0.052436851136131425,0.08549644774102294,0.5549052631578947,,0.029251007453046325,0.0,0.042879373478791574,0.02859309907703467,0.05755136570805355,0.1897894736842105
4179,2-sine-short-5-anomalies-one-channel,dae,0,0.775578328329022,0.49333333333333335,0.8439364547052189,0.7752252320774184,0.7553023071238195,0.8981263157894737,,0.497014519673933,0.30666666666666664,0.532156250052266,0.4962324670812355,0.5504920718898794,0.7587578947368421
3184,2-sine-short-5-anomalies-one-channel,damp,0,0.11019252578390212,0.13333333333333333,0.07690377016640454,0.1046123007533796,0.07876821780472652,0.7736842105263158,,0.0718714564095354,0.0,0.07355196776049208,0.0699783991968065,0.09329198835481614,0.6634736842105262
3091,2-sine-short-5-anomalies-one-channel,deepant,0,0.8174834789231356,0.5866666666666667,0.8193382459880917,0.8167609816395174,0.7404213157956943,0.9338526315789475,,0.7500272655414619,0.5599999999999999,0.770589559756201,0.7486902067934171,0.6843797013223708,0.9256631578947369
2120,2-sine-short-5-anomalies-one-channel,deepnap,0,0.05054309987588955,0.0,0.04660979930706741,0.049391260213427865,0.06478360021321189,0.543578947368421,,0.0360105177302226,0.0,0.0366353395127796,0.035152788142847405,0.050449550881524106,0.3496842105263158
1017,2-sine-short-5-anomalies-one-channel,encdec_ad,0,0.07994764108213243,0.13333333333333333,0.06129039071671994,0.07527340131944656,0.0642784592471489,0.5251789473684211,,0.04723913171203043,0.0,0.04469348321156733,0.04591468190124576,0.05229152442131193,0.5046947368421053
712,2-sine-short-5-anomalies-one-channel,fast_mcd,0,0.9738399617655791,0.6533333333333333,0.9493170604879079,0.9737687278877845,0.8988181003885928,0.9825473684210527,,0.9254201122041898,0.6266666666666667,0.8652215523755917,0.925154726349294,0.8561095003435482,0.9615157894736842
2795,2-sine-short-5-anomalies-one-channel,gdn,0,0.6884917530130162,0.5771812080536913,0.7114687115371784,0.6841544365783574,0.6101901922645011,0.9571978609625669,,-0.0,0.0,,0.5,,
1736,2-sine-short-5-anomalies-one-channel,hbos,0,0.040250236362947764,0.0,0.06528231184057391,0.03806135529747125,0.08475513824154021,0.4019684210526316,,0.06267258873761848,0.04819277108433735,0.05611466143690467,0.0600522829155854,0.05749803558469805,0.631421052631579
530,2-sine-short-5-anomalies-one-channel,health_esn,0,0.6134236519579258,0.6666666666666666,0.5827719022875273,0.6017708271331514,0.6232307312570471,0.9845263157894737,,0.11034813383765625,0.05333333333333334,0.40549369772884336,0.10968129155431387,0.21265148244321083,0.24875789473684212
1316,2-sine-short-5-anomalies-one-channel,hif,0,0.8503298762903376,0.64,0.7264826136598811,0.8479937117722928,0.6314808507267137,0.9820210526315789,,0.5614829985709237,0.5733333333333333,0.2303959440682179,0.5476686805648631,0.24579942927143866,0.9597894736842104
26,2-sine-short-5-anomalies-one-channel,hybrid_knn,0,0.05763014718684669,0.013333333333333334,0.09348374661565752,0.055621897728610786,0.10946452662054616,0.5974947368421053,,0.031148126622293635,0.0,0.023938397241109303,0.03046169941911377,0.029946965177378205,0.2368842105263158
3648,2-sine-short-5-anomalies-one-channel,if_lof,0,0.9641729776931016,0.6533333333333333,0.9625117243867243,0.9647330410469642,0.9250234487734488,0.9849157894736842,,0.8634077614990272,0.5866666666666667,0.8531604721710441,0.8641915061545338,0.8001024166101736,0.9596842105263158
2534,2-sine-short-5-anomalies-one-channel,iforest,0,0.7594908654695548,0.6133333333333333,0.697820754478683,0.7530019607197102,0.5757021691867416,0.9664421052631579,,0.5874833328729113,0.5333333333333333,0.514551912902153,0.5828476477010393,0.3543205593430905,0.9405894736842104
4610,2-sine-short-5-anomalies-one-channel,kmeans,0,0.6762054746352892,0.6266666666666667,0.7577080360968236,0.6712713481497189,0.702055233641623,0.9801263157894736,,0.601157492469353,0.64,0.6988831245925765,0.591895872766379,0.688355507788037,0.9784842105263158
1286,2-sine-short-5-anomalies-one-channel,knn,0,0.9760370222658541,0.6533333333333333,0.9474792344093813,0.9759681626205661,0.9192444661995185,0.9888842105263158,,0.9359529499875874,0.6266666666666667,0.8620008587691078,0.935697419917891,0.8446284723943646,0.9852000000000001
2964,2-sine-short-5-anomalies-one-channel,laser_dbn,0,,0.0,0.525,,0.525,,,0.2402388211996841,0.2781456953642384,0.20287570058818963,0.22509033266861628,0.16212634854796576,0.8854842105263158
3994,2-sine-short-5-anomalies-one-channel,lstm-vae,0,,0.0,0.525,,0.525,,,,0.0,0.525,,0.525,
2255,2-sine-short-5-anomalies-one-channel,lstm_ad,0,0.11277059152683702,0.08,0.09115798971214657,0.10951937546385669,0.12161161136510526,0.7960210526315791,,0.06779164225785542,0.11999999999999998,0.08621496440538026,0.06452393320449354,0.07612470303287004,0.558021052631579
1949,2-sine-short-5-anomalies-one-channel,mstamp,0,0.07892749467213085,0.02666666666666667,0.07761323027662313,0.07705445681753816,0.11171829537766786,0.7193684210526317,,0.05623199338017393,0.02666666666666667,0.054117472847834316,0.0546974112126537,0.05722580736235799,0.5931578947368421
2662,2-sine-short-5-anomalies-one-channel,multi_hmm,0,0.06660264588530901,0.06486486486486485,0.1255567196038508,0.058032382761917065,0.14500937037784786,0.5918315789473685,,0.051397723988832425,0.0,0.12647273748886523,0.04613146004062102,0.12770888917722822,0.5098315789473684
1572,2-sine-short-5-anomalies-one-channel,multi_subsequence_lof,0,0.14357139402733538,0.18666666666666668,0.23742588401864928,0.13906371283446023,0.16275885619919808,0.79,,0.06708582758320576,0.06666666666666667,0.07615125919531433,0.06464536063193983,0.06949357760718627,0.5940842105263158
3801,2-sine-short-5-anomalies-one-channel,normalizing_flows,0,0.05171402991154723,0.0,0.037878690338048804,0.05043864644227529,0.04627245079786862,0.5476842105263158,,0.11550514755935257,0.10666666666666667,0.19174471974160454,0.11014096378590771,0.13487072777095968,0.5945894736842106
4806,2-sine-short-5-anomalies-one-channel,omni,0,0.05457842136417506,0.0547945205479452,0.11868839710950851,0.05164925516358858,0.1372813880443573,0.5006659267480578,,0.07583386341930039,0.0547945205479452,0.1167660653591156,0.0737198564404611,0.13722793757915497,0.6841065482796893
383,2-sine-short-5-anomalies-one-channel,pca,0,0.6641269841269841,0.569620253164557,0.7291666666666665,0.6878127798127798,0.7009259259259258,0.9795157894736842,,0.6946228956228957,0.6329113924050632,0.6966018518518517,0.7102331649831649,0.6855185185185185,0.9827368421052632
3331,2-sine-short-5-anomalies-one-channel,pcc,0,0.031169813385782764,0.0,0.08803694965532047,0.030356738657883235,0.1220107070427577,0.23807368421052638,,0.02895091557808386,0.0,0.030976557420161144,0.02826883596809577,0.04952599221765207,0.18287368421052635
1868,2-sine-short-5-anomalies-one-channel,random_black_forest,0,0.8407213426203491,0.6266666666666667,0.8677222391456202,0.8378967467675303,0.7874957939910296,0.9766736842105264,,0.638231368848983,0.5466666666666666,0.34693160857467753,0.6266088446279392,0.4501749902945014,0.9217052631578948
941,2-sine-short-5-anomalies-one-channel,robust_pca,0,0.043876854617007466,0.0,0.1463320734290133,0.042747357735162,0.17335594237195706,0.46223157894736844,,0.04846312702003668,0.0,0.12626104112372752,0.04734778950744857,0.15968073877339473,0.5257052631578948
257,2-sine-short-5-anomalies-one-channel,subsequence_knn,0,0.06134564542466347,0.0,0.08780995907574783,0.0599854079482066,0.1175974456416196,0.6275052631578947,,0.08102825442636691,0.13333333333333333,0.05608436890716576,0.07723227990298608,0.06384882448575045,0.6298421052631579
3936,2-sine-short-5-anomalies-one-channel,tanogan,0,0.05,0.09523809523809523,0.025,0.025,0.025,0.49105263157894735,,0.05,0.09523809523809523,0.025,0.025,0.025,0.49105263157894735
4395,2-sine-short-5-anomalies-one-channel,telemanom,0,0.07406614164800751,0.08,0.08710585796867557,0.07194343939069536,0.09604203324514085,0.6803578947368422,,0.044033428070160543,0.0,0.06273666378521908,0.0430201753188351,0.07359712914345316,0.4730526315789474
3484,2-sine-short-5-anomalies-one-channel,usad,0,0.1921578139748984,0.2058823529411765,0.2075428068637848,0.1884651843717414,0.25521084666252136,0.7004152510381276,0.491641640663147,0.07545805093097405,0.0,0.09251902997493744,0.07465805318133303,0.12136230617761612,0.338564417839616
