index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
755,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,autoencoder,0,0.004032258064516129,0.001366120218579235,0.0020161290322580645,0.001366120218579235,0.7752502274795269,,-0.0,,0.5,,
2697,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,cof,0,0.009615384615384616,0.005208333333333333,0.004807692307692308,0.005208333333333333,0.9062784349408554,,-0.0,,0.5,,
4706,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,copod,0,0.0017605633802816902,0.00048355899419729207,0.0008802816901408451,0.00048355899419729207,0.4840764331210191,,-0.0,,0.5,,
4449,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,dae,0,0.003484320557491289,0.001388888888888889,0.0017421602787456446,0.001388888888888889,0.7397634212920837,,-0.0,,0.5,,
3508,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,damp,0,0.0018248175182481751,0.0009615384615384616,0.0009124087591240876,0.0009615384615384616,0.5022747952684259,,-0.0,,0.5,,
3301,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,deepant,0,0.010309278350515464,0.001388888888888889,0.005154639175257732,0.001388888888888889,0.9126478616924477,,-0.0,,0.5,,
2371,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,deepnap,0,0.01,0.0048543689320388345,0.005,0.0048543689320388345,0.9099181073703366,,-0.0,,0.5,,
1115,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,encdec_ad,0,0.0010626992561105207,0.0005235602094240838,0.0005313496280552603,0.0005235602094240838,0.14467697907188348,,-0.0,,0.5,,
691,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,fast_mcd,0,0.0031746031746031746,0.0004091653027823241,0.0015873015873015873,0.0004091653027823241,0.7142857142857143,,-0.0,,0.5,,
2988,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,gdn,0,0.006289308176100629,0.016666666666666666,0.0031446540880503146,0.016666666666666666,0.8542435424354243,,-0.0,,0.5,,
1743,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,hbos,0,0.002150537634408602,0.0004911591355599214,0.001075268817204301,0.0004911591355599214,0.6050955414012739,,-0.0,,0.5,,
526,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,health_esn,0,,0.5004545454545455,,0.5004545454545455,,,,0.5,,0.5,
1394,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,hif,0,0.0011363636363636363,0.0009057971014492754,0.0005681818181818182,0.0009057971014492754,0.2001819836214741,,-0.0,,0.5,,
47,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,hybrid_knn,0,0.0014925373134328358,0.0007102272727272727,0.0007462686567164179,0.0007102272727272727,0.3921747042766151,,-0.0,,0.5,,
3930,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,if_lof,0,0.045454545454545456,0.017857142857142856,0.022727272727272728,0.017857142857142856,0.9808917197452229,,-0.0,,0.5,,
2745,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,iforest,0,0.002793296089385475,0.003623188405797101,0.0013966480446927375,0.003623188405797101,0.6751592356687899,,-0.0,,0.5,,
4914,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,kmeans,0,0.001184834123222749,0.005681818181818182,0.0005924170616113745,0.005681818181818182,0.23293903548680617,,-0.0,,0.5,,
1221,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,knn,0,0.0010330578512396695,0.003333333333333333,0.0005165289256198347,0.003333333333333333,0.12010919017288446,,-0.0,,0.5,,
3190,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,laser_dbn,0,,0.5004545454545455,,0.5004545454545455,,,,0.5,,0.5,
4245,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,lstm-vae,0,0.003430333538582279,,0.45013621940087006,,,,-0.0,,0.5,,
2555,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,lstm_ad,0,0.001053740779768177,0.023809523809523808,0.0005268703898840885,0.023809523809523808,0.13739763421292084,,-0.0,,0.5,,
1452,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,mscred,0,0.010752688172043012,0.05,0.005376344086021506,0.05,0.9576888080072793,,-0.0,,0.5,,
2180,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,mstamp,0,0.0017241379310344827,0.000625,0.0008620689655172414,0.000625,0.4731574158325751,,-0.0,,0.5,,
2897,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,multi_hmm,0,0.003484320557491289,0.0015290519877675841,0.0017421602787456446,0.0015290519877675841,0.7402183803457689,,-0.0,,0.5,,
3975,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,normalizing_flows,0,,0.5004545454545455,,0.5004545454545455,,,,0.5,,0.5,
1655,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,omnianomaly,0,0.0012062726176115801,0.02500000037252903,0.0006031363088057901,0.02500000037252903,0.17200000000000004,,-0.0,,0.5,,
323,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,pca,0,0.0026246719160104987,,0.0013123359580052493,,0.6583257506824385,,,,,,
3665,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,pcc,0,0.0022371364653243847,0.0004409171075837742,0.0011185682326621924,0.0004409171075837742,0.5941765241128298,,-0.0,,0.5,,
2027,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,random_black_forest,0,,0.5004545454545455,,0.5004545454545455,,,,0.5,,0.5,
922,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,robust_pca,0,0.008264462809917356,0.0038461538461538464,0.004132231404958678,0.0038461538461538464,0.8908098271155596,,-0.0,,0.5,,
273,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,subsequence_knn,0,0.009900990099009901,0.0009900990099009901,0.0049504950495049506,0.0009900990099009901,0.9090081892629662,,-0.0,,0.5,,
4129,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,tanogan,0,0.0009090909090909091,0.00045454545454545455,0.00045454545454545455,0.00045454545454545455,0.48453139217470426,,-0.0,,0.5,,
4559,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,telemanom,0,0.01,0.004545454545454545,0.005,0.004545454545454545,0.9099181073703367,,-0.0,,0.5,,
1983,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,torsk,0,,0.5004545454545455,,0.5004545454545455,,,,0.5,,0.5,
3697,2-std_cut_increasing-stdRatio_1-stdPast_70-no-anomaly,usad,0,0.037255595806471725,0.09398148208856583,0.03433105799076333,0.12129630148410797,0.8505266418835192,0.30940690636634827,-0.0,,0.5,,
