index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
849,2-std_cut_increasing-stdRatio_1-stdPast_70,autoencoder,0,0.008695652173913044,0.0038461538461538464,0.004347826086956522,0.0038461538461538464,0.8962693357597816,,0.005376344086021506,0.0026041666666666665,0.002688172043010753,0.0026041666666666665,0.8316651501364877
2674,2-std_cut_increasing-stdRatio_1-stdPast_70,cof,0,0.009615384615384616,0.005208333333333333,0.004807692307692308,0.005208333333333333,0.9062784349408554,,0.0026246719160104987,0.008771929824561403,0.0013123359580052493,0.008771929824561403,0.6542311191992721
4766,2-std_cut_increasing-stdRatio_1-stdPast_70,copod,0,0.0017605633802816902,0.00048355899419729207,0.0008802816901408451,0.00048355899419729207,0.4840764331210191,,0.002638522427440633,0.005555555555555556,0.0013192612137203166,0.005555555555555556,0.6560509554140127
4461,2-std_cut_increasing-stdRatio_1-stdPast_70,dae,0,0.008695652173913044,0.0038461538461538464,0.004347826086956522,0.0038461538461538464,0.8962693357597816,,0.00510204081632653,0.0030864197530864196,0.002551020408163265,0.0030864197530864196,0.8225659690627843
3390,2-std_cut_increasing-stdRatio_1-stdPast_70,damp,0,0.0018248175182481751,0.0009615384615384616,0.0009124087591240876,0.0009615384615384616,0.5022747952684259,,0.003115264797507788,0.0008503401360544217,0.001557632398753894,0.0008503401360544217,0.7088262056414923
3281,2-std_cut_increasing-stdRatio_1-stdPast_70,deepant,0,0.010309278350515464,0.0023584905660377358,0.005154639175257732,0.0023584905660377358,0.9126478616924477,,0.014285714285714285,0.007936507936507936,0.007142857142857143,0.007936507936507936,0.9372156505914467
2395,2-std_cut_increasing-stdRatio_1-stdPast_70,deepnap,0,0.01,0.0048543689320388345,0.005,0.0048543689320388345,0.9099181073703366,,0.01,0.0048543689320388345,0.005,0.0048543689320388345,0.9099181073703366
1027,2-std_cut_increasing-stdRatio_1-stdPast_70,encdec_ad,0,0.0010362694300518134,0.00026455026455026457,0.0005181347150259067,0.00026455026455026457,0.12283894449499544,,0.0010626992561105207,0.0005235602094240838,0.0005313496280552603,0.0005235602094240838,0.14467697907188348
618,2-std_cut_increasing-stdRatio_1-stdPast_70,fast_mcd,0,0.002304147465437788,0.0023923444976076554,0.001152073732718894,0.0023923444976076554,0.6060054595086443,,0.003048780487804878,0.004166666666666667,0.001524390243902439,0.004166666666666667,0.7024567788899
3009,2-std_cut_increasing-stdRatio_1-stdPast_70,gdn,0,0.00641025641025641,0.0625,0.003205128205128205,0.0625,0.8570110701107011,,-0.0,,0.5,,
1776,2-std_cut_increasing-stdRatio_1-stdPast_70,hbos,0,0.002150537634408602,0.0004911591355599214,0.001075268817204301,0.0004911591355599214,0.6050955414012739,,0.0022522522522522522,0.0005296610169491525,0.0011261261261261261,0.0005296610169491525,0.6551410373066424
513,2-std_cut_increasing-stdRatio_1-stdPast_70,health_esn,0,,0.5004545454545455,,0.5004545454545455,,,,0.5004545454545455,,0.5004545454545455,
1301,2-std_cut_increasing-stdRatio_1-stdPast_70,hif,0,0.0023752969121140144,0.0007936507936507937,0.0011876484560570072,0.0007936507936507937,0.6178343949044586,,0.0019723865877712033,0.0024390243902439024,0.0009861932938856016,0.0024390243902439024,0.5395814376706096
25,2-std_cut_increasing-stdRatio_1-stdPast_70,hybrid_knn,0,0.0009541984732824427,0.0002527805864509606,0.00047709923664122136,0.0002527805864509606,0.04868061874431301,,0.0009293680297397769,0.0024752475247524753,0.00046468401486988845,0.0024752475247524753,0.021838034576888044
3873,2-std_cut_increasing-stdRatio_1-stdPast_70,if_lof,0,0.045454545454545456,0.017857142857142856,0.022727272727272728,0.017857142857142856,0.9808917197452229,,0.0009090909090909091,0.00045454545454545455,0.00045454545454545455,0.00045454545454545455,0.3057324840764331
2777,2-std_cut_increasing-stdRatio_1-stdPast_70,iforest,0,0.002793296089385475,0.003623188405797101,0.0013966480446927375,0.003623188405797101,0.6751592356687899,,0.002364066193853428,0.004347826086956522,0.001182033096926714,0.004347826086956522,0.616014558689718
4838,2-std_cut_increasing-stdRatio_1-stdPast_70,kmeans,0,0.001184834123222749,0.005681818181818182,0.0005924170616113745,0.005681818181818182,0.23293903548680617,,0.001199040767386091,0.022727272727272728,0.0005995203836930455,0.022727272727272728,0.2420382165605095
1187,2-std_cut_increasing-stdRatio_1-stdPast_70,knn,0,0.0010330578512396695,0.003333333333333333,0.0005165289256198347,0.003333333333333333,0.12010919017288446,,0.0009569377990430622,0.0022123893805309734,0.0004784688995215311,0.0022123893805309734,0.05004549590536855
3153,2-std_cut_increasing-stdRatio_1-stdPast_70,laser_dbn,0,,0.5004545454545455,,0.5004545454545455,,,,0.5004545454545455,,0.5004545454545455,
4338,2-std_cut_increasing-stdRatio_1-stdPast_70,lstm-vae,0,0.00275282708735609,,0.4492711503857832,,,,0.003536899695061276,,0.4496631866896357,,
2449,2-std_cut_increasing-stdRatio_1-stdPast_70,lstm_ad,0,0.001053740779768177,0.023809523809523808,0.0005268703898840885,0.023809523809523808,0.13739763421292084,,0.0010526315789473684,0.027777777777777776,0.0005263157894736842,0.027777777777777776,0.13648771610555055
1437,2-std_cut_increasing-stdRatio_1-stdPast_70,mscred,0,0.010101010101010102,0.0625,0.005050505050505051,0.0625,0.9526842584167424,,0.14285714285714285,0.625,0.5714285714285714,0.625,0.9972702456778889
2174,2-std_cut_increasing-stdRatio_1-stdPast_70,mstamp,0,0.0017241379310344827,0.000625,0.0008620689655172414,0.000625,0.4731574158325751,,0.013157894736842105,0.0025252525252525255,0.006578947368421052,0.0025252525252525255,0.9317561419472248
2925,2-std_cut_increasing-stdRatio_1-stdPast_70,multi_hmm,0,0.001388888888888889,0.0005422993492407809,0.0006944444444444445,0.0005422993492407809,0.34849863512283896,,0.003367003367003367,0.0040650406504065045,0.0016835016835016834,0.0040650406504065045,0.7324840764331211
3992,2-std_cut_increasing-stdRatio_1-stdPast_70,normalizing_flows,0,,0.5004545454545455,,0.5004545454545455,,,,0.5004545454545455,,0.5004545454545455,
1685,2-std_cut_increasing-stdRatio_1-stdPast_70,omnianomaly,0,0.001128668171557562,0.0357142873108387,0.000564334085778781,0.0357142873108387,0.11499999999999999,,0.0011312217194570137,0.02380952425301075,0.0005656108597285068,0.02380952425301075,0.11699999999999999
333,2-std_cut_increasing-stdRatio_1-stdPast_70,pca,0,0.0026246719160104987,,0.0013123359580052493,,0.6583257506824385,,0.0011890606420927466,,0.0005945303210463733,,0.23976342129208367
3587,2-std_cut_increasing-stdRatio_1-stdPast_70,pcc,0,0.0022371364653243847,0.0004409171075837742,0.0011185682326621924,0.0004409171075837742,0.5941765241128298,,0.0035211267605633804,0.006666666666666667,0.0017605633802816902,0.006666666666666667,0.7424931756141947
2011,2-std_cut_increasing-stdRatio_1-stdPast_70,random_black_forest,0,,0.5004545454545455,,0.5004545454545455,,,,0.5004545454545455,,0.5004545454545455,
961,2-std_cut_increasing-stdRatio_1-stdPast_70,robust_pca,0,0.008333333333333333,0.0038461538461538464,0.004166666666666667,0.0038461538461538464,0.89171974522293,,0.008333333333333333,0.0038461538461538464,0.004166666666666667,0.0038461538461538464,0.89171974522293
211,2-std_cut_increasing-stdRatio_1-stdPast_70,subsequence_knn,0,0.009900990099009901,0.0009900990099009901,0.0049504950495049506,0.0009900990099009901,0.9090081892629662,,0.007575757575757576,0.0025,0.003787878787878788,0.0025,0.8808007279344858
4094,2-std_cut_increasing-stdRatio_1-stdPast_70,tanogan,0,0.0009090909090909091,0.00045454545454545455,0.00045454545454545455,0.00045454545454545455,0.48453139217470426,,0.0009090909090909091,0.00045454545454545455,0.00045454545454545455,0.00045454545454545455,0.48453139217470426
4557,2-std_cut_increasing-stdRatio_1-stdPast_70,telemanom,0,0.01,0.004545454545454545,0.005,0.004545454545454545,0.9099181073703367,,0.01,0.004545454545454545,0.005,0.004545454545454545,0.9099181073703367
1876,2-std_cut_increasing-stdRatio_1-stdPast_70,torsk,0,,0.5004545454545455,,0.5004545454545455,,,,0.5004545454545455,,0.5004545454545455,
3701,2-std_cut_increasing-stdRatio_1-stdPast_70,usad,0,0.056641298160854565,0.07703080773353577,0.051958344580513405,0.09156161546707153,0.9069083023543991,0.5035327076911926,0.049772895823642596,0.02777777798473835,0.04603058338060634,0.02777777798473835,0.8868494423791821
