index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
787,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,autoencoder,0,0.007142857142857143,0.0,0.0028735632183908046,0.0035714285714285713,0.0028735632183908046,0.8735213830755232,,-0.0,0.0,,0.5,,
4909,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,cblof,0,0.008695652173913044,0.0,0.011904761904761904,0.004347826086956522,0.011904761904761904,0.8962693357597816,,-0.0,0.0,,0.5,,
2447,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,cof,0,0.00129366106080207,0.0,0.007936507936507936,0.000646830530401035,0.007936507936507936,0.2975432211101001,,-0.0,0.0,,0.5,,
4466,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,copod,0,0.0015151515151515152,0.0,0.00046040515653775324,0.0007575757575757576,0.00046040515653775324,0.4003639672429481,,-0.0,0.0,,0.5,,
4165,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,dae,0,0.005263157894736842,0.0,0.0036231884057971015,0.002631578947368421,0.0036231884057971015,0.8280254777070064,,-0.0,0.0,,0.5,,
3244,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,damp,0,0.002967359050445104,0.0,0.0009689922480620155,0.001483679525222552,0.0009689922480620155,0.6942675159235668,,-0.0,0.0,,0.5,,
3009,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,deepant,0,0.0011001100110011,0.0,0.00024826216484607745,0.00055005500550055,0.00024826216484607745,0.17379435850773428,,-0.0,0.0,,0.5,,
2146,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,deepnap,0,0.016129032258064516,0.018018018018018018,0.014705882352941176,0.008064516129032258,0.014705882352941176,0.9444949954504095,,-0.0,0.0,,0.5,,
1140,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,encdec_ad,0,0.001002004008016032,0.0,0.0002620545073375262,0.000501002004008016,0.0002620545073375262,0.09281164695177435,,-0.0,0.0,,0.5,,
709,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,fast_mcd,0,0.0013966480446927375,0.0,0.0005980861244019139,0.0006983240223463687,0.0005980861244019139,0.34940855323020925,,-0.0,0.0,,0.5,,
2704,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,gdn,0,0.004545454545454545,0.0,0.003472222222222222,0.0022727272727272726,0.003472222222222222,0.7979704797047971,,-0.0,0.0,,0.5,,
1606,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,hbos,0,0.001610305958132045,0.0,0.010869565217391304,0.0008051529790660225,0.010869565217391304,0.46496815286624205,,-0.0,0.0,,0.5,,
510,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,health_esn,0,0.0038314176245210726,0.0,0.05555555555555555,0.0019157088122605363,0.05555555555555555,0.7634212920837125,,-0.0,0.0,,0.5,,
1418,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,hif,0,0.0013192612137203166,0.0,0.0006265664160401002,0.0006596306068601583,0.0006265664160401002,0.3111919927206551,,-0.0,0.0,,0.5,,
59,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,hybrid_knn,0,0.005649717514124294,0.0,0.00980392156862745,0.002824858757062147,0.00980392156862745,0.840764331210191,,-0.0,0.0,,0.5,,
3691,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,if_lof,0,0.015384615384615385,0.018018018018018018,0.125,0.007692307692307693,0.125,0.9417652411282984,,-0.0,0.0,,0.5,,
2548,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,iforest,0,0.002785515320334262,0.0,0.0008064516129032258,0.001392757660167131,0.0008064516129032258,0.6742493175614195,,-0.0,0.0,,0.5,,
4638,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,kmeans,0,1.0,0.018018018018018018,1.0,1.0,1.0,1.0,,-0.0,0.0,,0.5,,
1253,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,knn,0,0.001002004008016032,0.0,0.05555555555555555,0.000501002004008016,0.05555555555555555,0.09281164695177435,,-0.0,0.0,,0.5,,
2915,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,laser_dbn,0,,0.0,0.5004545454545455,,0.5004545454545455,,,-0.0,0.0,,0.5,,
4015,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,lstm-vae,0,,0.0,0.5004545454545455,,0.5004545454545455,,,,0.0,0.5,,0.5,
2305,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,lstm_ad,0,0.001081081081081081,0.0,0.0005376344086021505,0.0005405405405405405,0.0005376344086021505,0.15923566878980888,,-0.0,0.0,,0.5,,
1977,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,mstamp,0,0.004016064257028112,0.0,0.0006587615283267456,0.002008032128514056,0.0006587615283267456,0.7743403093721565,,-0.0,0.0,,0.5,,
1489,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,multi_subsequence_lof,0,0.002702702702702703,0.0,0.001,0.0013513513513513514,0.001,0.6642402183803457,,-0.0,0.0,,0.5,,
3717,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,normalizing_flows,0,,0.0,0.5004545454545455,,0.5004545454545455,,,,0.0,0.5,,0.5,
4733,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,omni,0,0.0011013215859030838,0.0,0.02500000037252903,0.0005506607929515419,0.02500000037252903,0.1361904761904762,,-0.0,0.0,,0.5,,
336,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,pca,0,0.002320185614849188,0.0,,0.001160092807424594,,0.6128298453139218,,,,,,,
3385,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,pcc,0,0.001968503937007874,0.0,0.0004734848484848485,0.000984251968503937,0.0004734848484848485,0.5386715195632393,,-0.0,0.0,,0.5,,
1860,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,random_black_forest,0,0.06666666666666667,0.018018018018018018,0.029411764705882353,0.03333333333333333,0.029411764705882353,0.9872611464968153,,-0.0,0.0,,0.5,,
910,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,robust_pca,0,0.006802721088435374,0.0,0.003289473684210526,0.003401360544217687,0.003289473684210526,0.8671519563239308,,-0.0,0.0,,0.5,,
249,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,subsequence_knn,0,0.0022026431718061676,0.0,0.0014285714285714286,0.0011013215859030838,0.0014285714285714286,0.5878070973612375,,-0.0,0.0,,0.5,,
3896,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,tanogan,0,0.0009090909090909091,0.0018165304268846503,0.00045454545454545455,0.00045454545454545455,0.00045454545454545455,0.4913557779799818,,-0.0,0.0,,0.5,,
4324,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,telemanom,0,0.01,0.018018018018018018,0.004629629629629629,0.005,0.004629629629629629,0.9099181073703366,,-0.0,0.0,,0.5,,
1795,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,torsk,0,0.0009090909090909091,0.0018165304268846503,0.5004545454545455,0.5004545454545455,0.5004545454545455,0.5,,-0.0,0.0,0.5,0.5,0.5,
3425,2-std_cut_increasing-stdRatio_2-stdPast_70-no-anomaly,usad,0,0.03914783616567651,0.01652892561983471,0.028174113482236862,0.03588231694639388,0.04841172322630882,0.8623760842627014,0.36568760871887207,-0.0,0.0,,0.5,,
