index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
845,2-std_cut_increasing-stdRatio_3-stdPast_40,autoencoder,0,0.0058823529411764705,0.0,0.045454545454545456,0.0029411764705882353,0.045454545454545456,0.8462238398544131,,0.008264462809917356,0.0,0.0625,0.004132231404958678,0.0625,0.8908098271155596
4888,2-std_cut_increasing-stdRatio_3-stdPast_40,cblof,0,0.0013623978201634877,0.0,0.0013020833333333333,0.0006811989100817438,0.0013020833333333333,0.3330300272975433,,0.0033222591362126247,0.0,0.002777777777777778,0.0016611295681063123,0.002777777777777778,0.727024567788899
2449,2-std_cut_increasing-stdRatio_3-stdPast_40,cof,0,0.0009242144177449168,0.0,0.00025614754098360657,0.0004621072088724584,0.00025614754098360657,0.016378525932666088,,0.0034129692832764505,0.0,0.008333333333333333,0.0017064846416382253,0.008333333333333333,0.7343039126478617
4526,2-std_cut_increasing-stdRatio_3-stdPast_40,copod,0,0.001392757660167131,0.0,0.00046728971962616824,0.0006963788300835655,0.00046728971962616824,0.34758871701546856,,0.0017331022530329288,0.0,0.0008361204013377926,0.0008665511265164644,0.0008361204013377926,0.47588717015468607
4199,2-std_cut_increasing-stdRatio_3-stdPast_40,dae,0,0.004784688995215311,0.0,0.038461538461538464,0.0023923444976076554,0.038461538461538464,0.81073703366697,,0.0078125,0.0,0.05555555555555555,0.00390625,0.05555555555555555,0.8844404003639672
3135,2-std_cut_increasing-stdRatio_3-stdPast_40,damp,0,0.0051813471502590676,0.0,0.013888888888888888,0.0025906735751295338,0.013888888888888888,0.8252957233848953,,0.0021929824561403508,0.0,0.0006963788300835655,0.0010964912280701754,0.0006963788300835655,0.5859872611464968
3025,2-std_cut_increasing-stdRatio_3-stdPast_40,deepant,0,0.0011890606420927466,0.0,0.00041186161449752884,0.0005945303210463733,0.00041186161449752884,0.23566878980891715,,0.0018148820326678765,0.0,0.011904761904761904,0.0009074410163339383,0.011904761904761904,0.4995450409463148
2197,2-std_cut_increasing-stdRatio_3-stdPast_40,deepnap,0,0.013888888888888888,0.018018018018018018,0.025,0.006944444444444444,0.025,0.935395814376706,,0.015873015873015872,0.018018018018018018,0.017857142857142856,0.007936507936507936,0.017857142857142856,0.9435850773430391
1038,2-std_cut_increasing-stdRatio_3-stdPast_40,encdec_ad,0,0.0009699321047526673,0.0,0.00026455026455026457,0.00048496605237633366,0.00026455026455026457,0.06278434940855326,,0.001006036217303823,0.0,0.016666666666666666,0.0005030181086519115,0.016666666666666666,0.09645131938125573
618,2-std_cut_increasing-stdRatio_3-stdPast_40,fast_mcd,0,0.00273224043715847,0.0,0.02631578947368421,0.001366120218579235,0.02631578947368421,0.6678798908098271,,0.004629629629629629,0.0,0.05555555555555555,0.0023148148148148147,0.05555555555555555,0.8043676069153777
2742,2-std_cut_increasing-stdRatio_3-stdPast_40,gdn,0,0.00625,0.0,0.0030864197530864196,0.003125,0.0030864197530864196,0.853321033210332,,-0.0,0.0,,0.5,,
1659,2-std_cut_increasing-stdRatio_3-stdPast_40,hbos,0,0.0009090909090909091,0.0,0.00045454545454545455,0.00045454545454545455,0.00045454545454545455,0.025022747952684277,,0.001639344262295082,0.0,0.027777777777777776,0.000819672131147541,0.027777777777777776,0.4499545040946315
504,2-std_cut_increasing-stdRatio_3-stdPast_40,health_esn,0,0.004901960784313725,0.0,0.08333333333333333,0.0024509803921568627,0.08333333333333333,0.8152866242038217,,1.0,0.018018018018018018,1.0,1.0,1.0,1.0
1328,2-std_cut_increasing-stdRatio_3-stdPast_40,hif,0,0.0012062726176115801,0.0,0.0005411255411255411,0.0006031363088057901,0.0005411255411255411,0.24658780709736128,,0.003875968992248062,0.0,0.041666666666666664,0.001937984496124031,0.041666666666666664,0.7661510464058235
25,2-std_cut_increasing-stdRatio_3-stdPast_40,hybrid_knn,0,0.005988023952095809,0.0,0.0024271844660194173,0.0029940119760479044,0.0024271844660194173,0.8521383075523202,,0.0078125,0.0,0.012820512820512822,0.00390625,0.012820512820512822,0.8844404003639672
3619,2-std_cut_increasing-stdRatio_3-stdPast_40,if_lof,0,0.0009090909090909091,0.0,0.00045454545454545455,0.00045454545454545455,0.00045454545454545455,0.3016378525932666,,0.010869565217391304,0.018018018018018018,0.0625,0.005434782608695652,0.0625,0.9171974522292994
2556,2-std_cut_increasing-stdRatio_3-stdPast_40,iforest,0,0.001277139208173691,0.0,0.0007142857142857143,0.0006385696040868455,0.0007142857142857143,0.2884440400363967,,0.003861003861003861,0.0,0.038461538461538464,0.0019305019305019305,0.038461538461538464,0.7652411282984531
4576,2-std_cut_increasing-stdRatio_3-stdPast_40,kmeans,0,0.125,0.018018018018018018,0.015151515151515152,0.0625,0.015151515151515152,0.9936305732484076,,1.0,0.018018018018018018,1.0,1.0,1.0,1.0
1217,2-std_cut_increasing-stdRatio_3-stdPast_40,knn,0,0.0009569377990430622,0.0,0.011904761904761904,0.0004784688995215311,0.011904761904761904,0.05004549590536855,,0.0009784735812133072,0.0,0.03125,0.0004892367906066536,0.03125,0.07097361237488631
2879,2-std_cut_increasing-stdRatio_3-stdPast_40,laser_dbn,0,,0.0,0.5004545454545455,,0.5004545454545455,,,0.004347826086956522,0.0,0.025,0.002173913043478261,0.025,0.8016378525932666
4067,2-std_cut_increasing-stdRatio_3-stdPast_40,lstm-vae,0,,0.0,0.5004545454545455,,0.5004545454545455,,,,0.0,0.5004545454545455,,0.5004545454545455,
2223,2-std_cut_increasing-stdRatio_3-stdPast_40,lstm_ad,0,0.001072961373390558,0.0,0.0002756339581036384,0.000536480686695279,0.0002756339581036384,0.15286624203821653,,0.0010604453870625664,0.0,0.0002723311546840959,0.0005302226935312832,0.0002723311546840959,0.1428571428571429
1971,2-std_cut_increasing-stdRatio_3-stdPast_40,mstamp,0,0.002506265664160401,0.0,0.00089126559714795,0.0012531328320802004,0.00089126559714795,0.637852593266606,,0.008928571428571428,0.0,0.05,0.004464285714285714,0.05,0.8989990900818926
1467,2-std_cut_increasing-stdRatio_3-stdPast_40,multi_subsequence_lof,0,0.0010799136069114472,0.0,0.0002615062761506276,0.0005399568034557236,0.0002615062761506276,0.1583257506824386,,0.0047169811320754715,0.0,0.00101010101010101,0.0023584905660377358,0.00101010101010101,0.8080072793448589
3731,2-std_cut_increasing-stdRatio_3-stdPast_40,normalizing_flows,0,,0.0,0.5004545454545455,,0.5004545454545455,,,,0.0,0.5004545454545455,,0.5004545454545455,
4829,2-std_cut_increasing-stdRatio_3-stdPast_40,omni,0,0.0013333333333333333,0.0,0.02380952425301075,0.0006666666666666666,0.02380952425301075,0.2866666666666666,,0.0012903225806451613,0.0,0.0833333358168602,0.0006451612903225806,0.0833333358168602,0.2628571428571429
