index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
788,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,autoencoder,0,0.0009737098344693282,0.0008992805755395684,0.0004868549172346641,0.0008992805755395684,0.06642402183803453,,-0.0,,0.5,,
4986,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,cblof,0,0.0014858841010401188,0.0006983240223463687,0.0007429420505200594,0.0006983240223463687,0.3885350318471338,,-0.0,,0.5,,
2631,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,cof,0,0.0017921146953405018,0.0005924170616113745,0.0008960573476702509,0.0005924170616113745,0.49317561419472244,,-0.0,,0.5,,
4790,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,copod,0,0.0015527950310559005,0.0007763975155279503,0.0007763975155279503,0.0007763975155279503,0.4149226569608735,,-0.0,,0.5,,
4418,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,dae,0,0.001277139208173691,0.0005747126436781609,0.0006385696040868455,0.0005747126436781609,0.2884440400363967,,-0.0,,0.5,,
3488,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,damp,0,0.008403361344537815,0.005208333333333333,0.004201680672268907,0.005208333333333333,0.8926296633303002,,-0.0,,0.5,,
3363,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,deepant,0,0.0031746031746031746,0.006666666666666667,0.0015873015873015873,0.006666666666666667,0.7142857142857143,,-0.0,,0.5,,
2332,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,deepnap,0,0.16666666666666666,0.020833333333333332,0.08333333333333333,0.020833333333333332,0.9954504094631482,,-0.0,,0.5,,
1025,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,encdec_ad,0,0.0009718172983479105,0.002380952380952381,0.00048590864917395527,0.002380952380952381,0.06460418562329395,,-0.0,,0.5,,
634,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,fast_mcd,0,0.0010438413361169101,0.005952380952380952,0.0005219206680584551,0.005952380952380952,0.1292083712465878,,-0.0,,0.5,,
3087,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,gdn,0,0.006211180124223602,0.017241379310344827,0.003105590062111801,0.017241379310344827,0.8523985239852399,,-0.0,,0.5,,
1752,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,hbos,0,0.0017513134851138354,0.00015318627450980392,0.0008756567425569177,0.00015318627450980392,0.5445859872611465,,-0.0,,0.5,,
528,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,health_esn,0,,0.5004545454545455,,0.5004545454545455,,,,0.5,,0.5,
1325,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,hif,0,0.001226993865030675,0.0020833333333333333,0.0006134969325153375,0.0020833333333333333,0.259326660600546,,-0.0,,0.5,,
127,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,hybrid_knn,0,0.000980392156862745,0.0011737089201877935,0.0004901960784313725,0.0011737089201877935,0.07279344858962689,,-0.0,,0.5,,
3886,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,if_lof,0,0.0009090909090909091,0.00045454545454545455,0.00045454545454545455,0.00045454545454545455,0.4140127388535032,,-0.0,,0.5,,
2717,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,iforest,0,0.0021645021645021645,0.0016025641025641025,0.0010822510822510823,0.0016025641025641025,0.5805277525022748,,-0.0,,0.5,,
4868,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,kmeans,0,0.001953125,0.0010330578512396695,0.0009765625,0.0010330578512396695,0.535031847133758,,-0.0,,0.5,,
1251,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,knn,0,0.002242152466367713,0.0018726591760299624,0.0011210762331838565,0.0018726591760299624,0.5950864422202002,,-0.0,,0.5,,
3218,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,laser_dbn,0,,0.5004545454545455,,0.5004545454545455,,,,0.5,,0.5,
4310,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,lstm-vae,0,0.004181641042160179,,0.4499855573631854,,,,-0.0,,0.5,,
2545,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,lstm_ad,0,0.0020491803278688526,0.0019230769230769232,0.0010245901639344263,0.0019230769230769232,0.5568698817106461,,-0.0,,0.5,,
1528,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,mscred,0,0.01,0.005,0.005,0.005,0.9117379435850773,,-0.0,,0.5,,
2227,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,mstamp,0,0.0018214936247723133,0.0020242914979757085,0.0009107468123861566,0.0020242914979757085,0.5013648771610555,,-0.0,,0.5,,
2895,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,multi_hmm,0,0.0009285051067780873,0.0002281021897810219,0.00046425255338904364,0.0002281021897810219,0.020928116469517755,,-0.0,,0.5,,
4000,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,normalizing_flows,0,,0.5004545454545455,,0.5004545454545455,,,,0.5,,0.5,
1567,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,omnianomaly,0,0.0036101083032490976,0.005376344081014395,0.0018050541516245488,0.005376344081014395,0.724,,-0.0,,0.5,,
322,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,pca,0,0.001564945226917058,,0.000782472613458529,,0.4235668789808917,,,,,,
3574,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,pcc,0,0.002583979328165375,0.00026232948583420777,0.0012919896640826874,0.00026232948583420777,0.6487716105550501,,-0.0,,0.5,,
2092,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,random_black_forest,0,,0.5004545454545455,,0.5004545454545455,,,,0.5,,0.5,
938,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,robust_pca,0,0.008264462809917356,0.0010416666666666667,0.004132231404958678,0.0010416666666666667,0.8908098271155596,,-0.0,,0.5,,
239,2-std_cut_increasing_continue-stdRatio_1-stdPast_50-no-anomaly,subsequence_knn,0,0.0028169014084507044,0.002747252747252747,0.0014084507042253522,0.002747252747252747,0.6778889899909009,,-0.0,,0.5,,
