index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
763,2-std_cut_increasing_continue-stdRatio_1-stdPast_50,autoencoder,0,0.001075268817204301,0.0009615384615384616,0.0005376344086021505,0.0009615384615384616,0.15468607825295722,,0.0009149130832570906,0.00037993920972644377,0.0004574565416285453,0.00037993920972644377,0.006369426751592355
4969,2-std_cut_increasing_continue-stdRatio_1-stdPast_50,cblof,0,0.0014858841010401188,0.0006983240223463687,0.0007429420505200594,0.0006983240223463687,0.3885350318471338,,0.0010050251256281408,0.0004288164665523156,0.0005025125628140704,0.0004288164665523156,0.09554140127388533
2556,2-std_cut_increasing_continue-stdRatio_1-stdPast_50,cof,0,0.0017921146953405018,0.0005924170616113745,0.0008960573476702509,0.0005924170616113745,0.49317561419472244,,0.001004016064257028,0.0009615384615384616,0.000502008032128514,0.0009615384615384616,0.09463148316651504
4675,2-std_cut_increasing_continue-stdRatio_1-stdPast_50,copod,0,0.0015527950310559005,0.0007763975155279503,0.0007763975155279503,0.0007763975155279503,0.4149226569608735,,0.0010204081632653062,0.0037037037037037034,0.0005102040816326531,0.0037037037037037034,0.10919017288444044
4416,2-std_cut_increasing_continue-stdRatio_1-stdPast_50,dae,0,0.0013003901170351106,0.0010548523206751054,0.0006501950585175553,0.0010548523206751054,0.3011828935395814,,0.0009337068160597573,0.0012437810945273632,0.00046685340802987864,0.0012437810945273632,0.02638762511373971
3448,2-std_cut_increasing_continue-stdRatio_1-stdPast_50,damp,0,0.008403361344537815,0.005208333333333333,0.004201680672268907,0.005208333333333333,0.8926296633303002,,0.0064516129032258064,0.0022222222222222222,0.0032258064516129032,0.0022222222222222222,0.8598726114649682
3362,2-std_cut_increasing_continue-stdRatio_1-stdPast_50,deepant,0,0.004545454545454545,0.0078125,0.0022727272727272726,0.0078125,0.8007279344858963,,0.00145985401459854,0.0004444444444444444,0.00072992700729927,0.0004444444444444444,0.37761601455868976
2399,2-std_cut_increasing_continue-stdRatio_1-stdPast_50,deepnap,0,0.16666666666666666,0.02631578947368421,0.08333333333333333,0.02631578947368421,0.9954504094631483,,0.003048780487804878,0.006493506493506494,0.001524390243902439,0.006493506493506494,0.7024567788898999
1043,2-std_cut_increasing_continue-stdRatio_1-stdPast_50,encdec_ad,0,0.0010570824524312897,0.00026455026455026457,0.0005285412262156448,0.00026455026455026457,0.14012738853503182,,0.0011173184357541898,0.00117096018735363,0.0005586592178770949,0.00117096018735363,0.186533212010919
639,2-std_cut_increasing_continue-stdRatio_1-stdPast_50,fast_mcd,0,0.001088139281828074,0.0026595744680851063,0.000544069640914037,0.0026595744680851063,0.16469517743403095,,0.0010224948875255625,0.005319148936170213,0.0005112474437627812,0.005319148936170213,0.11101000909918113
