index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
804,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,autoencoder,0,0.00546448087431694,0.0,0.01282051282051282,0.00273224043715847,0.01282051282051282,0.8343949044585988,,-0.0,0.0,,0.5,,
4877,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,cblof,0,0.001310615989515072,0.0,0.004166666666666667,0.000655307994757536,0.004166666666666667,0.30664240218380345,,-0.0,0.0,,0.5,,
2422,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,cof,0,0.011494252873563218,0.018018018018018018,0.01,0.005747126436781609,0.01,0.921747042766151,,-0.0,0.0,,0.5,,
4534,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,copod,0,0.016666666666666666,0.018018018018018018,0.022727272727272728,0.008333333333333333,0.022727272727272728,0.9463148316651502,,-0.0,0.0,,0.5,,
4184,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,dae,0,0.0034129692832764505,0.0,0.010416666666666666,0.0017064846416382253,0.010416666666666666,0.7343039126478618,,-0.0,0.0,,0.5,,
3262,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,damp,0,0.0021008403361344537,0.0,0.004132231404958678,0.0010504201680672268,0.004132231404958678,0.56778889899909,,-0.0,0.0,,0.5,,
3104,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,deepant,0,0.0010204081632653062,0.0,0.0011160714285714285,0.0005102040816326531,0.0011160714285714285,0.10919017288444044,,-0.0,0.0,,0.5,,
2112,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,deepnap,0,0.0029498525073746312,0.0,0.001347708894878706,0.0014749262536873156,0.001347708894878706,0.6924476797088261,,-0.0,0.0,,0.5,,
1023,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,encdec_ad,0,0.002840909090909091,0.0,0.001388888888888889,0.0014204545454545455,0.001388888888888889,0.6806187443130118,,-0.0,0.0,,0.5,,
632,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,fast_mcd,0,0.003389830508474576,0.0,0.014705882352941176,0.001694915254237288,0.014705882352941176,0.732484076433121,,-0.0,0.0,,0.5,,
2835,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,gdn,0,0.0021231422505307855,0.0,0.00273224043715847,0.0010615711252653928,0.00273224043715847,0.566420664206642,,-0.0,0.0,,0.5,,
1668,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,hbos,0,0.024390243902439025,0.017094017094017096,0.029411764705882353,0.012195121951219513,0.029411764705882353,0.9658780709736124,,-0.0,0.0,,0.5,,
501,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,health_esn,0,0.007042253521126761,0.0,0.011904761904761904,0.0035211267605633804,0.011904761904761904,0.8717015468607825,,-0.0,0.0,,0.5,,
1358,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,hif,0,0.005208333333333333,0.0,0.015625,0.0026041666666666665,0.015625,0.8262056414922657,,-0.0,0.0,,0.5,,
115,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,hybrid_knn,0,0.002583979328165375,0.0,0.0014619883040935672,0.0012919896640826874,0.0014619883040935672,0.6533212010919017,,-0.0,0.0,,0.5,,
3654,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,if_lof,0,0.017543859649122806,0.018018018018018018,0.017857142857142856,0.008771929824561403,0.017857142857142856,0.9490445859872612,,-0.0,0.0,,0.5,,
2498,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,iforest,0,0.006369426751592357,0.0,0.013157894736842105,0.0031847133757961785,0.013157894736842105,0.8580527752502275,,-0.0,0.0,,0.5,,
4606,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,kmeans,0,0.013888888888888888,0.018018018018018018,0.002777777777777778,0.006944444444444444,0.002777777777777778,0.9353958143767062,,-0.0,0.0,,0.5,,
1297,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,knn,0,0.0023094688221709007,0.0,0.01282051282051282,0.0011547344110854503,0.01282051282051282,0.6069153776160146,,-0.0,0.0,,0.5,,
4078,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,lstm-vae,0,,0.0,0.5004545454545455,,0.5004545454545455,,,,0.0,0.5,,0.5,
2321,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,lstm_ad,0,0.013888888888888888,0.018018018018018018,0.05555555555555555,0.006944444444444444,0.05555555555555555,0.935395814376706,,-0.0,0.0,,0.5,,
2002,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,mstamp,0,0.0019083969465648854,0.0,0.0004562043795620438,0.0009541984732824427,0.0004562043795620438,0.5241128298453139,,-0.0,0.0,,0.5,,
1552,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,multi_subsequence_lof,0,0.002544529262086514,0.0,0.038461538461538464,0.001272264631043257,0.038461538461538464,0.6433121019108281,,-0.0,0.0,,0.5,,
3741,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,normalizing_flows,0,,0.0,0.5004545454545455,,0.5004545454545455,,,,0.0,0.5,,0.5,
4755,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,omni,0,0.0015527950310559005,0.0,0.0009469697251915932,0.0007763975155279503,0.0009469697251915932,0.38761904761904764,,-0.0,0.0,,0.5,,
335,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,pca,0,0.001088139281828074,0.0,,0.000544069640914037,,0.16878980891719747,,,,,,,
3336,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,pcc,0,0.014925373134328358,0.018018018018018018,0.021739130434782608,0.007462686567164179,0.021739130434782608,0.9399454049135578,,-0.0,0.0,,0.5,,
1869,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,random_black_forest,0,1.0,0.018018018018018018,1.0,1.0,1.0,1.0,,-0.0,0.0,,0.5,,
950,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,robust_pca,0,0.002036659877800407,0.0,0.0009578544061302681,0.0010183299389002036,0.0009578544061302681,0.554140127388535,,-0.0,0.0,,0.5,,
210,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,subsequence_knn,0,0.0020920502092050207,0.0,0.010416666666666666,0.0010460251046025104,0.010416666666666666,0.5659690627843494,,-0.0,0.0,,0.5,,
3933,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,tanogan,0,0.0009090909090909091,0.0018165304268846503,0.00045454545454545455,0.00045454545454545455,0.00045454545454545455,0.4913557779799818,,-0.0,0.0,,0.5,,
4288,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,telemanom,0,0.0017035775127768314,0.0,0.0015625,0.0008517887563884157,0.0015625,0.46678798908098273,,-0.0,0.0,,0.5,,
1770,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,torsk,0,0.0009090909090909091,0.0018165304268846503,0.5004545454545455,0.5004545454545455,0.5004545454545455,0.5,,-0.0,0.0,0.5,0.5,0.5,
3469,2-std_cut_increasing_continue-stdRatio_2-stdPast_50-no-anomaly,usad,0,0.007918307429951874,0.0,0.03699665516614914,0.0072836872709512186,0.044058963656425476,0.27245972738537794,0.017551930621266365,-0.0,0.0,,0.5,,
