index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
755,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,autoencoder,0,0.005847953216374269,0.0,0.015625,0.0029239766081871343,0.015625,0.8453139217470428,,0.003484320557491289,0.0,0.006944444444444444,0.0017421602787456446,0.006944444444444444,0.7397634212920837
4882,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,cblof,0,0.001310615989515072,0.0,0.004166666666666667,0.000655307994757536,0.004166666666666667,0.30664240218380345,,0.0010695187165775401,0.0,0.0008865248226950354,0.0005347593582887701,0.0008865248226950354,0.15013648771610555
2391,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,cof,0,0.011494252873563218,0.018018018018018018,0.01,0.005747126436781609,0.01,0.921747042766151,,0.002932551319648094,0.0,0.0005952380952380952,0.001466275659824047,0.0005952380952380952,0.6906278434940855
4442,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,copod,0,0.016666666666666666,0.018018018018018018,0.022727272727272728,0.008333333333333333,0.022727272727272728,0.9463148316651502,,0.0031446540880503146,0.0,0.007575757575757576,0.0015723270440251573,0.007575757575757576,0.7115559599636033
4143,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,dae,0,0.02040816326530612,0.018018018018018018,0.020833333333333332,0.01020408163265306,0.020833333333333332,0.9563239308462238,,0.004784688995215311,0.0,0.006172839506172839,0.0023923444976076554,0.006172839506172839,0.81073703366697
3132,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,damp,0,0.0021008403361344537,0.0,0.004132231404958678,0.0010504201680672268,0.004132231404958678,0.56778889899909,,0.004629629629629629,0.0,0.004166666666666667,0.0023148148148148147,0.004166666666666667,0.8043676069153777
3086,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,deepant,0,0.0010822510822510823,0.0,0.00041050903119868636,0.0005411255411255411,0.00041050903119868636,0.16014558689717928,,0.002380952380952381,0.0,0.006578947368421052,0.0011904761904761906,0.006578947368421052,0.618744313011829
2148,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,deepnap,0,0.0029411764705882353,0.0,0.0011792452830188679,0.0014705882352941176,0.0011792452830188679,0.6915377616014559,,0.002840909090909091,0.0,0.03333333333333333,0.0014204545454545455,0.03333333333333333,0.6806187443130118
1044,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,encdec_ad,0,0.001349527665317139,0.0,0.029411764705882353,0.0006747638326585695,0.029411764705882353,0.3266606005459509,,0.001183431952662722,0.0,0.0011441647597254005,0.000591715976331361,0.0011441647597254005,0.23202911737943588
584,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,fast_mcd,0,0.0040650406504065045,0.0,0.017857142857142856,0.0020325203252032522,0.017857142857142856,0.7770700636942675,,0.002028397565922921,0.0,0.006097560975609756,0.0010141987829614604,0.006097560975609756,0.5523202911737943
2804,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,gdn,0,0.003246753246753247,0.0,0.0028735632183908046,0.0016233766233766235,0.0028735632183908046,0.716789667896679,,-0.0,0.0,,0.5,,
1704,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,hbos,0,0.024390243902439025,0.017094017094017096,0.029411764705882353,0.012195121951219513,0.029411764705882353,0.9658780709736124,,0.0019230769230769232,0.0,0.0017921146953405018,0.0009615384615384616,0.0017921146953405018,0.5450409463148317
503,2-std_cut_increasing_continue-stdRatio_2-stdPast_50,health_esn,0,0.006622516556291391,0.0,0.0125,0.0033112582781456954,0.0125,0.8635122838944495,,1.0,0.018018018018018018,1.0,1.0,1.0,1.0
