index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
781,2-std_cut_wave-no-anomaly,autoencoder,0,0.005975220951861538,0.03906345931337109,0.005260023041266305,0.039490547218023885,0.2774697580645161,,-0.0,,0.5,,
4963,2-std_cut_wave-no-anomaly,cblof,0,0.006407573856845886,0.05386199584028576,0.005449908127985946,0.053276364676553556,0.31123991935483875,,-0.0,,0.5,,
2619,2-std_cut_wave-no-anomaly,cof,0,0.1354637043264904,0.033134831002654436,0.09189432468732675,0.03149987218067806,0.6336945564516129,,-0.0,,0.5,,
4666,2-std_cut_wave-no-anomaly,copod,0,0.014431875323775639,0.02153734025877499,0.012128641390597763,0.021044862805265747,0.6852318548387096,,-0.0,,0.5,,
4515,2-std_cut_wave-no-anomaly,dae,0,0.013322551128120242,0.15877707068190894,0.010665608333630353,0.1638139699420657,0.4058719758064516,,-0.0,,0.5,,
3451,2-std_cut_wave-no-anomaly,damp,0,0.009278310272273469,0.05248463645728137,0.007982605342777043,0.0541480797764563,0.5176411290322581,,-0.0,,0.5,,
3263,2-std_cut_wave-no-anomaly,deepant,0,0.014133889402072214,0.021576359098137397,0.011394514156305338,0.022599201323598,0.5829133064516129,,-0.0,,0.5,,
2363,2-std_cut_wave-no-anomaly,deepnap,0,0.009277425517926399,0.008459402813351691,0.007988008951102656,0.00888453365800606,0.5345262096774194,,-0.0,,0.5,,
1133,2-std_cut_wave-no-anomaly,encdec_ad,0,0.011467973884057011,0.025030276418090705,0.009504165540225762,0.02687708232207761,0.5301159274193548,,-0.0,,0.5,,
622,2-std_cut_wave-no-anomaly,fast_mcd,0,0.03354279287705793,0.0501780381307394,0.025457018724789268,0.0462893995157023,0.6940524193548386,,-0.0,,0.5,,
3102,2-std_cut_wave-no-anomaly,gdn,0,0.014353394994473728,0.03249752636133144,0.012547872004400796,0.044332264118033496,0.7056038894575231,,-0.0,,0.5,,
1827,2-std_cut_wave-no-anomaly,hbos,0,0.008226823183224858,0.0058837827211728495,0.005800664609973673,0.0060294703668604946,0.3686995967741935,,-0.0,,0.5,,
459,2-std_cut_wave-no-anomaly,health_esn,0,,0.504,,0.504,,,,0.5,,0.5,
1348,2-std_cut_wave-no-anomaly,hif,0,0.010609664825848904,0.025758770456815537,0.00917143083492312,0.028778134493119084,0.5936239919354839,,-0.0,,0.5,,
32,2-std_cut_wave-no-anomaly,hybrid_knn,0,0.007244687600996494,0.01384622772326602,0.006339135677820206,0.015763558165076106,0.42086693548387094,,-0.0,,0.5,,
3884,2-std_cut_wave-no-anomaly,if_lof,0,0.13510867004649338,0.27919981417988504,0.13380573510803107,0.1992396396392699,0.5563256048387096,,-0.0,,0.5,,
2834,2-std_cut_wave-no-anomaly,iforest,0,0.012256521322819618,0.014796925258668494,0.010789668551091439,0.01510017650017394,0.6548639112903226,,-0.0,,0.5,,
4852,2-std_cut_wave-no-anomaly,kmeans,0,0.012186185338918024,0.02179654247241871,0.009949199519901803,0.025518473062638408,0.4954637096774194,,-0.0,,0.5,,
1165,2-std_cut_wave-no-anomaly,knn,0,0.13214406095370332,0.26579475771379274,0.13113593016007755,0.18463286101640825,0.4400201612903226,,-0.0,,0.5,,
3167,2-std_cut_wave-no-anomaly,laser_dbn,0,,0.504,,0.504,,,,0.5,,0.5,
4311,2-std_cut_wave-no-anomaly,lstm-vae,0,0.019894084776807947,,0.3352357121767653,,,,-0.0,,0.5,,
2466,2-std_cut_wave-no-anomaly,lstm_ad,0,0.005599186404955819,0.05827394327456438,0.004946845158301484,0.0652699621971679,0.2265625,,-0.0,,0.5,,
1506,2-std_cut_wave-no-anomaly,mscred,0,0.018363636363636363,0.06857377049180328,0.014042929292929295,0.04841530054644809,0.5221774193548387,,-0.0,,0.5,,
2261,2-std_cut_wave-no-anomaly,mstamp,0,0.02455943937347204,0.014773136996542315,0.018991895442993817,0.01710128964863813,0.5814012096774194,,-0.0,,0.5,,
2853,2-std_cut_wave-no-anomaly,multi_hmm,0,0.016992219394753212,0.011584012091821125,0.013626210769387182,0.011577560560731693,0.6351436491935484,,-0.0,,0.5,,
4049,2-std_cut_wave-no-anomaly,normalizing_flows,0,0.005782562909544658,0.0034862210583688274,0.0050833254187765695,0.003952810578278625,0.26486895161290325,,-0.0,,0.5,,
1703,2-std_cut_wave-no-anomaly,omnianomaly,0,0.006507822378511431,0.09760193526744843,0.005592841191466243,0.10228035598993301,0.2625979843225084,,-0.0,,0.5,,
328,2-std_cut_wave-no-anomaly,pca,0,0.008963330743548863,,0.006423809165057047,,0.42118195564516125,,,,,,
3601,2-std_cut_wave-no-anomaly,pcc,0,0.013477050186339084,0.04463763383827634,0.011537311182702523,0.044981340941502815,0.6746471774193549,,-0.0,,0.5,,
2024,2-std_cut_wave-no-anomaly,random_black_forest,0,,0.504,,0.504,,,,0.5,,0.5,
924,2-std_cut_wave-no-anomaly,robust_pca,0,0.021189937343111826,0.05267170846758642,0.017038801718504172,0.05471529663229851,0.7376512096774194,,-0.0,,0.5,,
235,2-std_cut_wave-no-anomaly,subsequence_knn,0,0.16451027420187164,0.39604636751554656,0.1593679945370567,0.34054866316093435,0.8302671370967742,,-0.0,,0.5,,
4162,2-std_cut_wave-no-anomaly,tanogan,0,0.022968325791855204,0.07558333333333332,0.03817771128302438,0.07905555555555555,0.6089969758064517,,-0.0,,0.5,,
4644,2-std_cut_wave-no-anomaly,telemanom,0,0.012230076806715517,0.05884644463004425,0.009394237824275396,0.051778863666621405,0.6561239919354839,,-0.0,,0.5,,
1918,2-std_cut_wave-no-anomaly,torsk,0,,0.504,,0.504,,,,0.5,,0.5,
