index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
747,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,autoencoder,0,0.002542038894552036,0.0,0.0017475780340905072,0.0021359648005242603,0.0019044202478332574,0.7416566546522493,,-0.0,0.0,,0.5,,
4862,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,cblof,0,0.0012701550809947088,0.0,0.002661928276863513,0.0009978675589951806,0.00187943249220698,0.4220064076892271,,-0.0,0.0,,0.5,,
2399,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,cof,0,0.0015642456486038318,0.0,0.0008755614558402652,0.0012313213694551371,0.0012108173071603183,0.5287344813776532,,-0.0,0.0,,0.5,,
4509,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,copod,0,0.0017728985251146817,0.0,0.0017201877285540363,0.0015040803601503632,0.0011416599007549834,0.6225804298491524,,-0.0,0.0,,0.5,,
4268,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,dae,0,0.0011462195736907784,0.0,0.000558197398282415,0.0009594643602505664,0.0007179899616090843,0.4190361767454278,,-0.0,0.0,,0.5,,
3186,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,damp,0,0.0022605725947647424,0.0,0.0013546997707706556,0.0018358285648792422,0.0013546997707706556,0.657088506207449,,-0.0,0.0,,0.5,,
3029,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,deepant,0,0.0022178789192684872,0.0,0.0007393154338008306,0.0017514899026426795,0.0009270428485565259,0.5604058203177146,,-0.0,0.0,,0.5,,
2167,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,deepnap,0,0.0016867647390665336,0.0,0.003749104010650223,0.0013453800864614742,0.004372064119960717,0.47083166466426374,,-0.0,0.0,,0.5,,
1070,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,encdec_ad,0,0.0009051477871694298,0.0,0.0006420686689885708,0.00077121786603752,0.0007840200998731595,0.249699639567481,,-0.0,0.0,,0.5,,
578,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,fast_mcd,0,0.001883725057136049,0.0,0.0006153893254337995,0.00155658363220591,0.0007763609935714597,0.6458750500600721,,-0.0,0.0,,0.5,,
2817,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,gdn,0,0.0029015961869716615,0.0,0.010173256327254576,0.0024693217467021016,0.013011179425066527,0.7669210684876481,,-0.0,0.0,,0.5,,
1665,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,hbos,0,0.0010677441794075368,0.0,0.000537523488712998,0.0008233261579803854,0.0005552153184976106,0.31556200774262444,,-0.0,0.0,,0.5,,
446,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,health_esn,0,0.3425521789509377,0.015810276679841896,0.37783669948616233,0.3412545368663606,0.2532602941909209,0.8117741289547459,,-0.0,0.0,,0.5,,
1345,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,hif,0,0.0013660851724608966,0.0,0.0016972818863083734,0.0011310587959595343,0.0017366208202219983,0.5155186223468161,,-0.0,0.0,,0.5,,
84,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,hybrid_knn,0,0.004121522178145041,0.011787819253438114,0.002877354671045137,0.003168459963276535,0.0035480192607978607,0.5829328527566413,,-0.0,0.0,,0.5,,
3699,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,if_lof,0,0.0038196545868180638,0.003952569169960474,0.0025574879172283456,0.0029300593977194594,0.0025348812966415656,0.802563075690829,,-0.0,0.0,,0.5,,
2524,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,iforest,0,0.0018558656109335732,0.0,0.0008182875022745706,0.0015425402632385711,0.0006316751744793605,0.6467093845948472,,-0.0,0.0,,0.5,,
4697,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,kmeans,0,0.0011201060944656214,0.0,0.0009930574131748475,0.0009174664590661973,0.0013234624361103927,0.4092244026164731,,-0.0,0.0,,0.5,,
1256,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,knn,0,0.0030032768235653626,0.007889546351084811,0.0055985591647544795,0.0022907207543489483,0.006227353424870518,0.6039914564143638,,-0.0,0.0,,0.5,,
2954,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,laser_dbn,0,,0.0,0.5006,,0.5006,,,-0.0,0.0,,0.5,,
4100,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,lstm-vae,0,,0.0,0.5006,,0.5006,,,,0.0,0.5,,0.5,
2324,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,lstm_ad,0,0.003585796228641661,0.011857707509881424,0.008522871063632538,0.0027210151828013724,0.009171974568439094,0.4991656654652249,,-0.0,0.0,,0.5,,
1440,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,mscred,0,0.0012,0.00239712345185777,0.0006,0.0006,0.0006,0.4554465358430116,,-0.0,0.0,,0.5,,
2000,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,mstamp,0,0.002921100150240577,0.007905138339920948,0.004143666714558069,0.0023170335172090738,0.00419142818159667,0.6725070084100921,,-0.0,0.0,,0.5,,
2657,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,multi_hmm,0,0.00285607794735907,0.0,0.0013040190968327324,0.002089616499024912,0.0013040190968327324,0.735482579094914,,-0.0,0.0,,0.5,,
1589,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,multi_subsequence_lof,0,0.0009944047634137588,0.0,0.0023912272072956382,0.0008273398620055851,0.002770718909631639,0.3340341743425444,,-0.0,0.0,,0.5,,
3770,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,normalizing_flows,0,0.0013457168237710638,0.0,0.00044883449096903936,0.0010834532768539088,0.0006184177088715849,0.3974102256040582,,-0.0,0.0,,0.5,,
4807,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,omni,0,0.0009086448520845517,0.0,0.00020426812989171594,0.0007678342188395154,0.0002519508998375386,0.26231884057971017,,-0.0,0.0,,0.5,,
382,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,pca,0,0.0029522018928909237,0.0,,0.0018403554389175357,,0.696235482579095,,,,,,,
3302,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,pcc,0,0.0009244444392385837,0.0,0.007233744727811222,0.0007829042729743741,0.004292537897518713,0.2779001468428781,,-0.0,0.0,,0.5,,
1872,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,random_black_forest,0,0.0012725488680617393,0.0,0.0009137705475068972,0.001048333432217176,0.0010113016585323316,0.47073154452009075,,-0.0,0.0,,0.5,,
874,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,robust_pca,0,0.000970704276610132,0.0,0.005333324286370492,0.0008080959998011785,0.006316963029300326,0.3100720865038046,,-0.0,0.0,,0.5,,
222,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,subsequence_knn,0,0.0012537798025077608,0.0,0.009213857236253013,0.0010247098400944427,0.009213857236253013,0.4187024429315178,,-0.0,0.0,,0.5,,
3856,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,tanogan,0,0.0012,0.00239712345185777,0.0006,0.0006,0.0006,0.49028834601521826,,-0.0,0.0,,0.5,,
4404,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,telemanom,0,0.0015782480079367203,0.0,0.0014706028720218882,0.0013081999436947373,0.0014706028720218882,0.5666132692564411,,-0.0,0.0,,0.5,,
1803,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,torsk,0,0.0014962299272854975,0.0,0.0012133907510107488,0.0013371707726550705,0.0012896307532977605,0.5445868375383793,,-0.0,0.0,,0.5,,
3428,2-std_cut_wave-stdRatio_2-stdPast_10-no-anomaly,usad,0,0.00787016762297835,0.0,0.005233905278146267,0.00754334381864829,0.0069209858775138855,0.661463133640553,0.493426114320755,-0.0,0.0,,0.5,,
