index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
804,2-std_cut_wave,autoencoder,0,0.011706182617992736,0.0358175823107363,0.009991031003888833,0.03931437718572538,0.6287802419354839,,0.011392202681318284,0.024428790757759812,0.009727805162706053,0.02692351942147278,0.6125252016129032
5053,2-std_cut_wave,cblof,0,0.006407573856845886,0.05386199584028576,0.005449908127985946,0.053276364676553556,0.31123991935483875,,0.00649239063817707,0.04260867361154745,0.005517928257345044,0.04535840108957114,0.31842237903225806
2633,2-std_cut_wave,cof,0,0.1354637043264904,0.033134831002654436,0.09189432468732675,0.03149987218067806,0.6336945564516129,,0.12028817169372942,0.03474330803529545,0.07953361197951737,0.033330369434013775,0.8741179435483871
4720,2-std_cut_wave,copod,0,0.014431875323775639,0.02153734025877499,0.012128641390597763,0.021044862805265747,0.6852318548387096,,0.014699431800189594,0.016416538977916357,0.012317030092161698,0.018037242543954023,0.6862399193548387
4434,2-std_cut_wave,dae,0,0.013421453107603624,0.09576399425430747,0.011478143285165034,0.10148835261314258,0.6559979838709677,,0.01358022827746593,0.1458699115299967,0.011608708144056682,0.14322351313678797,0.6568800403225806
3415,2-std_cut_wave,damp,0,0.009278310272273469,0.05248463645728137,0.007982605342777043,0.0541480797764563,0.5176411290322581,,0.009288397171737116,0.030503144376190325,0.0079654797335671,0.0323237225902562,0.505796370967742
3264,2-std_cut_wave,deepant,0,0.014253727043220287,0.021547221659926376,0.011490308972003177,0.022517208380340145,0.5832913306451613,,0.014419686088511987,0.02685654249424821,0.011648503264172126,0.024835058892736704,0.5972782258064516
2295,2-std_cut_wave,deepnap,0,0.009277425517926399,0.008459402813351691,0.007988008951102656,0.00888453365800606,0.5345262096774194,,0.009290615409702743,0.008518145666427267,0.00800030554423875,0.008942382439709025,0.536164314516129
1040,2-std_cut_wave,encdec_ad,0,0.011962958004337613,0.025327989758068686,0.009923796314480631,0.027348509324684953,0.5505292338709677,,0.01193391070592691,0.023677029590787747,0.009922692935711169,0.026207468314903618,0.55078125
665,2-std_cut_wave,fast_mcd,0,0.03354432741107859,0.05016640130621488,0.02545840238935966,0.04628009005608269,0.6941784274193549,,0.0335387533663569,0.0995169582410806,0.02593263542274631,0.10073241491466627,0.6978326612903226
