index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
835,2-wave-all-no-anomaly,autoencoder,0,0.002452894157685027,0.007737412065990521,0.0017946347801026216,0.005256147356464942,0.21464393179538616,,-0.0,,0.5,,
4956,2-wave-all-no-anomaly,cblof,0,0.0036393705299850804,0.007425205561170474,0.0025274023840262706,0.005591151863081688,0.45168839852892,,-0.0,,0.5,,
2640,2-wave-all-no-anomaly,cof,0,0.0040773575653880205,0.004203936789319375,0.0027346667488375638,0.005136269205352372,0.46940822467402205,,-0.0,,0.5,,
4795,2-wave-all-no-anomaly,copod,0,0.0036817194627041822,0.005308127433613038,0.0026188662851110824,0.0033698780556318734,0.4750919424941491,,-0.0,,0.5,,
4462,2-wave-all-no-anomaly,dae,0,0.1152481462634988,0.008684253177334112,0.058865154806149435,0.007164424722015164,0.7325309261116683,,-0.0,,0.5,,
3509,2-wave-all-no-anomaly,damp,0,0.0039024310561522014,0.007737012727056799,0.002775430537143485,0.007661525454113598,0.48913406887328653,,-0.0,,0.5,,
3377,2-wave-all-no-anomaly,deepant,0,0.17972709551656918,0.0525268634152191,0.12384792275828459,0.042553726830438204,0.8268137746573052,,-0.0,,0.5,,
2359,2-wave-all-no-anomaly,deepnap,0,0.00368885803022735,0.10119047619047619,0.0027614348948061217,0.11904761904761904,0.46205282514209295,,-0.0,,0.5,,
1017,2-wave-all-no-anomaly,encdec_ad,0,0.011355174054760098,0.007692307692307693,0.008513207151135765,0.007692307692307693,0.8264794383149447,,-0.0,,0.5,,
610,2-wave-all-no-anomaly,fast_mcd,0,0.0033222550682395786,0.06851851851851852,0.002481708773913163,0.07453703703703704,0.4055499832831828,,-0.0,,0.5,,
3041,2-wave-all-no-anomaly,gdn,0,0.006237793829990725,0.006486364120592309,0.004446363928736886,0.005829871098327475,0.6839782756279701,,-0.0,,0.5,,
1755,2-wave-all-no-anomaly,hbos,0,0.17112753147235904,0.5128371251601416,0.2535776285671155,0.27567425032028314,0.7184887997325309,,-0.0,,0.5,,
565,2-wave-all-no-anomaly,health_esn,0,,0.5015,,0.5015,,,,0.5,,0.5,
1358,2-wave-all-no-anomaly,hif,0,0.00298229047368387,0.0070640884652981425,0.0021757469641447546,0.006435869238288592,0.35439652290203943,,-0.0,,0.5,,
76,2-wave-all-no-anomaly,hybrid_knn,0,0.004858081663897497,0.03051171365322309,0.0035279891466743255,0.022561888844907712,0.6068204613841525,,-0.0,,0.5,,
3933,2-wave-all-no-anomaly,if_lof,0,0.1138819820259048,0.038156202470805575,0.057722542589919594,0.020756849386055598,0.5526579739217653,,-0.0,,0.5,,
2699,2-wave-all-no-anomaly,iforest,0,0.007627390194909252,0.008284601701199937,0.004616867167762404,0.005458092291288764,0.5650284185891006,,-0.0,,0.5,,
4846,2-wave-all-no-anomaly,kmeans,0,1.0,0.8611111111111112,1.0,0.7222222222222223,1.0,,-0.0,,0.5,,
1146,2-wave-all-no-anomaly,knn,0,0.007659822191428967,0.009932541709227102,0.00551204345146352,0.010774174327545114,0.7495820795720495,,-0.0,,0.5,,
3140,2-wave-all-no-anomaly,laser_dbn,0,,0.5015,,0.5015,,,,0.5,,0.5,
4289,2-wave-all-no-anomaly,lstm-vae,0,0.011424422970960073,,0.4192965591675913,,,,-0.0,,0.5,,
2496,2-wave-all-no-anomaly,lstm_ad,0,0.010010016778103323,0.05505159801212432,0.006846902518547572,0.04760319602424865,0.6429287863590772,,-0.0,,0.5,,
1420,2-wave-all-no-anomaly,mscred,0,0.003,0.0015,0.0015,0.0015,0.45486459378134403,,-0.0,,0.5,,
2194,2-wave-all-no-anomaly,mstamp,0,0.04088329352530145,0.012303262213976499,0.023229981710610085,0.01071763553906411,0.7211634904714141,,-0.0,,0.5,,
2951,2-wave-all-no-anomaly,multi_hmm,0,0.003597748461664177,0.005889943389943391,0.002252388970061113,0.006972194472194473,0.3662654630558342,,-0.0,,0.5,,
4044,2-wave-all-no-anomaly,normalizing_flows,0,0.0020938738164677437,0.0673410195910196,0.0015652930379722518,0.03468203918203918,0.0665329321297225,,-0.0,,0.5,,
1654,2-wave-all-no-anomaly,omnianomaly,0,0.06125470514429109,0.021158061921596527,0.03799055748560172,0.021482791751623154,0.6933927245731254,,-0.0,,0.5,,
295,2-wave-all-no-anomaly,pca,0,0.00482315112540193,,0.002411575562700965,,0.3821464393179539,,,,,,
3636,2-wave-all-no-anomaly,pcc,0,0.005082208138146413,0.013255824964542634,0.0030661335421512713,0.007993131410566751,0.3316616516215312,,-0.0,,0.5,,
2065,2-wave-all-no-anomaly,random_black_forest,0,,0.5015,,0.5015,,,,0.5,,0.5,
867,2-wave-all-no-anomaly,robust_pca,0,0.002710601368787306,0.01691236739647862,0.0018581574177213745,0.010015210983433427,0.22968906720160479,,-0.0,,0.5,,
209,2-wave-all-no-anomaly,subsequence_knn,0,0.020274943310657594,0.008729460093896715,0.01522268808075141,0.012250586854460094,0.9037111334002006,,-0.0,,0.5,,
4221,2-wave-all-no-anomaly,tanogan,0,0.003,0.0015,0.0015,0.0015,0.4844533600802407,,-0.0,,0.5,,
4618,2-wave-all-no-anomaly,telemanom,0,0.00319829879031157,0.004310344827586207,0.002399576745583135,0.004310344827586207,0.37512537612838515,,-0.0,,0.5,,
1930,2-wave-all-no-anomaly,torsk,0,,0.5015,,0.5015,,,,0.5,,0.5,
3719,2-wave-all-no-anomaly,usad,0,0.009161739317698942,0.08952315151691437,0.008500774543829075,0.07904629409313202,0.21721912584335581,0.2506117522716522,-0.0,,0.5,,
