index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
725,2-wave-light-off-synced-all-no-anomaly,autoencoder,0,0.002232170692611036,0.0007201280227596019,0.001673917399784237,0.0010016595542911334,0.10464727515880974,,-0.0,,0.5,,
5019,2-wave-light-off-synced-all-no-anomaly,cblof,0,0.010038589175279822,0.028993055555555553,0.007220689530970339,0.02673611111111111,0.8040789033767971,,-0.0,,0.5,,
2687,2-wave-light-off-synced-all-no-anomaly,cof,0,0.3353580679831404,0.6669155850342309,0.33495242025150634,0.33383117006846186,0.45302574389836175,,-0.0,,0.5,,
4788,2-wave-light-off-synced-all-no-anomaly,copod,0,0.002717553328904038,0.025402046783625728,0.0020282093386516423,0.02448830409356725,0.27415580073553997,,-0.0,,0.5,,
4443,2-wave-light-off-synced-all-no-anomaly,dae,0,0.004423163300243452,0.07721755368814191,0.0032914637386720572,0.07110177404295051,0.5576730190571715,,-0.0,,0.5,,
3462,2-wave-light-off-synced-all-no-anomaly,damp,0,0.003044620804323888,0.0011174853566157915,0.002280728690700715,0.0016794151576760273,0.3463724506853895,,-0.0,,0.5,,
3323,2-wave-light-off-synced-all-no-anomaly,deepant,0,0.46031746031746035,0.34469696969696967,0.3391330891330891,0.3560606060606061,0.9956536275493146,,-0.0,,0.5,,
2377,2-wave-light-off-synced-all-no-anomaly,deepnap,0,0.00216921017521388,0.0012776831345826234,0.0016269057141084235,0.0012776831345826234,0.07823470411233702,,-0.0,,0.5,,
1113,2-wave-light-off-synced-all-no-anomaly,encdec_ad,0,0.0021653186308499667,0.0010119940029985008,0.0016235932394081333,0.0012993503248375814,0.07723169508525578,,-0.0,,0.5,,
584,2-wave-light-off-synced-all-no-anomaly,fast_mcd,0,0.0030885966107916194,0.00045844286985139316,0.0023011285546937783,0.0006717877004870999,0.3640922768304915,,-0.0,,0.5,,
3085,2-wave-light-off-synced-all-no-anomaly,gdn,0,0.07802197802197802,0.08991228070175439,0.05802333469000136,0.09649122807017543,0.9769178547182621,,-0.0,,0.5,,
1735,2-wave-light-off-synced-all-no-anomaly,hbos,0,0.06,0.04285714285714286,0.03,0.04285714285714286,0.954864593781344,,-0.0,,0.5,,
447,2-wave-light-off-synced-all-no-anomaly,health_esn,0,,0.5015,,0.5015,,,,0.5,,0.5,
1365,2-wave-light-off-synced-all-no-anomaly,hif,0,0.0033698159785408204,0.0006430184164231437,0.002497737010616925,0.0010896503442367035,0.4232698094282849,,-0.0,,0.5,,
136,2-wave-light-off-synced-all-no-anomaly,hybrid_knn,0,0.012928287514875927,0.039107677302121745,0.00961047190376611,0.03276080914969804,0.8520561685055165,,-0.0,,0.5,,
3941,2-wave-light-off-synced-all-no-anomaly,if_lof,0,0.4242424242424242,0.07121212121212121,0.301010101010101,0.07575757575757575,0.9963223002340355,,-0.0,,0.5,,
2764,2-wave-light-off-synced-all-no-anomaly,iforest,0,0.016104371167662307,0.022367194780987885,0.011611748944058965,0.027493010251630944,0.8826479438314945,,-0.0,,0.5,,
4823,2-wave-light-off-synced-all-no-anomaly,kmeans,0,0.05217194570135747,0.020461309523809524,0.03767242561360208,0.023065476190476192,0.9648946840521564,,-0.0,,0.5,,
1164,2-wave-light-off-synced-all-no-anomaly,knn,0,0.3481663929939792,0.6695567119339857,0.34507271010698515,0.33911342386797133,0.9251086593112672,,-0.0,,0.5,,
3198,2-wave-light-off-synced-all-no-anomaly,laser_dbn,0,,0.5015,,0.5015,,,,0.5,,0.5,
4321,2-wave-light-off-synced-all-no-anomaly,lstm-vae,0,0.0114483426567435,,0.4195436986829866,,,,-0.0,,0.5,,
2421,2-wave-light-off-synced-all-no-anomaly,lstm_ad,0,0.022122197215970658,0.032636300897170456,0.015742656783935223,0.02955831608005521,0.9037111334002006,,-0.0,,0.5,,
1441,2-wave-light-off-synced-all-no-anomaly,mscred,0,0.003,0.0015,0.0015,0.0015,0.45486459378134403,,-0.0,,0.5,,
2270,2-wave-light-off-synced-all-no-anomaly,mstamp,0,0.002395235391954291,0.002208177782157374,0.001782695891843033,0.003672307945267129,0.1812102975593447,,-0.0,,0.5,,
2878,2-wave-light-off-synced-all-no-anomaly,multi_hmm,0,0.003051881993896236,0.0019083969465648854,0.001525940996948118,0.0019083969465648854,0.01805416248746239,,-0.0,,0.5,,
4005,2-wave-light-off-synced-all-no-anomaly,normalizing_flows,0,0.0029927346152266382,0.0013204225352112676,0.0022434243443145065,0.0013204225352112676,0.3336676696756938,,-0.0,,0.5,,
1612,2-wave-light-off-synced-all-no-anomaly,omnianomaly,0,0.2126022126022126,0.0833333358168602,0.16046777296777298,0.0833333358168602,0.9922048997772829,,-0.0,,0.5,,
346,2-wave-light-off-synced-all-no-anomaly,pca,0,0.0023794140412046897,,0.0015291503335690794,,0.02407221664994983,,,,,,
3559,2-wave-light-off-synced-all-no-anomaly,pcc,0,0.0025002395948564354,0.08993982208267923,0.0018691507562650018,0.07987964416535845,0.20762286860581747,,-0.0,,0.5,,
2083,2-wave-light-off-synced-all-no-anomaly,random_black_forest,0,,0.5015,,0.5015,,,,0.5,,0.5,
908,2-wave-light-off-synced-all-no-anomaly,robust_pca,0,0.002042617652393823,0.0012668354292918833,0.0015228143498069455,0.0013570230194794738,0.03627549314610499,,-0.0,,0.5,,
233,2-wave-light-off-synced-all-no-anomaly,subsequence_knn,0,0.012675875122834104,0.004591566437571593,0.009122608088023064,0.006578966208476518,0.8505516549648946,,-0.0,,0.5,,
4173,2-wave-light-off-synced-all-no-anomaly,tanogan,0,0.003,0.0015,0.0015,0.0015,0.4844533600802407,,-0.0,,0.5,,
4648,2-wave-light-off-synced-all-no-anomaly,telemanom,0,0.002876583421778683,0.08630952380952381,0.002156050947417446,0.1101190476190476,0.30692076228686055,,-0.0,,0.5,,
1907,2-wave-light-off-synced-all-no-anomaly,torsk,0,,0.5015,,0.5015,,,,0.5,,0.5,
3747,2-wave-light-off-synced-all-no-anomaly,usad,0,0.007877164834364353,0.13370516896247864,0.007351789069442598,0.10074368119239807,0.037034320915224406,0.07647127658128738,-0.0,,0.5,,
