index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
761,2-wave-light-off-synced-all,autoencoder,0,0.002129095260896014,0.033651023088050964,0.0015943978592001134,0.017302046176101933,0.06486125041792042,,0.0021010739661700764,0.0003654896467609218,0.0015721161126326874,0.0005620032881146113,0.05449682380474759
5038,2-wave-light-off-synced-all,cblof,0,0.010038589175279822,0.028993055555555553,0.007220689530970339,0.02673611111111111,0.8040789033767971,,0.010442834138486312,0.04558080808080808,0.007518573796011533,0.04570707070707071,0.8174523570712137
2609,2-wave-light-off-synced-all,cof,0,0.3353580679831404,0.6669155850342309,0.33495242025150634,0.33383117006846186,0.45302574389836175,,0.3525136798905608,0.6681285609949662,0.34812177288032403,0.33625712198993235,0.8963557338682715
4756,2-wave-light-off-synced-all,copod,0,0.002717553328904038,0.025402046783625728,0.0020282093386516423,0.02448830409356725,0.27415580073553997,,0.002725841650210869,0.026561872350402818,0.0020344779937029813,0.028123744700805635,0.2764961551320629
4403,2-wave-light-off-synced-all,dae,0,0.005075330490279271,0.10138888888888889,0.0037912576613880807,0.10277777777777777,0.6118355065195586,,0.005155018685514664,0.14166666666666666,0.0038565522088709592,0.15833333333333333,0.6165162153126046
3394,2-wave-light-off-synced-all,damp,0,0.003044620804323888,0.0011174853566157915,0.002280728690700715,0.0016794151576760273,0.3463724506853895,,0.002985107945870278,0.0017626321974148062,0.0022388259595133983,0.0017626321974148062,0.33099297893681046
3261,2-wave-light-off-synced-all,deepant,0,0.34920634920634924,0.07142857142857142,0.2557997557997558,0.07142857142857142,0.9949849548645937,,0.7435897435897436,0.8446969696969697,0.732905982905983,0.6893939393939394,0.9966566365763958
2283,2-wave-light-off-synced-all,deepnap,0,0.002202656550599297,0.0012998266897746968,0.0016519904055303314,0.0012998266897746968,0.09227683049147442,,0.0022034580245076717,0.0012998266897746968,0.0016527950007851804,0.0012998266897746968,0.09227683049147443
1135,2-wave-light-off-synced-all,encdec_ad,0,0.0059412005188772,0.02631578947368421,0.004454384929063977,0.02631578947368421,0.6656636576395855,,0.006089029711888256,0.07105263157894737,0.004564384714182567,0.07543859649122807,0.6740220661985957
578,2-wave-light-off-synced-all,fast_mcd,0,0.005702362133253551,0.001148012421900503,0.004242656340783614,0.001430972940686819,0.6576395854229354,,0.005315336837075968,0.000723019889244287,0.003923907743328927,0.0008465193947955281,0.6375794048813106
3051,2-wave-light-off-synced-all,gdn,0,0.009263910998543597,0.04946778711484593,0.00678537038204448,0.049919458298224424,0.7912423625254583,,-0.0,,0.5,,
1738,2-wave-light-off-synced-all,hbos,0,0.06,0.04285714285714286,0.03,0.04285714285714286,0.954864593781344,,0.35136217948717946,0.6893898925148925,0.3480594922424742,0.378779785029785,0.9252758274824474
550,2-wave-light-off-synced-all,health_esn,0,,0.5015,,0.5015,,,,0.5015,,0.5015,
1350,2-wave-light-off-synced-all,hif,0,0.026162726162726163,0.033557625948930296,0.018009403460600513,0.03140096618357488,0.9097291875626881,,0.020343759382079205,0.0626824559751389,0.01341787474031334,0.04203157861694447,0.8890003343363423
119,2-wave-light-off-synced-all,hybrid_knn,0,0.10832004253056884,0.019695378151260504,0.08096314017366649,0.02153361344537815,0.9847876964226012,,0.12554112554112554,0.0234375,0.09225774225774226,0.0234375,0.9866265463055834
3865,2-wave-light-off-synced-all,if_lof,0,0.4242424242424242,0.07121212121212121,0.301010101010101,0.07575757575757575,0.9963223002340355,,0.2398989898989899,0.07490079365079365,0.16915584415584414,0.07837301587301587,0.9913072550986293
2716,2-wave-light-off-synced-all,iforest,0,0.016104371167662307,0.022367194780987885,0.011611748944058965,0.027493010251630944,0.8826479438314945,,0.010905046016662607,0.017008652591555175,0.00760992009326462,0.0161601623259675,0.8037445670344366
4866,2-wave-light-off-synced-all,kmeans,0,0.05217194570135747,0.020461309523809524,0.03767242561360208,0.023065476190476192,0.9648946840521564,,0.023919255597742592,0.010416666666666668,0.017627190522885635,0.014880952380952382,0.9214309595453025
1241,2-wave-light-off-synced-all,knn,0,0.3481663929939792,0.6695567119339857,0.34507271010698515,0.33911342386797133,0.9251086593112672,,0.39538239538239534,0.7105379306920862,0.38168802874685226,0.42107586138417236,0.9461718488799732
3216,2-wave-light-off-synced-all,laser_dbn,0,,0.5015,,0.5015,,,,0.5015,,0.5015,
4292,2-wave-light-off-synced-all,lstm-vae,0,0.008396216842342572,,0.4163920521039072,,,,0.010877989114643136,,0.41865984247987437,,
2505,2-wave-light-off-synced-all,lstm_ad,0,0.18250764525993884,0.028983516483516485,0.09602374406655752,0.022252747252747253,0.931461049816115,,0.031072856652472006,0.019026108467102256,0.019623865894826564,0.015324944206931784,0.9134068873286526
1453,2-wave-light-off-synced-all,mscred,0,0.003,0.0015,0.0015,0.0015,0.45486459378134403,,0.003,0.0015,0.0015,0.0015,0.45486459378134403
2143,2-wave-light-off-synced-all,mstamp,0,0.002395235391954291,0.002208177782157374,0.001782695891843033,0.003672307945267129,0.1812102975593447,,0.0025748150179521977,0.0017067650211619572,0.0018920182970897938,0.0022314969453972005,0.2530926111668338
4073,2-wave-light-off-synced-all,normalizing_flows,0,0.0027555348957569543,0.0016375545851528383,0.002065845484022812,0.0016375545851528383,0.275827482447342,,0.0027588003313642855,0.0016304347826086956,0.0020674877950508505,0.0016304347826086956,0.2774991641591441
1637,2-wave-light-off-synced-all,omnianomaly,0,0.9166666666666665,0.8472222089767456,0.9027777777777777,0.6944444179534912,0.9996288047512992,,0.6464646464646464,0.8480392098426819,0.6065656565656565,0.6960784196853638,0.9966592427616927
392,2-wave-light-off-synced-all,pca,0,0.0023794140412046897,,0.0015291503335690794,,0.02407221664994983,,0.0024144904973644275,,0.0015498283250782396,,0.03911735205616849
