index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
749,2-wave-light-off-synced-one-channel-no-anomaly,autoencoder,0,0.0026428066017327428,0.0,0.03071931400215485,0.0019685370702579538,0.015984082549764245,0.2567703109327984,,-0.0,0.0,,0.5,,
4860,2-wave-light-off-synced-one-channel-no-anomaly,cblof,0,0.009798579171108874,0.019417475728155338,0.04198976681838686,0.006054082859912929,0.02147953363677373,0.700768973587429,,-0.0,0.0,,0.5,,
2377,2-wave-light-off-synced-one-channel-no-anomaly,cof,0,0.00694488999146926,0.0,0.012716687024529577,0.0048031401261375995,0.011147659763344869,0.7111334002006019,,-0.0,0.0,,0.5,,
4497,2-wave-light-off-synced-one-channel-no-anomaly,copod,0,0.002443935308779159,0.0,0.02250694639418509,0.0018255942821125929,0.011680559455036852,0.19090605148779674,,-0.0,0.0,,0.5,,
4235,2-wave-light-off-synced-one-channel-no-anomaly,dae,0,0.005272072109137412,0.0,0.055962540145197415,0.00393934765085199,0.028591746957061504,0.6262119692410566,,-0.0,0.0,,0.5,,
3152,2-wave-light-off-synced-one-channel-no-anomaly,damp,0,0.0036802425517515175,0.0,0.0016067782768476933,0.0027581831252050763,0.0019232339730502247,0.4590437980608492,,-0.0,0.0,,0.5,,
3034,2-wave-light-off-synced-one-channel-no-anomaly,deepant,0,0.10897435897435898,0.058252427184466014,0.02518315018315018,0.07965337132003798,0.026556776556776556,0.9836175192243396,,-0.0,0.0,,0.5,,
2118,2-wave-light-off-synced-one-channel-no-anomaly,deepnap,0,0.0022908157199581962,0.0,0.007231293965010441,0.0017157780753641427,0.01137616817693446,0.13072550986292214,,-0.0,0.0,,0.5,,
1121,2-wave-light-off-synced-one-channel-no-anomaly,encdec_ad,0,0.0038428330570958943,0.0,0.0014007008425860306,0.002871535581804397,0.002198992046617844,0.4861250417920428,,-0.0,0.0,,0.5,,
609,2-wave-light-off-synced-one-channel-no-anomaly,fast_mcd,0,0.0031829766263759556,0.0,0.03364205478834338,0.0023557404771291,0.017284109576686767,0.3901705115346038,,-0.0,0.0,,0.5,,
2753,2-wave-light-off-synced-one-channel-no-anomaly,gdn,0,0.017142719056594657,0.0,0.011538461538461539,0.01282406355976242,0.011538461538461539,0.8849287169042769,,-0.0,0.0,,0.5,,
