index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
815,2-wave-no-synced-cut-all-channel-no-anomaly,autoencoder,0,0.005115168415929882,0.0,0.006138057312325447,0.004270824418982446,0.0056073847963900685,0.3571428571428571,,-0.0,0.0,,0.5,,
4907,2-wave-no-synced-cut-all-channel-no-anomaly,cblof,0,0.21035526688403966,0.07547169811320754,0.5409543839260302,0.20221596666361813,0.28428972023301297,0.6921529175050302,,-0.0,0.0,,0.5,,
2432,2-wave-no-synced-cut-all-channel-no-anomaly,cof,0,0.3543193883375063,0.056603773584905655,0.5140909232976845,0.35136137577175053,0.2634941935302997,0.6514084507042254,,-0.0,0.0,,0.5,,
4438,2-wave-no-synced-cut-all-channel-no-anomaly,copod,0,0.004477325145680822,0.0,0.0012674017936615605,0.0037841807724422463,0.0014594397500276456,0.25720992622401073,,-0.0,0.0,,0.5,,
4256,2-wave-no-synced-cut-all-channel-no-anomaly,dae,0,0.005624294348271889,0.0,0.0008898997098743618,0.004677335253856127,0.0015410023547363567,0.4086183769282361,,-0.0,0.0,,0.5,,
3227,2-wave-no-synced-cut-all-channel-no-anomaly,damp,0,0.008425064217424604,0.0,0.023788980155216743,0.0071559914968186075,0.021098188540820052,0.60261569416499,,-0.0,0.0,,0.5,,
3060,2-wave-no-synced-cut-all-channel-no-anomaly,deepant,0,0.009603027913330838,0.0,0.00380266291541103,0.0075109487573384775,0.0036158039691240084,0.568578135479544,,-0.0,0.0,,0.5,,
2187,2-wave-no-synced-cut-all-channel-no-anomaly,deepnap,0,0.004299561623782604,0.0,0.0018884273354191426,0.003610208100089037,0.0031701828163166602,0.2283702213279678,,-0.0,0.0,,0.5,,
1018,2-wave-no-synced-cut-all-channel-no-anomaly,encdec_ad,0,0.004524237501842016,0.0,0.0008669588239184683,0.0038085388909440284,0.0014052511258775993,0.26626425217974514,,-0.0,0.0,,0.5,,
677,2-wave-no-synced-cut-all-channel-no-anomaly,fast_mcd,0,0.004995859935175411,0.0,0.0015511172330029005,0.004174735931366498,0.0019923465945048094,0.3425553319919517,,-0.0,0.0,,0.5,,
2714,2-wave-no-synced-cut-all-channel-no-anomaly,gdn,0,0.018126788530461055,0.05714285714285715,0.024285005164565384,0.014012895283083245,0.03157271359384276,0.6198501872659176,,-0.0,0.0,,0.5,,
1694,2-wave-no-synced-cut-all-channel-no-anomaly,hbos,0,0.023368684978709843,0.03571428571428571,0.059276946875969974,0.017027475774785066,0.06045113436094003,0.7087525150905433,,-0.0,0.0,,0.5,,
429,2-wave-no-synced-cut-all-channel-no-anomaly,health_esn,0,0.3149787347155768,0.07547169811320754,0.6268461887788418,0.29411606081550346,0.4607630846283908,0.8651911468812877,,-0.0,0.0,,0.5,,
1320,2-wave-no-synced-cut-all-channel-no-anomaly,hif,0,0.006469885944412736,0.0,0.0031209947353178086,0.005283794710553883,0.0032549456371142585,0.4438296445338699,,-0.0,0.0,,0.5,,
54,2-wave-no-synced-cut-all-channel-no-anomaly,hybrid_knn,0,0.004989142552733249,0.0,0.0037079784484212045,0.004154694309268442,0.004327353631827854,0.33425553319919515,,-0.0,0.0,,0.5,,
3589,2-wave-no-synced-cut-all-channel-no-anomaly,if_lof,0,0.18605801177273937,0.03773584905660377,0.3560322148216347,0.1822870408087801,0.18312924445808426,0.7173038229376257,,-0.0,0.0,,0.5,,
2491,2-wave-no-synced-cut-all-channel-no-anomaly,iforest,0,0.008739594478400971,0.0,0.011898938014930548,0.0070572642524216085,0.008294000060868847,0.5965794768611671,,-0.0,0.0,,0.5,,
4618,2-wave-no-synced-cut-all-channel-no-anomaly,kmeans,0,0.2799414981018754,0.11320754716981131,0.05396321514742568,0.22458613366632235,0.05265202633623686,0.9795439302481556,,-0.0,0.0,,0.5,,
1215,2-wave-no-synced-cut-all-channel-no-anomaly,knn,0,0.019061148534869735,0.056603773584905655,0.059938825917248535,0.015153635533149898,0.05628187261371785,0.7791750503018109,,-0.0,0.0,,0.5,,
2851,2-wave-no-synced-cut-all-channel-no-anomaly,laser_dbn,0,,0.0,0.503,,0.503,,,-0.0,0.0,,0.5,,
4070,2-wave-no-synced-cut-all-channel-no-anomaly,lstm-vae,0,,0.0,0.503,,0.503,,,,0.0,0.5,,0.5,
2248,2-wave-no-synced-cut-all-channel-no-anomaly,lstm_ad,0,0.005199424954537629,0.0,0.0018341125859466557,0.004352482647462287,0.002390440392210394,0.3688799463447351,,-0.0,0.0,,0.5,,
2034,2-wave-no-synced-cut-all-channel-no-anomaly,mstamp,0,0.011200458901521465,0.0,0.032689620706638535,0.00909688114197036,0.02936276032455314,0.6701877934272301,,-0.0,0.0,,0.5,,
2678,2-wave-no-synced-cut-all-channel-no-anomaly,multi_hmm,0,0.008153882292366438,0.0,0.005330447354858185,0.006671580697344508,0.006141854559835097,0.590710932260228,,-0.0,0.0,,0.5,,
1538,2-wave-no-synced-cut-all-channel-no-anomaly,multi_subsequence_lof,0,0.019081965130517752,0.0,0.008914737260555652,0.01600121642458263,0.012136899685534441,0.8247820254862509,,-0.0,0.0,,0.5,,
3815,2-wave-no-synced-cut-all-channel-no-anomaly,normalizing_flows,0,0.00463951239389662,0.0,0.00430159932910246,0.003966643541585316,0.005235151628912962,0.25720992622401073,,-0.0,0.0,,0.5,,
4793,2-wave-no-synced-cut-all-channel-no-anomaly,omni,0,0.31058608897418444,0.058823529411764705,0.45521485805511475,0.292142307953004,0.3729766011238098,0.7952380952380953,,-0.0,0.0,,0.5,,
380,2-wave-no-synced-cut-all-channel-no-anomaly,pca,0,0.005203757549710027,0.0,,0.0036445656766472463,,0.2448021462105969,,,,,,,
3286,2-wave-no-synced-cut-all-channel-no-anomaly,pcc,0,0.004932393690741752,0.0,0.001049683295571268,0.004159249584246388,0.0016416339768039684,0.32679409792085845,,-0.0,0.0,,0.5,,
