index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
768,2-wave-no-synced-cut-all-channel,autoencoder,0,0.00517178469257204,0.0,0.0106530210177781,0.004369351085487979,0.008909310381350361,0.35915492957746475,,0.0052199315704407395,0.0,0.014675100188263821,0.004400272710679545,0.023193879558299962,0.3685446009389671
4974,2-wave-no-synced-cut-all-channel,cblof,0,0.21035526688403966,0.07547169811320754,0.5409543839260302,0.20221596666361813,0.28428972023301297,0.6921529175050302,,0.051349564159938944,0.056603773584905655,0.05377402447969725,0.03626477433744542,0.06106598073685381,0.7374245472837022
2400,2-wave-no-synced-cut-all-channel,cof,0,0.3543193883375063,0.056603773584905655,0.5140909232976845,0.35136137577175053,0.2634941935302997,0.6514084507042254,,0.2111303902266721,0.07547169811320754,0.040449546146596606,0.1533687100780566,0.030648348435160462,0.7116029510395706
4439,2-wave-no-synced-cut-all-channel,copod,0,0.004477325145680822,0.0,0.0012674017936615605,0.0037841807724422463,0.0014594397500276456,0.25720992622401073,,0.004497521427940756,0.0,0.01417199697594324,0.0037984233926482707,0.013004914771250504,0.26190476190476186
4200,2-wave-no-synced-cut-all-channel,dae,0,0.005644765229309414,0.0,0.0007758673014741692,0.004697591006696446,0.0014022298680662294,0.41146881287726356,,0.005656101154717919,0.0,0.034083958359830434,0.0047076755049653765,0.0346174232172895,0.4121395036887995
3210,2-wave-no-synced-cut-all-channel,damp,0,0.008425064217424604,0.0,0.023788980155216743,0.0071559914968186075,0.021098188540820052,0.60261569416499,,0.00848225072991173,0.0,0.059089956296652715,0.007195885103881532,0.056765902361113396,0.6063044936284373
3114,2-wave-no-synced-cut-all-channel,deepant,0,0.010114903878848103,0.0,0.005728960163901152,0.00787626862364554,0.005011314450325786,0.5585177733065056,,0.010370537026475713,0.0,0.022478795940877892,0.008089517077226136,0.01882886097968895,0.5705902079141515
2145,2-wave-no-synced-cut-all-channel,deepnap,0,0.004284035649394976,0.0,0.002061814334060233,0.0036011956643236505,0.0031632838809188173,0.22468142186452045,,0.004250744075720878,0.0,0.0015782899849183683,0.0035820163205516173,0.0029990452373999154,0.22266934942991284
1060,2-wave-no-synced-cut-all-channel,encdec_ad,0,0.006229836830282611,0.0,0.0018327646400202965,0.005256804111135022,0.00240250340086494,0.4678068410462777,,0.0063804719570525695,0.0,0.002059007811082701,0.005371182323382861,0.002439633820949048,0.4813883299798793
689,2-wave-no-synced-cut-all-channel,fast_mcd,0,0.005276236365505777,0.0,0.02294345404528035,0.004285049885379895,0.01314535807966035,0.33375251509054327,,0.005351024955246538,0.0,0.0020552525688591465,0.004345101258816018,0.0024654737717507346,0.3380281690140845
2827,2-wave-no-synced-cut-all-channel,gdn,0,0.018541889592937406,0.05714285714285715,0.018894984808817475,0.013960124093937785,0.01644770549054993,0.6923731699012597,,-0.0,0.0,,0.5,,
1617,2-wave-no-synced-cut-all-channel,hbos,0,0.023368684978709843,0.03571428571428571,0.059276946875969974,0.017027475774785066,0.06045113436094003,0.7087525150905433,,0.010882104478179576,0.017857142857142856,0.01995209023951861,0.007878843634194525,0.013571980932551957,0.6402582159624413
543,2-wave-no-synced-cut-all-channel,health_esn,0,0.35703407451254404,0.07547169811320754,0.6115812541107633,0.33242786391358403,0.44538473044374893,0.7723004694835681,,0.33979797876726425,0.03773584905660377,0.5208880201697803,0.3389118929550997,0.2643307093702934,0.5273306505700872
1343,2-wave-no-synced-cut-all-channel,hif,0,0.009325170703991782,0.0,0.008866153831098178,0.007734466850730716,0.008416977602185443,0.6448692152917505,,0.010860456301237397,0.0,0.013307723259689548,0.009107711196673132,0.01851742585756429,0.6923205902079141
114,2-wave-no-synced-cut-all-channel,hybrid_knn,0,0.005910038806550605,0.0,0.003962933396533923,0.004881174928944817,0.005127930296870952,0.42840375586854457,,0.005954563676821485,0.0,0.0036829778210035725,0.004916227457748201,0.004706861515844263,0.432092555331992
3613,2-wave-no-synced-cut-all-channel,if_lof,0,0.18605801177273937,0.03773584905660377,0.3560322148216347,0.1822870408087801,0.18312924445808426,0.7173038229376257,,0.1978889039270395,0.03773584905660377,0.36122181960168326,0.19155567645431726,0.18970232725613392,0.7330650570087189
2582,2-wave-no-synced-cut-all-channel,iforest,0,0.008739594478400971,0.0,0.011898938014930548,0.0070572642524216085,0.008294000060868847,0.5965794768611671,,0.008680861856960377,0.0,0.011166760322784726,0.007127329356106681,0.013912397103518277,0.6153588195841717
4633,2-wave-no-synced-cut-all-channel,kmeans,0,0.2799414981018754,0.11320754716981131,0.05396321514742568,0.22458613366632235,0.05265202633623686,0.9795439302481556,,0.3163302194881142,0.11320754716981131,0.07906484962406014,0.24581525989420724,0.07906484962406014,0.9852448021462106
1290,2-wave-no-synced-cut-all-channel,knn,0,0.019061148534869735,0.056603773584905655,0.059938825917248535,0.015153635533149898,0.05628187261371785,0.7791750503018109,,0.01711580269502569,0.018867924528301886,0.027954073825784354,0.013895460314587785,0.03411989874160927,0.7858819584171697
2877,2-wave-no-synced-cut-all-channel,laser_dbn,0,,0.0,0.503,,0.503,,,0.0975177014879248,0.03773584905660377,0.10174474846205118,0.052643378689877306,0.05373977501086546,0.528169014084507
4017,2-wave-no-synced-cut-all-channel,lstm-vae,0,,0.0,0.503,,0.503,,,,0.0,0.503,,0.503,
2298,2-wave-no-synced-cut-all-channel,lstm_ad,0,0.005143994816669778,0.0,0.015238866232174566,0.004374144321339653,0.015639603515161606,0.34356136820925554,,0.004914484953932765,0.0,0.012800411471299612,0.004192080908164508,0.013222517101360262,0.3060026827632461
1953,2-wave-no-synced-cut-all-channel,mstamp,0,0.011200458901521465,0.0,0.032689620706638535,0.00909688114197036,0.02936276032455314,0.6701877934272301,,0.011424146892577359,0.0,0.03837256586868388,0.009318563847933298,0.039264973007209034,0.6864520456069751
2658,2-wave-no-synced-cut-all-channel,multi_hmm,0,0.007672339414423306,0.0,0.006991880556808793,0.006439807996748911,0.007910331691362332,0.5642186452045607,,0.008082551654220107,0.0,0.00764704579542771,0.006408727218643792,0.008353727313534618,0.562206572769953
1593,2-wave-no-synced-cut-all-channel,multi_subsequence_lof,0,0.019081965130517752,0.0,0.008914737260555652,0.01600121642458263,0.012136899685534441,0.8247820254862509,,0.019102172535891103,0.0,0.009930054261436345,0.016014841738590763,0.012032784044694324,0.8241113346747149
3808,2-wave-no-synced-cut-all-channel,normalizing_flows,0,0.02280780003178998,0.056603773584905655,0.013391141925165943,0.017814280990984983,0.015474186187786785,0.7079141515761235,,0.02270716496320197,0.056603773584905655,0.013548103579769006,0.017739434484065546,0.01571327791946591,0.7084171696847753
4735,2-wave-no-synced-cut-all-channel,omni,0,0.006083331830433317,0.0,0.01895865425467491,0.005113370338571541,0.017124831676483154,0.4310405643738977,,0.07231741802939257,0.058823529411764705,0.02031192183494568,0.04182891580687547,0.017478488385677338,0.7608465608465609
317,2-wave-no-synced-cut-all-channel,pca,0,0.005210775875842082,0.0,0.017181946593711295,0.003649288981822085,0.016636196047960752,0.24580818242790073,,0.005511515859300913,0.0,0.011669606114050558,0.003895921232328319,0.011880878894767782,0.2882293762575453
3333,2-wave-no-synced-cut-all-channel,pcc,0,0.004932393690741752,0.0,0.001049683295571268,0.004159249584246388,0.0016416339768039684,0.32679409792085845,,0.0049907078690205695,0.0,0.0670107259060238,0.004209130478029878,0.048435769386048516,0.33484238765928903
1850,2-wave-no-synced-cut-all-channel,random_black_forest,0,0.41780527451159116,0.07547169811320754,0.6545179563631027,0.40798737867924667,0.45909019325720446,0.8759221998658618,,0.4073399062122644,0.09433962264150944,0.6446002217877218,0.39834381558821386,0.4392004435754435,0.9119718309859155
994,2-wave-no-synced-cut-all-channel,robust_pca,0,0.006628798119925105,0.0,0.0022000552292371313,0.005342902133174433,0.0022836027766425446,0.44802146210596916,,0.006838351972137504,0.0,0.029346805258313947,0.005494869978040964,0.03967197509038116,0.45439302481556
245,2-wave-no-synced-cut-all-channel,subsequence_knn,0,0.005243874393629274,0.0,0.0032269775256829995,0.004485260653636523,0.004614500349217448,0.3420523138832998,,0.0052514206204449364,0.0,0.003229217031962616,0.004495871394897299,0.004614671002425067,0.3398725687458082
3844,2-wave-no-synced-cut-all-channel,tanogan,0,0.006,0.011928429423459244,0.003,0.003,0.003,0.49144869215291753,,0.006,0.011928429423459244,0.003,0.003,0.003,0.49144869215291753
4350,2-wave-no-synced-cut-all-channel,telemanom,0,0.008654213481285925,0.0,0.0028698437206773116,0.007037427381720993,0.00440934588389429,0.5704225352112676,,0.009037294107985374,0.0,0.005344222578509221,0.007359187790228901,0.005797121129233858,0.5803152246814218
3453,2-wave-no-synced-cut-all-channel,usad,0,0.01737188513652727,0.0,0.013087664730846882,0.016751496721725215,0.019207831472158432,0.1818452380952381,0.24221350252628326,0.017448531028003852,0.0,0.014049122110009193,0.016824467993667956,0.027693361043930054,0.18638392857142855
