index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
776,2-wave-no-synced-cut-all-no-anomaly,autoencoder,0,0.010509817993396408,0.030741748015067755,0.009156502117245537,0.02377742126206334,0.5139589640094181,,-0.0,,0.5,,
4971,2-wave-no-synced-cut-all-no-anomaly,cblof,0,0.03214732537924212,0.029578541010407626,0.02705129681921683,0.025532259315991877,0.7264267294539748,,-0.0,,0.5,,
2638,2-wave-no-synced-cut-all-no-anomaly,cof,0,0.024638272176722167,0.015489607711873302,0.019602170272757246,0.01497802101878285,0.6582015921067385,,-0.0,,0.5,,
4792,2-wave-no-synced-cut-all-no-anomaly,copod,0,0.00781286618967609,0.013633446485841243,0.006834766745598679,0.011591274964880896,0.40273573270546026,,-0.0,,0.5,,
4377,2-wave-no-synced-cut-all-no-anomaly,dae,0,0.010920286917357051,0.003741008685958963,0.009712526699201687,0.005398271608741381,0.5733826662181859,,-0.0,,0.5,,
3500,2-wave-no-synced-cut-all-no-anomaly,damp,0,0.021604594445357134,0.022723148746451538,0.017474522843524767,0.02462548149808206,0.6405426617333781,,-0.0,,0.5,,
3358,2-wave-no-synced-cut-all-no-anomaly,deepant,0,0.03358085517306957,0.03432893475011,0.025911992056512827,0.03269445129486552,0.5345890794932167,,-0.0,,0.5,,
2321,2-wave-no-synced-cut-all-no-anomaly,deepnap,0,0.007604260775449037,0.005222995215124081,0.0066241097492919735,0.005858711576646894,0.3713420787083754,,-0.0,,0.5,,
1042,2-wave-no-synced-cut-all-no-anomaly,encdec_ad,0,0.007056163779558348,0.004532464312334706,0.006247398426572824,0.005564811501395794,0.3409575064469111,,-0.0,,0.5,,
678,2-wave-no-synced-cut-all-no-anomaly,fast_mcd,0,0.010947952211903486,0.052000492908982496,0.009299848123549073,0.04468360398282775,0.5074559928243078,,-0.0,,0.5,,
3103,2-wave-no-synced-cut-all-no-anomaly,gdn,0,0.017124076563269742,0.029410387361042206,0.013712101809800143,0.03316591800293668,0.5423497267759563,,-0.0,,0.5,,
1840,2-wave-no-synced-cut-all-no-anomaly,hbos,0,0.043805470814439,0.1215100718113421,0.03631190502902276,0.08294383804910005,0.76432335463617,,-0.0,,0.5,,
532,2-wave-no-synced-cut-all-no-anomaly,health_esn,0,,0.5045,,0.5045,,,,0.5,,0.5,
1351,2-wave-no-synced-cut-all-no-anomaly,hif,0,0.04337472336127207,0.00851284691216161,0.027017504142481108,0.010598091316787864,0.5166498486377397,,-0.0,,0.5,,
24,2-wave-no-synced-cut-all-no-anomaly,hybrid_knn,0,0.023907600376833423,0.031810667905625326,0.020468382519547437,0.031938240635755816,0.7743020517995292,,-0.0,,0.5,,
3897,2-wave-no-synced-cut-all-no-anomaly,if_lof,0,0.1509706994568959,0.06044963715937102,0.10878187235072921,0.05087203579755249,0.725417647718354,,-0.0,,0.5,,
2718,2-wave-no-synced-cut-all-no-anomaly,iforest,0,0.08569686503684308,0.023821677008382617,0.05304148557555368,0.025868307828650874,0.7047875322345554,,-0.0,,0.5,,
4891,2-wave-no-synced-cut-all-no-anomaly,kmeans,0,0.0734773221538965,0.05675242104792544,0.05955330186095886,0.06010821131435167,0.8878798071532683,,-0.0,,0.5,,
1163,2-wave-no-synced-cut-all-no-anomaly,knn,0,0.44861703271470993,0.4557367786943701,0.4268568983128645,0.37513865740911434,0.9290279179280189,,-0.0,,0.5,,
3214,2-wave-no-synced-cut-all-no-anomaly,laser_dbn,0,,0.5045,,0.5045,,,,0.5,,0.5,
4342,2-wave-no-synced-cut-all-no-anomaly,lstm-vae,0,0.029680418544929806,,0.25369465959983856,,,,-0.0,,0.5,,
