index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
730,2-wave-no-synced-cut-all,autoencoder,0,0.012703728296820723,0.013893922819856522,0.01014449740338182,0.019182352515928577,0.4598049108644467,,0.013290684687546354,0.017129838530699677,0.010387488699240503,0.01402275797364102,0.44814441080838663
4962,2-wave-no-synced-cut-all,cblof,0,0.03214732537924212,0.029578541010407626,0.02705129681921683,0.025532259315991877,0.7264267294539748,,0.03451986494939802,0.02948438391474606,0.029109306067780567,0.026815220681063873,0.7533355757371902
2590,2-wave-no-synced-cut-all,cof,0,0.024638272176722167,0.015489607711873302,0.019602170272757246,0.01497802101878285,0.6582015921067385,,0.20158378402562058,0.36614493658448466,0.1883514860793297,0.19904000157164006,0.8096199125462495
4778,2-wave-no-synced-cut-all,copod,0,0.00781286618967609,0.013633446485841243,0.006834766745598679,0.011591274964880896,0.40273573270546026,,0.0077421364869135175,0.02521262295401136,0.006777743752154916,0.020926749805177607,0.397634263930934
4392,2-wave-no-synced-cut-all,dae,0,0.01150196066332629,0.004252717107178512,0.010271711081831923,0.00601251765730702,0.5895279739881153,,0.011572821312205514,0.004186990336134751,0.010343144590525434,0.005479764927955817,0.5906491759165825
3503,2-wave-no-synced-cut-all,damp,0,0.021604594445357134,0.022723148746451538,0.017474522843524767,0.02462548149808206,0.6405426617333781,,0.017719239835400157,0.01994545359270204,0.014632682066924778,0.02392352199347134,0.6264155174346899
3273,2-wave-no-synced-cut-all,deepant,0,0.033686534374847275,0.03375743940785573,0.026010625256709965,0.03237850868406059,0.5429980939567216,,0.034851057187805436,0.03703729737916394,0.026864146175913744,0.037187138557350966,0.5602646036551183
2356,2-wave-no-synced-cut-all,deepnap,0,0.007432918659562402,0.0048185068292217175,0.006502082652315615,0.005654666843399661,0.3659603094517322,,0.007487617360707039,0.004882195214816204,0.006552709466530638,0.005853493413359967,0.3713420787083754
1117,2-wave-no-synced-cut-all,encdec_ad,0,0.018942222932708686,0.006711960057971379,0.01616251105373269,0.007097572464121669,0.7242964457898867,,0.018749409574133444,0.0069072266060281,0.015976833840792702,0.007250545036791092,0.7175692342190828
687,2-wave-no-synced-cut-all,fast_mcd,0,0.011094548747353697,0.018339728634175934,0.009420403422213414,0.018588734587425278,0.514855925552192,,0.010953192380470463,0.014554442724589955,0.009309780053758819,0.019659225176470802,0.5056620697387599
