index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
734,2-wave-off-synced-all-channel-no-anomaly,autoencoder,0,0.0024401408619485233,0.0,0.04814180775044071,0.0018176830330167326,0.04823199534062831,0.19458375125376126,,-0.0,0.0,,0.5,,
4851,2-wave-off-synced-all-channel-no-anomaly,cblof,0,0.03448942418497453,0.019417475728155338,0.01726130229419703,0.020905227583637876,0.019963622611118365,0.9070544968238048,,-0.0,0.0,,0.5,,
2409,2-wave-off-synced-all-channel-no-anomaly,cof,0,0.3354096987970028,0.019417475728155338,0.6672110319651303,0.33498861086795306,0.3357692342457807,0.47007689735874286,,-0.0,0.0,,0.5,,
4494,2-wave-off-synced-all-channel-no-anomaly,copod,0,0.002696406674891144,0.0,0.035860484544695065,0.0020196904410232893,0.03600668337510443,0.2617853560682046,,-0.0,0.0,,0.5,,
4230,2-wave-off-synced-all-channel-no-anomaly,dae,0,0.004485937307217858,0.0,0.0012504160754016223,0.0033524555899763957,0.0017146686287906662,0.5600133734536944,,-0.0,0.0,,0.5,,
3257,2-wave-off-synced-all-channel-no-anomaly,damp,0,0.004319394582334327,0.0,0.0019545900409670535,0.003234414225346584,0.0023368530379089493,0.5406218655967904,,-0.0,0.0,,0.5,,
3075,2-wave-off-synced-all-channel-no-anomaly,deepant,0,0.12132733291951167,0.038834951456310676,0.02072140822140822,0.08336965896911913,0.017633292633292632,0.9364760949515213,,-0.0,0.0,,0.5,,
2162,2-wave-off-synced-all-channel-no-anomaly,deepnap,0,0.0020790921313400186,0.0,0.0018656716417910447,0.0015584101333697936,0.0018656716417910447,0.039786024740889325,,-0.0,0.0,,0.5,,
1045,2-wave-off-synced-all-channel-no-anomaly,encdec_ad,0,0.004932251654995811,0.0,0.008711636828644502,0.0036930436107919006,0.010070332480818414,0.5981277164827817,,-0.0,0.0,,0.5,,
656,2-wave-off-synced-all-channel-no-anomaly,fast_mcd,0,0.0034799497635097086,0.0,0.0005911855103403268,0.0025025578892643187,0.0008226587904648264,0.4446673353393513,,-0.0,0.0,,0.5,,
2789,2-wave-off-synced-all-channel-no-anomaly,gdn,0,0.5054945054945055,0.05882352941176471,0.7613636363636364,0.47496947496947495,0.5227272727272727,0.994908350305499,,-0.0,0.0,,0.5,,
1662,2-wave-off-synced-all-channel-no-anomaly,hbos,0,0.10686274509803921,0.055045871559633024,0.1264705882352941,0.05799758259468171,0.08627450980392157,0.9475091942494149,,-0.0,0.0,,0.5,,
484,2-wave-off-synced-all-channel-no-anomaly,health_esn,0,0.20788059991735336,0.038834951456310676,0.04646142102505004,0.1322293251802172,0.037367286494544544,0.7803410230692077,,-0.0,0.0,,0.5,,
1321,2-wave-off-synced-all-channel-no-anomaly,hif,0,0.003208390352377694,0.0,0.00874930341042873,0.002252200879325058,0.009970443172994257,0.3834837846873955,,-0.0,0.0,,0.5,,
81,2-wave-off-synced-all-channel-no-anomaly,hybrid_knn,0,0.0022809702735075875,0.0,0.0011587258279049145,0.0017103980726276323,0.0013880836260700522,0.12403878301571383,,-0.0,0.0,,0.5,,
3685,2-wave-off-synced-all-channel-no-anomaly,if_lof,0,0.14345238095238094,0.058252427184466014,0.04411764705882353,0.10676892551892551,0.04411764705882353,0.9886325643597459,,-0.0,0.0,,0.5,,
2507,2-wave-off-synced-all-channel-no-anomaly,iforest,0,0.04525954525954526,0.058252427184466014,0.024051532377656944,0.029611441612632794,0.016853064755313892,0.9488465396188566,,-0.0,0.0,,0.5,,
4645,2-wave-off-synced-all-channel-no-anomaly,kmeans,0,0.9166666666666665,0.058252427184466014,0.8489583333333333,0.9027777777777777,0.6979166666666667,0.9996656636576395,,-0.0,0.0,,0.5,,
1164,2-wave-off-synced-all-channel-no-anomaly,knn,0,0.1445887445887446,0.058252427184466014,0.039473684210526314,0.10892440892440892,0.039473684210526314,0.9886325643597459,,-0.0,0.0,,0.5,,
2910,2-wave-off-synced-all-channel-no-anomaly,laser_dbn,0,,0.0,0.5015,,0.5015,,,-0.0,0.0,,0.5,,
4000,2-wave-off-synced-all-channel-no-anomaly,lstm-vae,0,,0.0,0.5015,,0.5015,,,,0.0,0.5,,0.5,
2293,2-wave-off-synced-all-channel-no-anomaly,lstm_ad,0,0.0026688176524085182,0.0,0.0006153422723776114,0.0019667800698714407,0.0008788196608706346,0.27716482781678364,,-0.0,0.0,,0.5,,
1968,2-wave-off-synced-all-channel-no-anomaly,mstamp,0,0.004722361714208818,0.0,0.006634420936132662,0.003396591087437211,0.005332333935757387,0.5874289535272484,,-0.0,0.0,,0.5,,
2625,2-wave-off-synced-all-channel-no-anomaly,multi_hmm,0,0.004793343099284945,0.0,0.0021643946150252686,0.003064674221653161,0.002201129655582452,0.5377800066867269,,-0.0,0.0,,0.5,,
1478,2-wave-off-synced-all-channel-no-anomaly,multi_subsequence_lof,0,0.021865151078634223,0.058252427184466014,0.013595779220779224,0.016227875477474195,0.01582792207792208,0.9130725509862921,,-0.0,0.0,,0.5,,
3828,2-wave-off-synced-all-channel-no-anomaly,normalizing_flows,0,0.0034215222803494036,0.0,0.0029215536291007987,0.0025621748376091604,0.003484616692163862,0.41925777331995984,,-0.0,0.0,,0.5,,
4801,2-wave-off-synced-all-channel-no-anomaly,omni,0,0.012665094339622643,0.0,0.08452381193637848,0.009483835549186637,0.08571428060531616,0.8372011251758087,,-0.0,0.0,,0.5,,
420,2-wave-off-synced-all-channel-no-anomaly,pca,0,0.003663003663003663,0.0,,0.0018315018315018315,,0.1845536609829489,,,,,,,
3362,2-wave-off-synced-all-channel-no-anomaly,pcc,0,0.0023157777472832533,0.0,0.032484126984126976,0.0017224683542819137,0.029253968253968254,0.15312604480106987,,-0.0,0.0,,0.5,,
1827,2-wave-off-synced-all-channel-no-anomaly,random_black_forest,0,0.009638759119751854,0.0,0.23642085165236337,0.006913148870542646,0.22284170330472683,0.7953861584754264,,-0.0,0.0,,0.5,,
