index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
771,2-wave-off-synced-all-channel,autoencoder,0,0.0025200336338684235,0.0,0.0007049779174142502,0.001819718933352252,0.001034580459453125,0.23436977599465064,,0.0025258950693873234,0.0,0.0005304670578536747,0.0018243273001093015,0.0007868113086898057,0.2363757940488131
4970,2-wave-off-synced-all-channel,cblof,0,0.03448942418497453,0.019417475728155338,0.01726130229419703,0.020905227583637876,0.019963622611118365,0.9070544968238048,,0.08934849988361694,0.019417475728155338,0.01031574332171666,0.04635787636609879,0.009658669424984395,0.7826813774657305
2426,2-wave-off-synced-all-channel,cof,0,0.3354096987970028,0.019417475728155338,0.6672110319651303,0.33498861086795306,0.3357692342457807,0.47007689735874286,,0.3355361841516459,0.019417475728155338,0.6672252017375581,0.33509036898714095,0.337900551801206,0.5006686726847208
4484,2-wave-off-synced-all-channel,copod,0,0.002696406674891144,0.0,0.035860484544695065,0.0020196904410232893,0.03600668337510443,0.2617853560682046,,0.0026741100574607926,0.0,0.029809853877856875,0.00200315601463116,0.0302079430498314,0.2554329655633567
4137,2-wave-off-synced-all-channel,dae,0,0.004693766568787468,0.0,0.05227920227920227,0.0034841506325088067,0.049002849002849,0.584754262788365,,0.004656417064430924,0.0,0.06453889248006894,0.0034555316230132846,0.057649213531566476,0.5817452357071213
3164,2-wave-off-synced-all-channel,damp,0,0.004319394582334327,0.0,0.0019545900409670535,0.003234414225346584,0.0023368530379089493,0.5406218655967904,,0.004430141364647575,0.0,0.005226480836236933,0.0033205274924785837,0.005226480836236933,0.5509862922099632
2981,2-wave-off-synced-all-channel,deepant,0,1.0,0.058252427184466014,1.0,1.0,1.0,1.0,,1.0,0.058252427184466014,1.0,1.0,1.0,1.0
2099,2-wave-off-synced-all-channel,deepnap,0,0.0022858011006092454,0.0,0.0008822176613598328,0.0017134702971771559,0.0011402155973763448,0.12671347375459713,,0.0022853312535181126,0.0,0.0007776881108559053,0.0017134478465663746,0.0009311564963684898,0.12604480106987634
1048,2-wave-off-synced-all-channel,encdec_ad,0,0.006998981846387021,0.0,0.004280198359145728,0.0052129712413249915,0.005782618940513677,0.7211634904714143,,0.007252710554769773,0.0,0.006345255029465556,0.005421133472350816,0.007285104653525706,0.7288532263457037
615,2-wave-off-synced-all-channel,fast_mcd,0,0.006329734822418592,0.0,0.00100233913950501,0.0046383562150148425,0.0012736841269632363,0.6967569374791039,,0.006289271058336579,0.0,0.0012868031942778618,0.004608052951838684,0.0014320538771401986,0.6947509194249414
2763,2-wave-off-synced-all-channel,gdn,0,0.2851851851851852,0.05882352941176471,0.016666666666666666,0.20046296296296295,0.016666666666666666,0.9945689069925323,,-0.0,0.0,,0.5,,
1690,2-wave-off-synced-all-channel,hbos,0,0.10686274509803921,0.055045871559633024,0.1264705882352941,0.05799758259468171,0.08627450980392157,0.9475091942494149,,0.024634620958059045,0.05357142857142857,0.04861804861804862,0.016238879106480503,0.051781551781551784,0.9132397191574725
432,2-wave-off-synced-all-channel,health_esn,0,0.669047619047619,0.038834951456310676,0.7558880229630808,0.6686526878054324,0.5117760459261618,0.8605817452357071,,0.3351818364476592,0.019417475728155338,0.6676645693863077,0.33480822281239503,0.33532913877261544,0.40387830157138077
1313,2-wave-off-synced-all-channel,hif,0,0.22186147186147184,0.058252427184466014,0.023076923076923075,0.16807359307359307,0.023076923076923075,0.9933132731527916,,0.15674603174603174,0.058252427184466014,0.041606610399516575,0.10824314574314574,0.041606610399516575,0.9786024740889335
31,2-wave-off-synced-all-channel,hybrid_knn,0,0.0022976039004779366,0.0,0.0011604564946269627,0.0017230828095130422,0.0013898142927921,0.13156135071882313,,0.0022989115173461944,0.0,0.0013940520446096654,0.0017235146390138598,0.0013940520446096654,0.13139418254764296
3606,2-wave-off-synced-all-channel,if_lof,0,0.14345238095238094,0.058252427184466014,0.04411764705882353,0.10676892551892551,0.04411764705882353,0.9886325643597459,,0.14484126984126983,0.058252427184466014,0.019736842105263157,0.1001984126984127,0.019736842105263157,0.9876295553326646
2477,2-wave-off-synced-all-channel,iforest,0,0.04525954525954526,0.058252427184466014,0.024051532377656944,0.029611441612632794,0.016853064755313892,0.9488465396188566,,0.031027795733678087,0.038834951456310676,0.02493104806934594,0.020826318812955918,0.030025921267667417,0.9307923771313943
4694,2-wave-off-synced-all-channel,kmeans,0,0.9166666666666665,0.058252427184466014,0.8489583333333333,0.9027777777777777,0.6979166666666667,0.9996656636576395,,1.0,0.058252427184466014,0.8611111111111112,1.0,0.7222222222222223,1.0
1238,2-wave-off-synced-all-channel,knn,0,0.1445887445887446,0.058252427184466014,0.039473684210526314,0.10892440892440892,0.039473684210526314,0.9886325643597459,,0.11951871657754011,0.058252427184466014,0.02631578947368421,0.08771988460455954,0.02631578947368421,0.9859578736208626
2951,2-wave-off-synced-all-channel,laser_dbn,0,,0.0,0.5015,,0.5015,,,0.33825944170771755,0.019417475728155338,0.667228835978836,0.3366712781591956,0.33445767195767195,0.7382146439317954
4023,2-wave-off-synced-all-channel,lstm-vae,0,,0.0,0.5015,,0.5015,,,,0.0,0.5015,,0.5015,
2264,2-wave-off-synced-all-channel,lstm_ad,0,0.0362997950717249,0.058252427184466014,0.009036144578313253,0.027246932576293716,0.009036144578313253,0.9475091942494149,,0.03717069094427585,0.058252427184466014,0.011194029850746268,0.02796331318343897,0.011194029850746268,0.9485122032764961
1938,2-wave-off-synced-all-channel,mstamp,0,0.004722361714208818,0.0,0.006634420936132662,0.003396591087437211,0.005332333935757387,0.5874289535272484,,0.004602306991132147,0.0,0.006047541778027063,0.0033072745674766198,0.005150639111609682,0.5780675359411568
2644,2-wave-off-synced-all-channel,multi_hmm,0,0.004518997008317092,0.0,0.002054113320036887,0.0028884293217686092,0.00221428724613438,0.508859913072551,,0.004536272205088389,0.0,0.001984915696892883,0.0029006471714879013,0.00206869070937512,0.5103644266131728
1558,2-wave-off-synced-all-channel,multi_subsequence_lof,0,0.021865151078634223,0.058252427184466014,0.013595779220779224,0.016227875477474195,0.01582792207792208,0.9130725509862921,,0.022191522882258032,0.058252427184466014,0.01105769230769231,0.01650596815947527,0.015865384615384618,0.9140755600133734
3737,2-wave-off-synced-all-channel,normalizing_flows,0,,0.0,0.5015,,0.5015,,,,0.0,0.5015,,0.5015,
4810,2-wave-off-synced-all-channel,omni,0,0.6745406824146981,0.0404040404040404,0.7568436861038208,0.673249177186185,0.5136874318122864,0.9563994374120957,,0.006769825918762089,0.0,0.04002323001623154,0.004720031197452208,0.032427411526441574,0.609704641350211
