index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
744,2-wave-off-synced-all-no-anomaly,autoencoder,0,0.0021703112587569606,0.0005842391304347827,0.0016259596036588496,0.0008559782608695652,0.08157806753594118,,-0.0,,0.5,,
4998,2-wave-off-synced-all-no-anomaly,cblof,0,0.0247496469478218,0.012813003989474579,0.018070347462117817,0.015822086410321706,0.9244399866265464,,-0.0,,0.5,,
2566,2-wave-off-synced-all-no-anomaly,cof,0,0.005519915482111547,0.004856889496372012,0.003304498895371402,0.0029570222359872663,0.3597459043798061,,-0.0,,0.5,,
4682,2-wave-off-synced-all-no-anomaly,copod,0,0.002666753470278873,0.0433604914191285,0.001995964849645024,0.048259444376718544,0.2550986292209963,,-0.0,,0.5,,
4510,2-wave-off-synced-all-no-anomaly,dae,0,0.0037942698016942646,0.07062479753806283,0.0027782732790264638,0.05791626174279235,0.48846539618856566,,-0.0,,0.5,,
3512,2-wave-off-synced-all-no-anomaly,damp,0,0.004369511507143537,0.004421768707482994,0.003272695708206425,0.0052721088435374154,0.5456369107321966,,-0.0,,0.5,,
3313,2-wave-off-synced-all-no-anomaly,deepant,0,0.5833333333333333,0.8145202020202019,0.5511904761904761,0.629040404040404,0.9886325643597459,,-0.0,,0.5,,
2406,2-wave-off-synced-all-no-anomaly,deepnap,0,0.0022484748182095603,0.0013711151736745886,0.0016862481803100898,0.0013711151736745886,0.11099966566365764,,-0.0,,0.5,,
1015,2-wave-off-synced-all-no-anomaly,encdec_ad,0,0.0022489426297247544,0.0006647770696171025,0.0016860688415556583,0.0010276217720844466,0.11200267469073888,,-0.0,,0.5,,
690,2-wave-off-synced-all-no-anomaly,fast_mcd,0,0.0034430945720626744,0.0007664105286032365,0.0024787654208875505,0.0009541173535027693,0.43965229020394514,,-0.0,,0.5,,
3055,2-wave-off-synced-all-no-anomaly,gdn,0,0.4022289766970618,0.715060865060865,0.3878480446473046,0.4301217301217301,0.9809911744738629,,-0.0,,0.5,,
1753,2-wave-off-synced-all-no-anomaly,hbos,0,0.428714859437751,0.716529304029304,0.41058074663184757,0.4330586080586081,0.9752591106653293,,-0.0,,0.5,,
518,2-wave-off-synced-all-no-anomaly,health_esn,0,,0.5015,,0.5015,,,,0.5,,0.5,
1314,2-wave-off-synced-all-no-anomaly,hif,0,0.003014183053115754,0.007342962064531636,0.0021361172914532074,0.005070539513678657,0.35506519558676025,,-0.0,,0.5,,
91,2-wave-off-synced-all-no-anomaly,hybrid_knn,0,0.005670318977015755,0.018286335578002244,0.004188386414253888,0.015739337822671153,0.6619859578736209,,-0.0,,0.5,,
3816,2-wave-off-synced-all-no-anomaly,if_lof,0,0.8666666666666667,0.8489583333333333,0.8500000000000001,0.6979166666666667,0.9993313273152792,,-0.0,,0.5,,
2819,2-wave-off-synced-all-no-anomaly,iforest,0,0.028697150132943865,0.02452200577200577,0.020721124086079776,0.025234487734487734,0.9351387495820797,,-0.0,,0.5,,
4808,2-wave-off-synced-all-no-anomaly,kmeans,0,0.5,0.05,0.3722222222222222,0.05,0.9979939819458375,,-0.0,,0.5,,
1222,2-wave-off-synced-all-no-anomaly,knn,0,0.3400511059465584,0.6677008355562969,0.33850516704112854,0.3354016711125939,0.731527917084587,,-0.0,,0.5,,
3133,2-wave-off-synced-all-no-anomaly,laser_dbn,0,,0.5015,,0.5015,,,,0.5,,0.5,
4272,2-wave-off-synced-all-no-anomaly,lstm-vae,0,0.00908164699031481,,0.41708525338443475,,,,-0.0,,0.5,,
2520,2-wave-off-synced-all-no-anomaly,lstm_ad,0,0.01677176197724143,0.06990403304178813,0.011386893600238132,0.05647473275024295,0.7870277499164159,,-0.0,,0.5,,
1476,2-wave-off-synced-all-no-anomaly,mscred,0,0.003,0.0015,0.0015,0.0015,0.45486459378134403,,-0.0,,0.5,,
2164,2-wave-off-synced-all-no-anomaly,mstamp,0,0.004653341829229187,0.006157470798803701,0.003356127130678542,0.00517208445475026,0.5804078903376797,,-0.0,,0.5,,
2861,2-wave-off-synced-all-no-anomaly,multi_hmm,0,0.11321637426900584,0.4450274923489209,0.22362684253753,0.22338831803117515,0.36676696756937477,,-0.0,,0.5,,
4050,2-wave-off-synced-all-no-anomaly,normalizing_flows,0,0.002876340298394094,0.0007331425447763595,0.002152751756487851,0.0009156242966011771,0.30959545302574387,,-0.0,,0.5,,
1602,2-wave-off-synced-all-no-anomaly,omnianomaly,0,0.17414529914529916,0.0833333358168602,0.13000194250194252,0.0833333358168602,0.9899777282850779,,-0.0,,0.5,,
304,2-wave-off-synced-all-no-anomaly,pca,0,0.003054989816700611,,0.0015274949083503055,,0.02106318956870612,,,,,,
3540,2-wave-off-synced-all-no-anomaly,pcc,0,0.002287911842611264,0.11495234411901077,0.0016985295095870857,0.10490468823802157,0.14543630892678033,,-0.0,,0.5,,
2012,2-wave-off-synced-all-no-anomaly,random_black_forest,0,,0.5015,,0.5015,,,,0.5,,0.5,
