index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
787,2-wave-off-synced-all,autoencoder,0,0.0021999708774086643,0.0006312248711026404,0.001613157318782687,0.001000806623419305,0.12303577398863257,,0.002201448093660964,0.0005309092921528968,0.00161041228839043,0.0006289181514053606,0.12470745570043466
4992,2-wave-off-synced-all,cblof,0,0.0247496469478218,0.012813003989474579,0.018070347462117817,0.015822086410321706,0.9244399866265464,,0.02470669427191166,0.009642610140798546,0.01738997717258587,0.009669835666212477,0.9220996322300233
2665,2-wave-off-synced-all,cof,0,0.005519915482111547,0.004856889496372012,0.003304498895371402,0.0029570222359872663,0.3597459043798061,,0.004696176347076561,0.002741758937933064,0.0034987091073570465,0.0026263750187232706,0.5827482447342026
4746,2-wave-off-synced-all,copod,0,0.002666753470278873,0.0433604914191285,0.001995964849645024,0.048259444376718544,0.2550986292209963,,0.002615566227205134,0.00030597266432879754,0.001957059861414601,0.0004448330291923543,0.24105650284185895
4513,2-wave-off-synced-all,dae,0,0.004759259622820765,0.0761634199134199,0.0035417399558159333,0.0689935064935065,0.5891006352390504,,0.004696718768534487,0.03521675084175084,0.0035016413791333968,0.03918350168350168,0.5820795720494817
3461,2-wave-off-synced-all,damp,0,0.004369511507143537,0.004421768707482994,0.003272695708206425,0.0052721088435374154,0.5456369107321966,,0.004157674225216802,0.0018977835511894132,0.003114258039375115,0.0022665151146112417,0.5222333667669676
3332,2-wave-off-synced-all,deepant,0,0.32941176470588235,0.15617715617715616,0.21647355912061794,0.14568764568764567,0.9882982280173854,,0.5833333333333333,0.8152680652680652,0.5511904761904761,0.6305361305361306,0.9886325643597459
2405,2-wave-off-synced-all,deepnap,0,0.0022870428658265797,0.0011583714237345523,0.001715170435189413,0.0013856441510072797,0.1260448010698763,,0.0022896491534955808,0.0011583714237345523,0.0017173443284605387,0.0013856441510072797,0.12671347375459713
1032,2-wave-off-synced-all,encdec_ad,0,0.02797029346023506,0.011111111111111112,0.020940631626778897,0.011111111111111112,0.9314610498161151,,0.028984660652084552,0.007870370370370371,0.021669694025145105,0.011574074074074077,0.9341357405549984
617,2-wave-off-synced-all,fast_mcd,0,0.006259469773305168,0.0011872550274339634,0.004593152309322978,0.001282806998099368,0.6930792377131394,,0.006230431792650684,0.0011875298526133832,0.0045603268138241695,0.0012785684771565908,0.6920762286860581
3095,2-wave-off-synced-all,gdn,0,0.03375011840484986,0.059733893557422965,0.021449200827113716,0.06271008403361344,0.9222674813306178,,-0.0,,0.5,,
1742,2-wave-off-synced-all,hbos,0,0.428714859437751,0.716529304029304,0.41058074663184757,0.4330586080586081,0.9752591106653293,,0.02279306829765546,0.005464965142384497,0.015364788117081698,0.006122237977076688,0.9140755600133734
504,2-wave-off-synced-all,health_esn,0,,0.5015,,0.5015,,,,0.5015,,0.5015,
1406,2-wave-off-synced-all,hif,0,0.16226053639846744,0.05815972222222222,0.10493979200875753,0.06076388888888889,0.9859578736208626,,0.08852258852258851,0.01746082621082621,0.054023603259596466,0.01492165242165242,0.9658976930792378
124,2-wave-off-synced-all,hybrid_knn,0,0.13434343434343432,0.035937500000000004,0.08569023569023568,0.03854166666666667,0.9861250417920427,,0.11825396825396825,0.02,0.08857560568086884,0.02,0.9856235372785022
3882,2-wave-off-synced-all,if_lof,0,0.8666666666666667,0.8489583333333333,0.8500000000000001,0.6979166666666667,0.9993313273152792,,0.25794871794871793,0.017735042735042734,0.15675213675213673,0.021581196581196584,0.9886325643597459
2770,2-wave-off-synced-all,iforest,0,0.028697150132943865,0.02452200577200577,0.020721124086079776,0.025234487734487734,0.9351387495820797,,0.019445790909558447,0.0063619809433767775,0.013542521786191829,0.005148204310995978,0.8973587428953527
4836,2-wave-off-synced-all,kmeans,0,0.5,0.05,0.3722222222222222,0.05,0.9979939819458375,,0.3873015873015873,0.05,0.2908730158730159,0.05,0.9969909729187563
1198,2-wave-off-synced-all,knn,0,0.3400511059465584,0.6677008355562969,0.33850516704112854,0.3354016711125939,0.731527917084587,,0.17019575792955827,0.005409758253388475,0.08612830708499054,0.0034290872869764373,0.6850551654964894
3130,2-wave-off-synced-all,laser_dbn,0,,0.5015,,0.5015,,,,0.5015,,0.5015,
4269,2-wave-off-synced-all,lstm-vae,0,0.012626187389201605,,0.4205221811620737,,,,0.010755313145224255,,0.4188712163831616,,
2554,2-wave-off-synced-all,lstm_ad,0,0.00276603607966424,0.0190188821528369,0.0020222429818523967,0.016298633870891196,0.29722500835840854,,0.002837459313583257,0.021112714861419524,0.002070464185907908,0.01722542972283905,0.3116014710799064
1486,2-wave-off-synced-all,mscred,0,0.003,0.0015,0.0015,0.0015,0.45486459378134403,,0.003,0.0015,0.0015,0.0015,0.45486459378134403
2148,2-wave-off-synced-all,mstamp,0,0.004653341829229187,0.006157470798803701,0.003356127130678542,0.00517208445475026,0.5804078903376797,,0.004374417073529517,0.006957585906722397,0.0031542295689500587,0.005581838480111461,0.555667001003009
2934,2-wave-off-synced-all,multi_hmm,0,0.002587877835402588,0.0010545330275492691,0.0016676309954292462,0.0014713109530577223,0.1579739217652959,,0.002613203909537461,0.0009696863977658573,0.0016815550856273732,0.0014291687138990618,0.16466064861250418
