index,dataset,rtype,rnumber,Test_AVERAGE_PRECISION,Test_F1Score_PercentileThresholding,Test_FIXED_RANGE_PR_AUC,Test_PR_AUC,Test_RANGE_PR_AUC,Test_ROC_AUC,Test_THRESHOLD,Train_AVERAGE_PRECISION,Train_F1Score_PercentileThresholding,Train_FIXED_RANGE_PR_AUC,Train_PR_AUC,Train_RANGE_PR_AUC,Train_ROC_AUC
823,2-wave-one-channel-no-anomaly,autoencoder,0,0.0030466667089386955,0.0,0.03573394198394198,0.0022726579069853895,0.026013338513338514,0.3537278502173186,,-0.0,0.0,,0.5,,
4849,2-wave-one-channel-no-anomaly,cblof,0,0.00764429361467418,0.0,0.013252651392720617,0.005272620184881224,0.01221958849972695,0.7107990638582414,,-0.0,0.0,,0.5,,
2379,2-wave-one-channel-no-anomaly,cof,0,0.052246241549793154,0.038834951456310676,0.03822283708266582,0.03442999908177488,0.034779007498664985,0.6880641925777332,,-0.0,0.0,,0.5,,
4463,2-wave-one-channel-no-anomaly,copod,0,0.006665750068162551,0.0,0.01911916009605085,0.004883865800758317,0.015511047464828976,0.7128050819124038,,-0.0,0.0,,0.5,,
4232,2-wave-one-channel-no-anomaly,dae,0,0.006343960958418663,0.0,0.028994514472455647,0.0045502238221946266,0.024655695611577964,0.6783684386492812,,-0.0,0.0,,0.5,,
3219,2-wave-one-channel-no-anomaly,damp,0,0.003181520963435758,0.0,0.0017508227425938063,0.0023119320514295946,0.0020135502470923746,0.3921765295887663,,-0.0,0.0,,0.5,,
3105,2-wave-one-channel-no-anomaly,deepant,0,0.004126420309663205,0.0,0.02037570619646849,0.002850678871389763,0.022232477578856574,0.5078569040454697,,-0.0,0.0,,0.5,,
2186,2-wave-one-channel-no-anomaly,deepnap,0,0.004494700288687467,0.0,0.002765639571195127,0.0033556696859946148,0.0042492278603389715,0.562019391507857,,-0.0,0.0,,0.5,,
1097,2-wave-one-channel-no-anomaly,encdec_ad,0,0.004916814454067539,0.0,0.0030053125772176925,0.0036850648328165553,0.0036632073140597976,0.5957873620862587,,-0.0,0.0,,0.5,,
674,2-wave-one-channel-no-anomaly,fast_mcd,0,0.004859426830387611,0.0,0.05263633935508935,0.0035049934215761126,0.04277267871017871,0.5891006352390504,,-0.0,0.0,,0.5,,
2781,2-wave-one-channel-no-anomaly,gdn,0,0.004464953507702,0.0,0.0012152754121829696,0.003228902867126794,0.0016292687730838878,0.565173116089613,,-0.0,0.0,,0.5,,
1639,2-wave-one-channel-no-anomaly,hbos,0,0.0067366934586851595,0.0,0.021078431372549018,0.004079078783358216,0.021323529411764706,0.6526245402875293,,-0.0,0.0,,0.5,,
554,2-wave-one-channel-no-anomaly,health_esn,0,0.2642857142857143,0.058252427184466014,0.02144129019129019,0.16078329882677705,0.017882580382580383,0.9752591106653293,,-0.0,0.0,,0.5,,
1435,2-wave-one-channel-no-anomaly,hif,0,0.00848087860831489,0.0,0.011153495139844987,0.006111800910011421,0.010679083302945789,0.7679705784018722,,-0.0,0.0,,0.5,,
113,2-wave-one-channel-no-anomaly,hybrid_knn,0,0.003761833518875042,0.0,0.035890446521287644,0.00281730578940197,0.03011422637590862,0.47425610163824805,,-0.0,0.0,,0.5,,
3653,2-wave-one-channel-no-anomaly,if_lof,0,0.005452637828221134,0.0,0.018271295115620787,0.0038456749932031034,0.01987592356457491,0.6091608157806753,,-0.0,0.0,,0.5,,
2607,2-wave-one-channel-no-anomaly,iforest,0,0.004694360526558113,0.0,0.01327788544358312,0.003501736913525362,0.01492786391042205,0.581410899364761,,-0.0,0.0,,0.5,,
4572,2-wave-one-channel-no-anomaly,kmeans,0,0.44285714285714284,0.058252427184466014,0.038461538461538464,0.3186507936507937,0.038461538461538464,0.9973253092611166,,-0.0,0.0,,0.5,,
1213,2-wave-one-channel-no-anomaly,knn,0,0.0037906423113184956,0.0,0.03823529411764706,0.0028365664404799516,0.043137254901960784,0.47709796054831155,,-0.0,0.0,,0.5,,
2870,2-wave-one-channel-no-anomaly,laser_dbn,0,,0.0,0.5015,,0.5015,,,-0.0,0.0,,0.5,,
4082,2-wave-one-channel-no-anomaly,lstm-vae,0,,0.0,0.5015,,0.5015,,,,0.0,0.5,,0.5,
2283,2-wave-one-channel-no-anomaly,lstm_ad,0,0.0037758835700011156,0.0,0.0009779723322528898,0.00279253490270843,0.0013752245715905648,0.48679371447676356,,-0.0,0.0,,0.5,,
2062,2-wave-one-channel-no-anomaly,mstamp,0,0.0077513826202145605,0.0,0.003047808179309257,0.005191937298484417,0.002970616358618514,0.6171848879973253,,-0.0,0.0,,0.5,,
2690,2-wave-one-channel-no-anomaly,multi_hmm,0,0.003,0.0,0.0015,0.0015,0.0015,0.007021063189568688,,-0.0,0.0,,0.5,,
1507,2-wave-one-channel-no-anomaly,multi_subsequence_lof,0,0.008650516344436681,0.0,0.004696982959850608,0.006446716259585518,0.006789799253034547,0.7746573052490806,,-0.0,0.0,,0.5,,
3792,2-wave-one-channel-no-anomaly,normalizing_flows,0,0.004348149002502482,0.0,0.0070202515507818836,0.003239517875366136,0.00848494754600821,0.5493146104981612,,-0.0,0.0,,0.5,,
4739,2-wave-one-channel-no-anomaly,omni,0,0.06313858876884086,0.0404040404040404,0.07017083466053009,0.042553820222012706,0.05700832977890968,0.7841068917018285,,-0.0,0.0,,0.5,,
280,2-wave-one-channel-no-anomaly,pca,0,0.006172839506172839,0.0,,0.0030864197530864196,,0.518555667001003,,,,,,,
3403,2-wave-one-channel-no-anomaly,pcc,0,0.01321557900573782,0.0,0.08142135642135642,0.00970514625011935,0.10523088023088023,0.8562353727850217,,-0.0,0.0,,0.5,,
1903,2-wave-one-channel-no-anomaly,random_black_forest,0,0.3418973611785656,0.019417475728155338,0.6899794277379847,0.3400062422039557,0.37995885547596947,0.8441992644600468,,-0.0,0.0,,0.5,,
919,2-wave-one-channel-no-anomaly,robust_pca,0,0.0043128411349558915,0.0,0.014072691054835197,0.0028629682198218725,0.008145382109670396,0.47141424272818455,,-0.0,0.0,,0.5,,
246,2-wave-one-channel-no-anomaly,subsequence_knn,0,0.08685064935064936,0.058252427184466014,0.027777777777777776,0.0637075116241783,0.027777777777777776,0.9799398194583752,,-0.0,0.0,,0.5,,
3891,2-wave-one-channel-no-anomaly,tanogan,0,0.003,0.005982053838484547,0.0015,0.0015,0.0015,0.49147442326980945,,-0.0,0.0,,0.5,,
4285,2-wave-one-channel-no-anomaly,telemanom,0,0.013545407362976047,0.0,0.009375,0.010166508445155802,0.009375,0.8545636910732197,,-0.0,0.0,,0.5,,
3527,2-wave-one-channel-no-anomaly,usad,0,0.012291112150473503,0.0,0.09712802618741989,0.011432662947682323,0.11092272400856018,0.4093575828688765,0.4398473799228668,-0.0,0.0,,0.5,,
